proposal_id,pdb_id,ligand_identifier,struct_conn_id,struct_conn_type,suggested_chain_id,suggested_residue_name,suggested_residue_index,suggested_residue_atom_name,suggested_ligand_comp_id,suggested_ligand_atom_name,suggested_covalent_bond_atom_pair,review_classification,exclusion_reason,keep_for_ligand_covale_review,disulfide_exclusion_audit_passed,qa_comment
CYS_SG_EVT_PROP_000013,1A5G,COVPDB2,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000014,1A5G,COVPDB2,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000015,1A5G,COVPDB2,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000016,1A5G,COVPDB2,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000017,1A61,COVPDB3,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000018,1A61,COVPDB3,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000019,1A61,COVPDB3,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000020,1A61,COVPDB3,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000021,1AD8,COVPDB1090,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000022,1AD8,COVPDB1090,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000023,1AD8,COVPDB1090,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000024,1AD8,COVPDB1090,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000025,1AEC,COVPDB739,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000026,1AEC,COVPDB739,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000027,1AEC,COVPDB739,disulf3,disulf,A,CYS,156,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000028,1AEC,COVPDB739,covale1,covale,A,CYS,25,SG,E64,C2,SG--C2,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000029,1AHT,COVPDB501,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000030,1AHT,COVPDB501,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000031,1AHT,COVPDB501,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000032,1AHT,COVPDB501,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000033,1AI8,COVPDB1341,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000034,1AI8,COVPDB1341,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000035,1AI8,COVPDB1341,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000036,1AI8,COVPDB1341,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000037,1AIM,COVPDB1512,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000038,1AIM,COVPDB1512,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000039,1AIM,COVPDB1512,disulf3,disulf,A,CYS,153,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000040,1AIM,COVPDB1512,covale1,covale,A,CYS,25,SG,ZYA,CM,SG--CM,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000041,1ARC,COVPDB644,disulf1,disulf,A,CYS,6,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000042,1ARC,COVPDB644,disulf2,disulf,A,CYS,12,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000043,1ARC,COVPDB644,disulf3,disulf,A,CYS,36,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000044,1ATK,COVPDB739,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000045,1ATK,COVPDB739,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000046,1ATK,COVPDB739,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000047,1ATK,COVPDB739,covale1,covale,A,CYS,25,SG,E64,C2,SG--C2,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000048,1AU3,COVPDB1218,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000049,1AU3,COVPDB1218,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000050,1AU3,COVPDB1218,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000051,1AU3,COVPDB1218,covale1,covale,A,CYS,25,SG,PCM,C22,SG--C22,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000052,1AU4,COVPDB956,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000053,1AU4,COVPDB956,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000054,1AU4,COVPDB956,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000055,1AU4,COVPDB956,covale1,covale,A,CYS,25,SG,INP,C17,SG--C17,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000056,1AU8,COVPDB19,disulf1,disulf,A,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000057,1AU8,COVPDB19,disulf2,disulf,A,CYS,136,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000058,1AU8,COVPDB19,disulf3,disulf,A,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000059,1AUJ,COVPDB1235,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000060,1AUJ,COVPDB1235,disulf2,disulf,A,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000061,1AUJ,COVPDB1235,disulf3,disulf,A,CYS,128,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000062,1AUJ,COVPDB1235,disulf4,disulf,A,CYS,136,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000063,1AUJ,COVPDB1235,disulf5,disulf,A,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000064,1AUJ,COVPDB1235,disulf6,disulf,A,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000065,1AWF,COVPDB875,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000066,1AWF,COVPDB875,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000067,1AWF,COVPDB875,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000068,1AWF,COVPDB875,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000069,1AXB,COVPDB807,disulf1,disulf,A,CYS,77,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000070,1AY6,COVPDB102,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000071,1AY6,COVPDB102,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000072,1AY6,COVPDB102,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000073,1AY6,COVPDB102,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000074,1AYU,COVPDB953,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000075,1AYU,COVPDB953,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000076,1AYU,COVPDB953,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000077,1AYU,COVPDB953,covale1,covale,A,CYS,25,SG,INA,C21,SG--C21,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000078,1AYV,COVPDB952,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000079,1AYV,COVPDB952,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000080,1AYV,COVPDB952,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000081,1AYV,COVPDB952,covale1,covale,A,CYS,25,SG,IN6,C21,SG--C21,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000082,1AYW,COVPDB951,disulf1,disulf,A,CYS,22,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000083,1AYW,COVPDB951,disulf2,disulf,A,CYS,56,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000084,1AYW,COVPDB951,disulf3,disulf,A,CYS,155,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000085,1AYW,COVPDB951,covale1,covale,A,CYS,25,SG,IN3,C21,SG--C21,keep_ligand_covale_candidate_pending_review,,True,True,
CYS_SG_EVT_PROP_000086,1B02,COVPDB1415,covale1,covale,A,CYS,161,SG,UFP,C6,SG--C6,keep_ligand_covale_candidate_pending_review,,True,True,
