review_order,priority,review_unit_id,event_count,pdb_ids,ligand_component_ids,machine_status_distribution,representative_event_id,predicted_splits,topology_availability,decision_state
11,P0,COVAPIE_BULK_REVIEW_UNIT_C7881E5B728B2D19,2,"[""2AWZ""]","[""5H""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:2AWZ:A:CYS:366-:SG:G:5H:C1,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
12,P0,COVAPIE_BULK_REVIEW_UNIT_CB81A8FAB5EEF2F7,2,"[""2AX1""]","[""5EE""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:2AX1:A:CYS:366-:SG:G:5EE:C1,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
13,P0,COVAPIE_BULK_REVIEW_UNIT_E589158559EC7B15,2,"[""1TU6""]","[""FSP""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:1TU6:A:CYS:139-:SG:E:FSP:C23,"[""UNASSIGNED_READ_ONLY""]",NO_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
14,P0,COVAPIE_BULK_REVIEW_UNIT_EB7468B0711B37A4,4,"[""1F8M""]","[""PYR""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":4}",COVAPIE_CYS_SG_EVENT_V1:1F8M:A:CYS:191-:SG:F:PYR:CB,"[""validation""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
15,P0,COVAPIE_BULK_REVIEW_UNIT_EE27EA1094097660,2,"[""1SHL""]","[""FXN""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:1SHL:A:CYS:290-:SG:C:FXN:S19,"[""UNASSIGNED_READ_ONLY""]",NO_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
16,P0,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,3,"[""1ML3""]","[""CYX""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":3}",COVAPIE_CYS_SG_EVENT_V1:1ML3:B:CYS:166-:SG:F:CYX:C1,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
17,P0,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,5,"[""1ECC"",""1ECG"",""1OFE""]","[""ONL""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":5}",COVAPIE_CYS_SG_EVENT_V1:1ECC:A:CYS:1-:SG:E:ONL:CE,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
18,P0,COVAPIE_BULK_REVIEW_UNIT_FDB85D5F243B76AA,1,"[""1PY0""]","[""YMA""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":1}",COVAPIE_CYS_SG_EVENT_V1:1PY0:A:CYS:54-:SG:E:YMA:S2,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
19,P1,COVAPIE_BULK_REVIEW_UNIT_29BE63EC8EF2392B,1,"[""1KWO""]","[""PDM""]","{""TASK_RELEVANCE_HUMAN_REVIEW_REQUIRED"":1}",COVAPIE_CYS_SG_EVENT_V1:1KWO:A:CYS:693-:SG:F:PDM:CP9,"[""validation""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
20,P1,COVAPIE_BULK_REVIEW_UNIT_2EBCD325E1CD2081,1,"[""1FVG""]","[""DTT""]","{""TASK_RELEVANCE_HUMAN_REVIEW_REQUIRED"":1}",COVAPIE_CYS_SG_EVENT_V1:1FVG:A:CYS:218-:SG:B:DTT:S4,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
21,P1,COVAPIE_BULK_REVIEW_UNIT_A3782D89BDEF47C1,1,"[""1FVG""]","[""DTT""]","{""TASK_RELEVANCE_HUMAN_REVIEW_REQUIRED"":1}",COVAPIE_CYS_SG_EVENT_V1:1FVG:A:CYS:72-:SG:B:DTT:S1,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
22,P1,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,7,"[""1CR5"",""1RP4""]","[""NEN""]","{""TASK_RELEVANCE_HUMAN_REVIEW_REQUIRED"":7}",COVAPIE_CYS_SG_EVENT_V1:1CR5:A:CYS:146-:SG:E:NEN:C1,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
23,P2,COVAPIE_BULK_REVIEW_UNIT_024EEB356034F83D,1,"[""1KZI""]","[""DTU""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":1}",COVAPIE_CYS_SG_EVENT_V1:1KZI:A:CYS:192-:SG:H:DTU:S4,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
24,P2,COVAPIE_BULK_REVIEW_UNIT_1E58101A3E611294,1,"[""1BJG""]","[""UFP""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":1}",COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
25,P2,COVAPIE_BULK_REVIEW_UNIT_5184266C4D495D18,16,"[""2AAZ""]","[""UMP""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":16}",COVAPIE_CYS_SG_EVENT_V1:2AAZ:A:CYS:187-:SG:Q:UMP:C6,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
26,P2,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,2,"[""1DC4""]","[""G3P""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":2}",COVAPIE_CYS_SG_EVENT_V1:1DC4:A:CYS:149-:SG:C:G3P:C1,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
27,P2,COVAPIE_BULK_REVIEW_UNIT_7FB64BA2D198B24F,3,"[""2A5I"",""2A5K""]","[""AZP""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":3}",COVAPIE_CYS_SG_EVENT_V1:2A5I:A:CYS:145-:SG:B:AZP:CBM,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
28,P2,COVAPIE_BULK_REVIEW_UNIT_90EE047F15B414B4,3,"[""1KEQ""]","[""4MZ""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":3}",COVAPIE_CYS_SG_EVENT_V1:1KEQ:A:CYS:131-:SG:E:4MZ:C4,"[""UNASSIGNED_READ_ONLY""]",NO_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
29,P2,COVAPIE_BULK_REVIEW_UNIT_946339D19F961B4A,4,"[""1FJ8""]","[""CER""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":4}",COVAPIE_CYS_SG_EVENT_V1:1FJ8:A:CYS:163-:SG:E:CER:C2,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
30,P2,COVAPIE_BULK_REVIEW_UNIT_971451AE7B5617B9,1,"[""207L""]","[""SC2""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":1}",COVAPIE_CYS_SG_EVENT_V1:207L:A:CYS:95-:SG:B:SC2:SG,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
31,P2,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,4,"[""1F4C"",""1F4D""]","[""TP2""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":4}",COVAPIE_CYS_SG_EVENT_V1:1F4C:A:CYS:146-:SG:F:TP2:S1,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
32,P2,COVAPIE_BULK_REVIEW_UNIT_D01A4DF5C78EE065,2,"[""1QFM""]","[""SGM""]","{""TASK_RELEVANCE_EVIDENCE_INSUFFICIENT"":2}",COVAPIE_CYS_SG_EVENT_V1:1QFM:A:CYS:532-:SG:E:SGM:S1,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
33,P3,COVAPIE_BULK_REVIEW_UNIT_47AC17EBC8C3AFD6,2,"[""1LXY""]","[""CIR""]","{""LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT"":2}",COVAPIE_CYS_SG_EVENT_V1:1LXY:A:CYS:398-:SG:C:CIR:C7,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
34,P3,COVAPIE_BULK_REVIEW_UNIT_AAFC22DB88292B60,2,"[""1JR1"",""2C6Q""]","[""IMP""]","{""LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT"":2}",COVAPIE_CYS_SG_EVENT_V1:1JR1:A:CYS:331-:SG:D:IMP:C2,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
35,P3,COVAPIE_BULK_REVIEW_UNIT_CF6D3ADC970757BA,2,"[""1TLS""]","[""UFP""]","{""LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT"":2}",COVAPIE_CYS_SG_EVENT_V1:1TLS:A:CYS:146-:SG:C:UFP:C6,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
36,P3,COVAPIE_BULK_REVIEW_UNIT_EB1C0FF8712C32A9,31,"[""1BQ1"",""1F28"",""1HVY"",""1JTQ"",""1JTU"",""1JU6"",""1JUJ"",""1JUT"",""1KZI"",""1KZJ"",""1TRG"",""1ZPR"",""2BBQ""]","[""UMP""]","{""LIKELY_BIOCHEMICAL_OR_NON_TARGET_GENERATION_EVENT"":31}",COVAPIE_CYS_SG_EVENT_V1:1BQ1:A:CYS:146-:SG:C:UMP:C6,"[""UNASSIGNED_READ_ONLY"",""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
