case_order,case_id,case_group,admission_rule_id,behavior,expected_result_or_error,observed_result_or_error,expected_reason,observed_reason,formal_call_count,oracle_call_count,candidate_access_status,handler_identity_status,case_passed
24,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A001_PASS,predecessor_exact10_truth,ADMIT_001,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
25,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A002_PASS,predecessor_exact10_truth,ADMIT_002,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
26,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A003_PASS,predecessor_exact10_truth,ADMIT_003,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
27,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A004_PASS,predecessor_exact10_truth,ADMIT_004,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
28,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_PASS,predecessor_exact10_truth,ADMIT_005,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
29,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_REJECT,predecessor_exact10_truth,ADMIT_005,predecessor_identity_and_behavior|representative_parity,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,0,0,not_applicable,true,true
30,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_EXPLICIT_PASS,predecessor_exact10_truth,ADMIT_006,predecessor_identity_and_behavior|representative_parity,passed,passed,,,0,0,not_applicable,true,true
31,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_DISTANCE_BLOCKED,predecessor_exact10_truth,ADMIT_006,predecessor_identity_and_behavior|representative_parity,blocked,blocked,COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,0,0,not_applicable,true,true
32,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_BATCH,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
33,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_EVALUATION,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED,ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED,0,0,not_accessed,not_applicable,true
34,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_KEY,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED,ADMIT_007_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED,0,0,not_accessed,not_applicable,true
35,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_DOWNLOAD,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_007_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
36,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_STAGE,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_007_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
37,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_MULTI_PRECEDENCE,predecessor_exact10_truth,ADMIT_007,context_routing|ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
38,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_CANDIDATE_BOMB,predecessor_exact10_truth,ADMIT_007,context_routing|candidate_not_accessed,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
39,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NON_MAPPING,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,ADMIT_007_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_007_CANDIDATE_RECORD_MAPPING_INVALID,0,0,envelope_checked,not_applicable,true
40,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_KEY_MISSING,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
41,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NONE,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
42,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
43,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY_SUBCLASS,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
44,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_WHITESPACE,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
45,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_MALFORMED,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
46,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_DISTANCE,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,blocked,blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,1,1,value_read_once,not_applicable,true
47,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_MAPPING_SUBCLASS,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
48,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EXTRA_FIELDS,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
49,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NO_MUTATION,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
50,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_IDENTITY,predecessor_exact10_truth,ADMIT_007,candidate_envelope|candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
51,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_001_canonical_structure_bond,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,passed,passed,,,1,1,value_read_once,not_applicable,true
52,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_002_canonical_curated_annotation,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,passed,passed,,,1,1,value_read_once,not_applicable,true
53,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_003_canonical_distance_only,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,blocked,blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,1,1,value_read_once,not_applicable,true
54,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_004_type_none,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
55,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_005_type_int,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
56,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_006_type_bool,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
57,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_007_type_str_subclass,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
58,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_008_type_list,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
59,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_009_type_mapping,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
60,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_010_empty,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
61,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_011_whitespace_only,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
62,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_012_leading_whitespace,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
63,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_013_trailing_whitespace,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
64,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_014_uppercase,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
65,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_015_hyphen,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
66,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_016_dot,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
67,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_017_slash,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
68,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_018_non_ascii,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,1,1,value_read_once,not_applicable,true
69,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_019_over_length,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
70,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_020_leading_digit,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
71,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_021_unknown_valid,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,1,1,value_read_once,not_applicable,true
72,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_022_unknown_explicit_looking,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,1,1,value_read_once,not_applicable,true
73,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_023_unknown_manual_review,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,1,1,value_read_once,not_applicable,true
74,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_024_unknown_other,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,1,1,value_read_once,not_applicable,true
75,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_025_unknown_unknown,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,1,1,value_read_once,not_applicable,true
76,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_026_context_exact_tuple,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,passed,passed,,,1,1,value_read_once,not_applicable,true
77,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_027_context_none,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,1,1,value_read_once,not_applicable,true
78,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_028_context_list,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,1,1,value_read_once,not_applicable,true
79,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_029_context_set,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,1,1,value_read_once,not_applicable,true
80,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_030_context_frozenset,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,1,1,value_read_once,not_applicable,true
81,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_031_context_wrong_order,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,1,1,value_read_once,not_applicable,true
82,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_032_context_missing_member,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,1,1,value_read_once,not_applicable,true
83,EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_EXACT37_033_context_duplicate,predecessor_exact10_truth,ADMIT_007,standalone_semantics|runtime_exact37_path,invalid,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID,1,1,value_read_once,not_applicable,true
