failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,option_row_count,template_row_count,package_index_row_count,human_review_completed,complete_warhead_atom_set_authority_available,exact_one_attachment_boundary_authority_available,SMARTS_ready,role_ready,mask_ready,model_ready,training_ready,verified
candidate set missing or extra candidate,2c94ac58adcb24f29c1d1e608379afc33bb27f8512a2ef5ee11d17dc811f0fb0,candidate_set_complete,false,candidate_set_missing_or_extra_candidate,candidate_set_missing_or_extra_candidate,true,true,0,0,0,false,false,false,false,false,false,false,false,true
candidate set ordering mismatch,4bd7dddd2f153bb956a58981a1fa9baa307fa9167014a8cab3249beb9a19950e,candidate_set_ordered,false,candidate_set_ordering_mismatch,candidate_set_ordering_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
admitted candidate list not ordered subset,2b21e89c47b13246b83f77ba949c9a1a6318e6784380020f71dc5fbbab7d7955,admitted_ordered_subset,false,admitted_candidate_list_not_ordered_subset,admitted_candidate_list_not_ordered_subset,true,true,0,0,0,false,false,false,false,false,false,false,false,true
candidate-set SHA mismatch,33616a6cb8857711ed52fb954d67fc469ebc80d386125806046ea6d1e1656a56,candidate_set_sha_matches,false,candidate_set_SHA_mismatch,candidate_set_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
option row count not 200,11b36790f8d399eaf88b165d70c375c0fa5189283492aa87702ec930e2a9c9e6,option_count,199,option_row_count_not_200,option_row_count_not_200,true,true,0,0,0,false,false,false,false,false,false,false,false,true
global option order mismatch,f0b199095fc8e1bcbd783cedc8cd26b7a6e90a54234da647ef49042d8a8ae9dc,global_option_order_matches,false,global_option_order_mismatch,global_option_order_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
option identity linkage mismatch,46f9c75f61ffbbdfff31e581384e55ccefda4920f92c25c39aa0063454593026,option_identity_linkage_matches,false,option_identity_linkage_mismatch,option_identity_linkage_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
boundary endpoint derivation mismatch,749234907d81f26efe5c06d5b510e35052ec94dacc032e1bcf26501d1123df39,boundary_endpoint_derivation_matches,false,boundary_endpoint_derivation_mismatch,boundary_endpoint_derivation_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
warhead extra atom-set mismatch,393634ae13fbc4a101316d556aeb6c2d60e8d2f9de73601d1d16bcc4a4e76a8c,warhead_extra_atom_set_matches,false,warhead_extra_atom_set_mismatch,warhead_extra_atom_set_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
review eligibility mismatch,cd38eeddd14a99a0951ac29f46ba7dcfe357f981ca63a8624ae699632ffecf48,review_eligibility_matches,false,review_eligibility_mismatch,review_eligibility_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
option record SHA mismatch,8e8573ccf98c102fc9db384d32da0e4c6997d4413231edc3427fd0f7654d808b,option_record_sha_matches,false,option_record_SHA_mismatch,option_record_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
package index count or order mismatch,ddd5aa63cc5c5e61bc87910fe566e8ea60028a9fb6148fdddbc426b9c0216b27,package_index_count_and_order_matches,false,package_index_count_or_order_mismatch,package_index_count_or_order_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
package index identity linkage mismatch,f4fad6d0fce0bf9bdc4d18557160372a37beab1173048e41ccdca43f4fd07690,package_index_identity_linkage_matches,false,package_index_identity_linkage_mismatch,package_index_identity_linkage_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
package candidate counts mismatch,7c1beae73211e6e94916fc23a428e77bbc0460b945479401a2222a7e1bf49ddb,package_candidate_counts_match,false,package_candidate_counts_mismatch,package_candidate_counts_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
review template field inventory mismatch,8b03b87527a284e3db40be4e759ca5d1c25af01e7d1fa106a80a1afca703caef,review_template_field_inventory_matches,false,review_template_field_inventory_mismatch,review_template_field_inventory_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
review template identity linkage mismatch,893a1912ce9cce8e6888b04c74c7ee79d461c9cfed62978f9229ecf88c56bbb2,review_template_identity_linkage_matches,false,review_template_identity_linkage_mismatch,review_template_identity_linkage_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
review template source SHA mismatch,bdb6e6d8bf127b056322e3fc1d053dee90f6c1216ea396da4fbe43175f28f6fc,review_template_source_sha_matches,false,review_template_source_SHA_mismatch,review_template_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
not-reviewed decision prefilled,89f90c6603d506d2da35a20469a8aaf11886f97f0c58c72adb1a1389ea0d1b03,not_reviewed_decision_blank,false,not_reviewed_decision_prefilled,not_reviewed_decision_prefilled,true,true,0,0,0,false,false,false,false,false,false,false,false,true
not-reviewed selection prefilled,68aa66aca0a845a09585513842dd6a38a76f3d843fadb6fdaa1b406381e33b2e,not_reviewed_selection_blank,false,not_reviewed_selection_prefilled,not_reviewed_selection_prefilled,true,true,0,0,0,false,false,false,false,false,false,false,false,true
not-reviewed atom or boundary fields prefilled,477200f0758d78bc7de5cbf7258e570a66d3a6cf9e7651a6da64780f99d9655d,not_reviewed_atom_boundary_blank,false,not_reviewed_atom_or_boundary_fields_prefilled,not_reviewed_atom_or_boundary_fields_prefilled,true,true,0,0,0,false,false,false,false,false,false,false,false,true
not-reviewed reviewer/rationale/notes prefilled,28d1f74eb4e208a833650be2e39caf16bb1c0755f77a1a7ceff6f530c5887269,not_reviewed_text_blank,false,not_reviewed_reviewer_rationale_or_notes_prefilled,not_reviewed_reviewer_rationale_or_notes_prefilled,true,true,0,0,0,false,false,false,false,false,false,false,false,true
not-reviewed review digest prefilled,1fe3bb86a92524a57de2f8dd726885024858f7dc1fd9d32f8c2769e1bab74b03,not_reviewed_digest_blank,false,not_reviewed_review_digest_prefilled,not_reviewed_review_digest_prefilled,true,true,0,0,0,false,false,false,false,false,false,false,false,true
select decision dependency invalid,ff099e1e185f263d2e0514dcf52caf616d96a283c615637c9786408c21bf8fc5,select_dependency_valid,false,select_decision_dependency_invalid,select_decision_dependency_invalid,true,true,0,0,0,false,false,false,false,false,false,false,false,true
revise decision graph invariant invalid,c22bb72f068741994670e8b6e615b60c0df8fafe4af17892f32c1593fdb81bb8,revise_graph_invariant_valid,false,revise_decision_graph_invariant_invalid,revise_decision_graph_invariant_invalid,true,true,0,0,0,false,false,false,false,false,false,false,false,true
quarantine decision dependency invalid,663fa4026251166a9ca9a594ebc8e16512b121af1fd901664688fd4bd32efb91,quarantine_dependency_valid,false,quarantine_decision_dependency_invalid,quarantine_decision_dependency_invalid,true,true,0,0,0,false,false,false,false,false,false,false,false,true
unreviewed template payload SHA mismatch,bcadee4682af43784e724c5019369bed0a62c4b9a50758232c7b8ef9ae03e79a,template_payload_sha_matches,false,unreviewed_template_payload_SHA_mismatch,unreviewed_template_payload_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
partial materialization attempted,e685981b2dd2c1e6221fbac105ad96724f925017942bec22811a8c51bfcbaad2,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,false,false,false,false,true
downstream readiness prematurely opened,7e9e615d996ffe0dfa8582b70daedb3726643e01408d864af045f24bd4f9aa41,downstream_readiness_opened,true,downstream_readiness_prematurely_opened,downstream_readiness_prematurely_opened,true,true,0,0,0,false,false,false,false,false,false,false,false,true
