case_order,case_id,case_group,source_case_id,expected_result_or_error,observed_result_or_error,candidate_key_access_count,download_lookup_count,authority_lookup_count,formal_call_count,oracle_call_count,dispatch_handler_call_count,first_twelve_handler_identity_preserved,case_passed
11,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_006,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_006,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}",0,0,0,0,0,0,true,true
12,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_007,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_007,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
13,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_NON_STR,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_NON_STR,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}",0,0,0,0,0,0,true,true
14,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_STR_SUBCLASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_STR_SUBCLASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
15,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_UNKNOWN,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_UNKNOWN,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""94c37cc3198774c117ecc3f90f44f049caa2503208a5ecd38b479213094e95f5""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""94c37cc3198774c117ecc3f90f44f049caa2503208a5ecd38b479213094e95f5""}",0,0,0,0,0,0,true,true
16,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_KNOWN_UNREGISTERED,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_KNOWN_UNREGISTERED,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b8de9acee1789586d5c3f460ca5d238ab8f2de715332311f691f70c58ebe13d6""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b8de9acee1789586d5c3f460ca5d238ab8f2de715332311f691f70c58ebe13d6""}",0,0,0,0,0,0,true,true
17,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_PRECEDENCE,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_PRECEDENCE,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}",0,0,0,0,0,0,true,true
18,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_001,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_001,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}",0,0,0,0,0,0,true,true
19,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_002,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_002,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}",0,0,0,0,0,0,true,true
20,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_003,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_003,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}",0,0,0,0,0,0,true,true
21,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_004,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_004,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}",0,0,0,0,0,0,true,true
22,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_005,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_005,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}",0,0,0,0,0,0,true,true
23,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_006,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_006,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}",0,0,0,0,0,0,true,true
24,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A001_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A001_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}",0,0,0,0,0,0,true,true
25,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A002_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A002_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}",0,0,0,0,0,0,true,true
26,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A003_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A003_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}",0,0,0,0,0,0,true,true
27,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A004_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A004_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}",0,0,0,0,0,0,true,true
28,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}",0,0,0,0,0,0,true,true
29,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_REJECT,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P5_A005_REJECT,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}",0,0,0,0,0,0,true,true
30,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_EXPLICIT_PASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_EXPLICIT_PASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}",0,0,0,0,0,0,true,true
31,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_DISTANCE_BLOCKED,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P6_A006_DISTANCE_BLOCKED,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""fdb32b46f26372483d76dfed0ca07652d6db1c2a90ad181c1e448f45faf142ed""}",0,0,0,0,0,0,true,true
32,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_BATCH,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_BATCH,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
33,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_EVALUATION,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_EVALUATION,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
34,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_KEY,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_KEY,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
35,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_DOWNLOAD,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_DOWNLOAD,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
36,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_STAGE,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_STAGE,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
37,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_MULTI_PRECEDENCE,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_MULTI_PRECEDENCE,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
38,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_CANDIDATE_BOMB,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CONTEXT_CANDIDATE_BOMB,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
39,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NON_MAPPING,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NON_MAPPING,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
40,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_KEY_MISSING,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_KEY_MISSING,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
41,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NONE,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_NONE,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
42,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
43,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY_SUBCLASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_A007_CANDIDATE_EMPTY_SUBCLASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""c66ddbc97c0e6577475bc8bc29a590dda62c0f82f75a272bc33f70548859684b""}",0,0,0,0,0,0,true,true
