audit_order,audit_item,expected_value,observed_value,audit_passed
21,handler_identity:ADMIT_012,True,True,true
22,handler_binding:ADMIT_013,True,True,true
23,predecessor_dispatcher_unchanged,True,True,true
24,successor_dispatcher_distinct,True,True,true
25,dispatcher_signature_equal,True,True,true
26,rule_names,"{'ADMIT_001': 'unique_candidate_identity', 'ADMIT_002': 'valid_pdb_id_format', 'ADMIT_003': 'ligand_or_het_identity_present', 'ADMIT_004': 'covalent_residue_identity_present', 'ADMIT_005': 'cys_sg_scope_only_v1', 'ADMIT_006': 'explicit_covalent_event_evidence', 'ADMIT_007': 'distance_only_inference_forbidden', 'ADMIT_008': 'topology_restoration_disposition', 'ADMIT_009': 'duplicate_identity_precheck', 'ADMIT_010': 'leakage_group_assignment_before_split', 'ADMIT_011': 'raw_overwrite_forbidden', 'ADMIT_012': 'future_download_integrity_fields_required', 'ADMIT_013': 'download_failure_fail_closed'}","{'ADMIT_001': 'unique_candidate_identity', 'ADMIT_002': 'valid_pdb_id_format', 'ADMIT_003': 'ligand_or_het_identity_present', 'ADMIT_004': 'covalent_residue_identity_present', 'ADMIT_005': 'cys_sg_scope_only_v1', 'ADMIT_006': 'explicit_covalent_event_evidence', 'ADMIT_007': 'distance_only_inference_forbidden', 'ADMIT_008': 'topology_restoration_disposition', 'ADMIT_009': 'duplicate_identity_precheck', 'ADMIT_010': 'leakage_group_assignment_before_split', 'ADMIT_011': 'raw_overwrite_forbidden', 'ADMIT_012': 'future_download_integrity_fields_required', 'ADMIT_013': 'download_failure_fail_closed'}",true
27,adapter_ids,"{'ADMIT_001': 'covapie_admit_001_unified_adapter_v1', 'ADMIT_002': 'covapie_admit_002_unified_adapter_v1', 'ADMIT_003': 'covapie_admit_003_unified_adapter_v1', 'ADMIT_004': 'covapie_admit_004_unified_adapter_v1', 'ADMIT_005': 'covapie_admit_005_unified_adapter_v1', 'ADMIT_006': 'covapie_admit_006_unified_adapter_v1', 'ADMIT_007': 'covapie_admit_007_unified_adapter_v1', 'ADMIT_008': 'covapie_admit_008_unified_adapter_v1', 'ADMIT_009': 'covapie_admit_009_unified_adapter_v1', 'ADMIT_010': 'covapie_admit_010_unified_adapter_v1', 'ADMIT_011': 'covapie_admit_011_unified_adapter_v1', 'ADMIT_012': 'covapie_admit_012_unified_adapter_v1', 'ADMIT_013': 'covapie_admit_013_unified_adapter_v1'}","{'ADMIT_001': 'covapie_admit_001_unified_adapter_v1', 'ADMIT_002': 'covapie_admit_002_unified_adapter_v1', 'ADMIT_003': 'covapie_admit_003_unified_adapter_v1', 'ADMIT_004': 'covapie_admit_004_unified_adapter_v1', 'ADMIT_005': 'covapie_admit_005_unified_adapter_v1', 'ADMIT_006': 'covapie_admit_006_unified_adapter_v1', 'ADMIT_007': 'covapie_admit_007_unified_adapter_v1', 'ADMIT_008': 'covapie_admit_008_unified_adapter_v1', 'ADMIT_009': 'covapie_admit_009_unified_adapter_v1', 'ADMIT_010': 'covapie_admit_010_unified_adapter_v1', 'ADMIT_011': 'covapie_admit_011_unified_adapter_v1', 'ADMIT_012': 'covapie_admit_012_unified_adapter_v1', 'ADMIT_013': 'covapie_admit_013_unified_adapter_v1'}",true
28,known_rule_ids,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')",true
29,callable_discovered_rule_ids,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
30,adapter_ready_rule_ids,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
31,legacy_adapter_not_ready_rule_ids,(),(),true
32,ADMIT_014_unregistered,False,False,true
33,ADMIT_015_unregistered,False,False,true
34,mapping_proxy:RULE_NAMES,<class 'mappingproxy'>,<class 'mappingproxy'>,true
35,mutation_rejected:RULE_NAMES,True,True,true
36,mapping_proxy:ADAPTER_IDS,<class 'mappingproxy'>,<class 'mappingproxy'>,true
37,mutation_rejected:ADAPTER_IDS,True,True,true
38,mapping_proxy:EVALUATOR_REGISTRY,<class 'mappingproxy'>,<class 'mappingproxy'>,true
39,mutation_rejected:EVALUATOR_REGISTRY,True,True,true
