contract_order,contract_id,contract_group,contract_subject,expected_value,observed_value,contract_passed
40,CONTRACT_040,projection,validated,download_observation_pairs_only,download_observation_pairs_only,true
41,CONTRACT_041,projection,consumed candidate,download_result_names,download_result_names,true
42,CONTRACT_042,projection,consumed context,integrity_authority_names,integrity_authority_names,true
43,CONTRACT_043,projection,integers,canonical_decimal_str,canonical_decimal_str,true
44,CONTRACT_044,projection,schema,shared_Exact13_unchanged,shared_Exact13_unchanged,true
45,CONTRACT_045,truth,predecessor continuity,Exact694,Exact694,true
46,CONTRACT_046,truth,ADMIT_013 committed identities,Exact128,Exact128,true
47,CONTRACT_047,truth,ADMIT_013 normal projections,Exact102,Exact102,true
48,CONTRACT_048,truth,ADMIT_013 negative attestations,Exact26,Exact26,true
49,CONTRACT_049,truth,ADMIT_013 inherited business,Exact23,Exact23,true
50,CONTRACT_050,truth,ADMIT_013 routing,Exact44,Exact44,true
51,CONTRACT_051,issue,single transition,coverage_removes_ADMIT_013_only,coverage_removes_ADMIT_013_only,true
52,CONTRACT_052,boundary,ADMIT_014 and ADMIT_015,not_implemented,not_implemented,true
53,CONTRACT_053,boundary,combined verdict and aggregation,not_implemented,not_implemented,true
54,CONTRACT_054,boundary,provider network download raw,not_executed,not_executed,true
55,CONTRACT_055,boundary,model checkpoint dataloader training,not_executed,not_executed,true
56,CONTRACT_056,training,feature semantics audit,required_Step12D_smoke_only,required_Step12D_smoke_only,true
57,CONTRACT_057,materializer,publication,set_atomic_RENAME_NOREPLACE,set_atomic_RENAME_NOREPLACE,true
58,CONTRACT_058,materializer,existing exact set,inode_preserving_noop,inode_preserving_noop,true
59,CONTRACT_059,materializer,GPFS EINVAL,fail_closed_no_replace,fail_closed_no_replace,true
