source_ligand_evidence_complete,source_protein_evidence_complete,ligand_axis_must_link,protein_axis_must_link,direct_must_link_edge,direct_must_link_reason,pair_assignment_classification,pair_assignment_decision_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,source_combined_evidence_row_found,same_ligand_graph,same_murcko_scaffold,same_protein_accession,same_exact_protein_sequence,same_sequence_cluster_90,same_sequence_cluster_50,same_final_leakage_group_after_transitive_closure,transitive_only_same_group,pair_assignment_passed,blocking_reasons
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000020,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000004,6BV5,1AEC,JUG,E64,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000021,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000005,6BV5,1AIM,JUG,ZYA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000022,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000006,6BV5,1AU3,JUG,PCM,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000023,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000007,6BV5,1AU4,JUG,INP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000024,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000008,6BV5,1AYU,JUG,INA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000025,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000009,6BV5,1AYV,JUG,IN6,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000026,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000010,6BV5,1AYW,JUG,IN3,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000027,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000011,6BV5,1B02,JUG,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000028,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000005,1AEC,1AIM,E64,ZYA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000029,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000006,1AEC,1AU3,E64,PCM,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000030,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000007,1AEC,1AU4,E64,INP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000031,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000008,1AEC,1AYU,E64,INA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000032,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000009,1AEC,1AYV,E64,IN6,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000033,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000010,1AEC,1AYW,E64,IN3,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000034,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000011,1AEC,1B02,E64,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000035,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000006,1AIM,1AU3,ZYA,PCM,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000036,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000007,1AIM,1AU4,ZYA,INP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000037,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000008,1AIM,1AYU,ZYA,INA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000038,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000009,1AIM,1AYV,ZYA,IN6,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000039,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000010,1AIM,1AYW,ZYA,IN3,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000040,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000011,1AIM,1B02,ZYA,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000041,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000007,1AU3,1AU4,PCM,INP,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000042,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000008,1AU3,1AYU,PCM,INA,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000043,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000009,1AU3,1AYV,PCM,IN6,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000044,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000010,1AU3,1AYW,PCM,IN3,True,False,False,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000045,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000011,1AU3,1B02,PCM,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000046,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000008,1AU4,1AYU,INP,INA,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000047,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000009,1AU4,1AYV,INP,IN6,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000048,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000010,1AU4,1AYW,INP,IN3,True,False,False,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000049,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000011,1AU4,1B02,INP,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000050,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000009,1AYU,1AYV,INA,IN6,True,False,False,True,True,True,True,True,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000051,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000010,1AYU,1AYW,INA,IN3,True,False,False,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000052,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000011,1AYU,1B02,INA,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,True,True,protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_protein_axis_only,COVAPIE_PAIR_ASSIGNMENT_000053,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000010,1AYV,1AYW,IN6,IN3,True,False,False,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000054,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000011,1AYV,1B02,IN6,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000055,CYS_SG_SAMPLE_INDEX_000010,CYS_SG_SAMPLE_INDEX_000011,1AYW,1B02,IN3,UFP,True,False,False,False,False,False,False,False,False,True,
