scope_order,scope_id,scope_rule_order,admission_rule_id,admission_rule_name,execution_domain,dispatcher_call_phase,candidate_record_source,batch_context_source,evaluation_context_source,download_result_context_source,stage_authorization_context_source,vector_position,result_reuse_policy,expected_calls_for_N,contract_evidence_source,contract_passed
1,download_execution_permission,11,ADMIT_014,current_gate_grants_no_download_permission,stage_global_once,stage_global_before_candidates,STAGE_GLOBAL_CANDIDATE_SENTINEL_same_identity,None,None,None,api_stage_authorization_context_same_identity,10,same_result_identity_reused_across_all_candidates,1,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_014,true
2,post_download_acceptance_permission,1,ADMIT_001,unique_candidate_identity,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,None,None,None,0,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_001,true
2,post_download_acceptance_permission,2,ADMIT_002,valid_pdb_id_format,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,1,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_002,true
2,post_download_acceptance_permission,3,ADMIT_003,ligand_or_het_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,2,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_003,true
2,post_download_acceptance_permission,4,ADMIT_004,covalent_residue_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,3,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_004,true
2,post_download_acceptance_permission,5,ADMIT_005,cys_sg_scope_only_v1,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,4,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_005,true
2,post_download_acceptance_permission,6,ADMIT_006,explicit_covalent_event_evidence,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,5,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_006,true
2,post_download_acceptance_permission,7,ADMIT_007,distance_only_inference_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,6,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_007,true
2,post_download_acceptance_permission,8,ADMIT_008,topology_restoration_disposition,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,7,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_008,true
2,post_download_acceptance_permission,9,ADMIT_009,duplicate_identity_precheck,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,candidate_input.evaluation_context_same_identity,None,None,8,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_009,true
2,post_download_acceptance_permission,10,ADMIT_011,raw_overwrite_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,9,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_011,true
2,post_download_acceptance_permission,11,ADMIT_012,future_download_integrity_fields_required,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,10,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_012,true
2,post_download_acceptance_permission,12,ADMIT_013,download_failure_fail_closed,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,11,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_013,true
2,post_download_acceptance_permission,13,ADMIT_014,current_gate_grants_no_download_permission,stage_global_once,stage_global_before_candidates,STAGE_GLOBAL_CANDIDATE_SENTINEL_same_identity,None,None,None,api_stage_authorization_context_same_identity,12,same_result_identity_reused_across_all_candidates,1,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_014,true
3,pre_final_split_acceptance_permission,1,ADMIT_001,unique_candidate_identity,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,None,None,None,0,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_001,true
3,pre_final_split_acceptance_permission,2,ADMIT_002,valid_pdb_id_format,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,1,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_002,true
3,pre_final_split_acceptance_permission,3,ADMIT_003,ligand_or_het_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,2,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_003,true
3,pre_final_split_acceptance_permission,4,ADMIT_004,covalent_residue_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,3,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_004,true
3,pre_final_split_acceptance_permission,5,ADMIT_005,cys_sg_scope_only_v1,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,4,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_005,true
3,pre_final_split_acceptance_permission,6,ADMIT_006,explicit_covalent_event_evidence,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,5,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_006,true
3,pre_final_split_acceptance_permission,7,ADMIT_007,distance_only_inference_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,6,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_007,true
3,pre_final_split_acceptance_permission,8,ADMIT_008,topology_restoration_disposition,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,7,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_008,true
3,pre_final_split_acceptance_permission,9,ADMIT_009,duplicate_identity_precheck,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,candidate_input.evaluation_context_same_identity,None,None,8,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_009,true
3,pre_final_split_acceptance_permission,10,ADMIT_010,leakage_group_assignment_before_split,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,9,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_010,true
3,pre_final_split_acceptance_permission,11,ADMIT_011,raw_overwrite_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,10,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_011,true
3,pre_final_split_acceptance_permission,12,ADMIT_012,future_download_integrity_fields_required,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,11,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_012,true
3,pre_final_split_acceptance_permission,13,ADMIT_013,download_failure_fail_closed,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,12,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_013,true
3,pre_final_split_acceptance_permission,14,ADMIT_014,current_gate_grants_no_download_permission,stage_global_once,stage_global_before_candidates,STAGE_GLOBAL_CANDIDATE_SENTINEL_same_identity,None,None,None,api_stage_authorization_context_same_identity,13,same_result_identity_reused_across_all_candidates,1,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_014,true
4,training_execution_admission_permission,1,ADMIT_001,unique_candidate_identity,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,None,None,None,0,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_001,true
4,training_execution_admission_permission,2,ADMIT_002,valid_pdb_id_format,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,1,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_002,true
4,training_execution_admission_permission,3,ADMIT_003,ligand_or_het_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,2,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_003,true
4,training_execution_admission_permission,4,ADMIT_004,covalent_residue_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,3,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_004,true
4,training_execution_admission_permission,5,ADMIT_005,cys_sg_scope_only_v1,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,4,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_005,true
4,training_execution_admission_permission,6,ADMIT_006,explicit_covalent_event_evidence,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,5,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_006,true
4,training_execution_admission_permission,7,ADMIT_007,distance_only_inference_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,6,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_007,true
4,training_execution_admission_permission,8,ADMIT_008,topology_restoration_disposition,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,7,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_008,true
4,training_execution_admission_permission,9,ADMIT_009,duplicate_identity_precheck,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,candidate_input.evaluation_context_same_identity,None,None,8,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_009,true
4,training_execution_admission_permission,10,ADMIT_010,leakage_group_assignment_before_split,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,9,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_010,true
4,training_execution_admission_permission,11,ADMIT_011,raw_overwrite_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,10,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_011,true
4,training_execution_admission_permission,12,ADMIT_012,future_download_integrity_fields_required,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,11,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_012,true
4,training_execution_admission_permission,13,ADMIT_013,download_failure_fail_closed,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,candidate_input.download_result_context_same_identity,None,12,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_013,true
4,training_execution_admission_permission,14,ADMIT_014,current_gate_grants_no_download_permission,stage_global_once,stage_global_before_candidates,STAGE_GLOBAL_CANDIDATE_SENTINEL_same_identity,None,None,None,api_stage_authorization_context_same_identity,13,same_result_identity_reused_across_all_candidates,1,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_014,true
4,training_execution_admission_permission,15,ADMIT_015,current_gate_grants_no_training_permission,stage_global_once,stage_global_before_candidates,STAGE_GLOBAL_CANDIDATE_SENTINEL_same_identity,None,None,None,api_stage_authorization_context_same_identity,14,same_result_identity_reused_across_all_candidates,1,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_015,true
