case_group,case_id,expected,observed,case_passed
candidate_rule_order,download_execution_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')",true
input_object_identity,download_execution_permission:N=3,True,True,true
stage_global_result_identity_reuse,download_execution_permission:N=3:ADMIT_014,True,True,true
action_permission_always_false,download_execution_permission:N=3,False,False,true
design_oracle_io_false,download_execution_permission:N=3,False,False,true
canonical_plan,post_download_acceptance_permission:N=1,'post_download_acceptance_permission','post_download_acceptance_permission',true
candidate_count,post_download_acceptance_permission:N=1,1,1,true
dispatcher_cardinality,post_download_acceptance_permission:N=1,13,13,true
aggregator_cardinality,post_download_acceptance_permission:N=1,1,1,true
complete_vector_membership,post_download_acceptance_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,post_download_acceptance_permission:N=1,"(0,)","(0,)",true
candidate_rule_order,post_download_acceptance_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,post_download_acceptance_permission:N=1,True,True,true
stage_global_result_identity_reuse,post_download_acceptance_permission:N=1:ADMIT_014,True,True,true
action_permission_always_false,post_download_acceptance_permission:N=1,False,False,true
design_oracle_io_false,post_download_acceptance_permission:N=1,False,False,true
canonical_plan,post_download_acceptance_permission:N=2,'post_download_acceptance_permission','post_download_acceptance_permission',true
candidate_count,post_download_acceptance_permission:N=2,2,2,true
dispatcher_cardinality,post_download_acceptance_permission:N=2,25,25,true
aggregator_cardinality,post_download_acceptance_permission:N=2,2,2,true
complete_vector_membership,post_download_acceptance_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,post_download_acceptance_permission:N=2,"(0, 1)","(0, 1)",true
candidate_rule_order,post_download_acceptance_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,post_download_acceptance_permission:N=2,True,True,true
stage_global_result_identity_reuse,post_download_acceptance_permission:N=2:ADMIT_014,True,True,true
action_permission_always_false,post_download_acceptance_permission:N=2,False,False,true
design_oracle_io_false,post_download_acceptance_permission:N=2,False,False,true
canonical_plan,post_download_acceptance_permission:N=3,'post_download_acceptance_permission','post_download_acceptance_permission',true
candidate_count,post_download_acceptance_permission:N=3,3,3,true
dispatcher_cardinality,post_download_acceptance_permission:N=3,37,37,true
aggregator_cardinality,post_download_acceptance_permission:N=3,3,3,true
complete_vector_membership,post_download_acceptance_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,post_download_acceptance_permission:N=3,"(0, 1, 2)","(0, 1, 2)",true
candidate_rule_order,post_download_acceptance_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,post_download_acceptance_permission:N=3,True,True,true
stage_global_result_identity_reuse,post_download_acceptance_permission:N=3:ADMIT_014,True,True,true
action_permission_always_false,post_download_acceptance_permission:N=3,False,False,true
design_oracle_io_false,post_download_acceptance_permission:N=3,False,False,true
canonical_plan,pre_final_split_acceptance_permission:N=1,'pre_final_split_acceptance_permission','pre_final_split_acceptance_permission',true
candidate_count,pre_final_split_acceptance_permission:N=1,1,1,true
dispatcher_cardinality,pre_final_split_acceptance_permission:N=1,14,14,true
aggregator_cardinality,pre_final_split_acceptance_permission:N=1,1,1,true
complete_vector_membership,pre_final_split_acceptance_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,pre_final_split_acceptance_permission:N=1,"(0,)","(0,)",true
candidate_rule_order,pre_final_split_acceptance_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,pre_final_split_acceptance_permission:N=1,True,True,true
stage_global_result_identity_reuse,pre_final_split_acceptance_permission:N=1:ADMIT_014,True,True,true
action_permission_always_false,pre_final_split_acceptance_permission:N=1,False,False,true
design_oracle_io_false,pre_final_split_acceptance_permission:N=1,False,False,true
canonical_plan,pre_final_split_acceptance_permission:N=2,'pre_final_split_acceptance_permission','pre_final_split_acceptance_permission',true
candidate_count,pre_final_split_acceptance_permission:N=2,2,2,true
dispatcher_cardinality,pre_final_split_acceptance_permission:N=2,27,27,true
aggregator_cardinality,pre_final_split_acceptance_permission:N=2,2,2,true
complete_vector_membership,pre_final_split_acceptance_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,pre_final_split_acceptance_permission:N=2,"(0, 1)","(0, 1)",true
candidate_rule_order,pre_final_split_acceptance_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,pre_final_split_acceptance_permission:N=2,True,True,true
stage_global_result_identity_reuse,pre_final_split_acceptance_permission:N=2:ADMIT_014,True,True,true
action_permission_always_false,pre_final_split_acceptance_permission:N=2,False,False,true
design_oracle_io_false,pre_final_split_acceptance_permission:N=2,False,False,true
canonical_plan,pre_final_split_acceptance_permission:N=3,'pre_final_split_acceptance_permission','pre_final_split_acceptance_permission',true
candidate_count,pre_final_split_acceptance_permission:N=3,3,3,true
dispatcher_cardinality,pre_final_split_acceptance_permission:N=3,40,40,true
aggregator_cardinality,pre_final_split_acceptance_permission:N=3,3,3,true
complete_vector_membership,pre_final_split_acceptance_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014')",true
candidate_order,pre_final_split_acceptance_permission:N=3,"(0, 1, 2)","(0, 1, 2)",true
candidate_rule_order,pre_final_split_acceptance_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,pre_final_split_acceptance_permission:N=3,True,True,true
stage_global_result_identity_reuse,pre_final_split_acceptance_permission:N=3:ADMIT_014,True,True,true
action_permission_always_false,pre_final_split_acceptance_permission:N=3,False,False,true
design_oracle_io_false,pre_final_split_acceptance_permission:N=3,False,False,true
canonical_plan,training_execution_admission_permission:N=1,'training_execution_admission_permission','training_execution_admission_permission',true
candidate_count,training_execution_admission_permission:N=1,1,1,true
dispatcher_cardinality,training_execution_admission_permission:N=1,15,15,true
aggregator_cardinality,training_execution_admission_permission:N=1,1,1,true
complete_vector_membership,training_execution_admission_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')",true
candidate_order,training_execution_admission_permission:N=1,"(0,)","(0,)",true
candidate_rule_order,training_execution_admission_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,training_execution_admission_permission:N=1,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=1:ADMIT_014,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=1:ADMIT_015,True,True,true
action_permission_always_false,training_execution_admission_permission:N=1,False,False,true
design_oracle_io_false,training_execution_admission_permission:N=1,False,False,true
canonical_plan,training_execution_admission_permission:N=2,'training_execution_admission_permission','training_execution_admission_permission',true
candidate_count,training_execution_admission_permission:N=2,2,2,true
dispatcher_cardinality,training_execution_admission_permission:N=2,28,28,true
aggregator_cardinality,training_execution_admission_permission:N=2,2,2,true
complete_vector_membership,training_execution_admission_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')",true
candidate_order,training_execution_admission_permission:N=2,"(0, 1)","(0, 1)",true
candidate_rule_order,training_execution_admission_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,training_execution_admission_permission:N=2,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=2:ADMIT_014,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=2:ADMIT_015,True,True,true
action_permission_always_false,training_execution_admission_permission:N=2,False,False,true
design_oracle_io_false,training_execution_admission_permission:N=2,False,False,true
canonical_plan,training_execution_admission_permission:N=3,'training_execution_admission_permission','training_execution_admission_permission',true
candidate_count,training_execution_admission_permission:N=3,3,3,true
dispatcher_cardinality,training_execution_admission_permission:N=3,41,41,true
aggregator_cardinality,training_execution_admission_permission:N=3,3,3,true
complete_vector_membership,training_execution_admission_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013', 'ADMIT_014', 'ADMIT_015')",true
candidate_order,training_execution_admission_permission:N=3,"(0, 1, 2)","(0, 1, 2)",true
candidate_rule_order,training_execution_admission_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
input_object_identity,training_execution_admission_permission:N=3,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=3:ADMIT_014,True,True,true
stage_global_result_identity_reuse,training_execution_admission_permission:N=3:ADMIT_015,True,True,true
action_permission_always_false,training_execution_admission_permission:N=3,False,False,true
design_oracle_io_false,training_execution_admission_permission:N=3,False,False,true
admit_014_exactly_once,training,1,1,true
admit_015_exactly_once,training,1,1,true
admit_015_training_only,download_execution_permission,False,False,true
admit_015_training_only,post_download_acceptance_permission,False,False,true
admit_015_training_only,pre_final_split_acceptance_permission,False,False,true
stage_global_result_insertion,training,"('ADMIT_014', 'ADMIT_015')","('ADMIT_014', 'ADMIT_015')",true
candidate_result_insertion,training,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
no_normal_result_short_circuit,passed_blocked_invalid_rejected,"('passed', 'blocked', 'invalid', 'rejected')","('passed', 'blocked', 'invalid', 'rejected')",true
blocked_stage_result_diagnostics_continue,design_plan,26,26,true
invalid_candidate_result_later_candidates_continue,design_plan,2,2,true
invalid_scope,fail_closed,'STAGE_ORCHESTRATION_SCOPE_ID_INVALID','STAGE_ORCHESTRATION_SCOPE_ID_INVALID',true
prevalidation_error_projection,invalid_scope,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_SCOPE_ID_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_SCOPE_ID_INVALID', '')",true
candidate_inputs_non_tuple,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID',true
prevalidation_error_projection,candidate_inputs_non_tuple,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID', '')",true
candidate_inputs_empty,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID',true
prevalidation_error_projection,candidate_inputs_empty,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID', '')",true
wrong_input_element_type,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID',true
prevalidation_error_projection,wrong_input_element_type,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')",true
candidate_record_non_mapping,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID',true
prevalidation_error_projection,candidate_record_non_mapping,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')",true
evaluation_context_type_invalid,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID',true
prevalidation_error_projection,evaluation_context_type_invalid,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')",true
download_context_type_invalid,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID',true
prevalidation_error_projection,download_context_type_invalid,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')",true
batch_context_type_invalid,fail_closed,'STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID','STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID',true
prevalidation_error_projection,batch_context_type_invalid,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID', '')",true
stage_authorization_context_type_invalid,fail_closed,'STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID','STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID',true
prevalidation_error_projection,stage_authorization_context_type_invalid,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID', '')",true
input_subclass_rejected,fail_closed,'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID','STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID',true
prevalidation_error_projection,input_subclass_rejected,"(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')","(-1, '', 0, 0, 'STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID', '')",true
stage_global_dispatch_failure_formula,download_execution_permission:k=1:ADMIT_014,"(-1, 'ADMIT_014', 1, 0)","(-1, 'ADMIT_014', 1, 0)",true
candidate_dispatch_failure_formula,download_execution_permission:i=0:j=1,"(0, 'ADMIT_001', 2, 0)","(0, 'ADMIT_001', 2, 0)",true
candidate_dispatch_failure_formula,download_execution_permission:i=0:j=5,"(0, 'ADMIT_005', 6, 0)","(0, 'ADMIT_005', 6, 0)",true
candidate_dispatch_failure_formula,download_execution_permission:i=0:j=10,"(0, 'ADMIT_011', 11, 0)","(0, 'ADMIT_011', 11, 0)",true
candidate_aggregator_failure_formula,download_execution_permission:i=0,"(0, '', 11, 1)","(0, '', 11, 1)",true
candidate_dispatch_failure_formula,download_execution_permission:i=1:j=1,"(1, 'ADMIT_001', 12, 1)","(1, 'ADMIT_001', 12, 1)",true
