contract_area,contract_order,contract_item,exact_requirement,observed_contract,contract_passed
StageAdmissionOrchestrationResult,12,action_permission_granted,action_permission_granted: bool,action_permission_granted: bool,true
StageAdmissionOrchestrationError,1,code,code: str,code: str,true
StageAdmissionOrchestrationError,2,scope_id,scope_id: str,scope_id: str,true
StageAdmissionOrchestrationError,3,candidate_index,candidate_index: int,candidate_index: int,true
StageAdmissionOrchestrationError,4,admission_rule_id,admission_rule_id: str,admission_rule_id: str,true
StageAdmissionOrchestrationError,5,dispatcher_call_count,dispatcher_call_count: int,dispatcher_call_count: int,true
StageAdmissionOrchestrationError,6,aggregator_call_count,aggregator_call_count: int,aggregator_call_count: int,true
StageAdmissionOrchestrationError,7,reason,reason: str,reason: str,true
StageAdmissionOrchestrationError,8,cause_type,cause_type: str,cause_type: str,true
StageAdmissionOrchestrationErrorCode,1,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,true
StageAdmissionOrchestrationErrorCode,2,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,true
StageAdmissionOrchestrationErrorCode,3,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,true
StageAdmissionOrchestrationErrorCode,4,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,true
StageAdmissionOrchestrationErrorCode,5,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,true
StageAdmissionOrchestrationErrorCode,6,STAGE_ORCHESTRATION_DISPATCH_ERROR,STAGE_ORCHESTRATION_DISPATCH_ERROR,STAGE_ORCHESTRATION_DISPATCH_ERROR,true
StageAdmissionOrchestrationErrorCode,7,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,true
StageAdmissionOrchestrationErrorCode,8,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,true
