sample_id,extracted_event_id,allowlist_entry_id,candidate_metadata_id,pdb_id,het_code,mask_task_name,mask_task_alias,row_index,schema_order_matches_contract,sample_id_deterministic,sample_id_unique,source_event_found,source_event_extraction_success,source_event_geometry_qa_passed,protein_atom_rows_count_matches_source,ligand_atom_rows_count_matches_source,canonical_mask_task_valid,canonical_mask_alias_matches_name,b3_scaffold_only_alias_correct,annotation_blockers_preserved,auxiliary_label_blockers_preserved,feature_semantics_blocker_preserved,leakage_split_blocker_preserved,split_assignment_status_not_written,ready_for_training_false,row_identity_qa_passed,qa_comment
sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,allowlist::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,warhead_only,A,11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,allowlist::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,linker_plus_warhead,B,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,allowlist::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_warhead,B2,13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,allowlist::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_only,B3,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,allowlist::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_linker_plus_warhead,C,15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,allowlist::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,warhead_only,A,16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,allowlist::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,linker_plus_warhead,B,17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,allowlist::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_warhead,B2,18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,allowlist::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_only,B3,19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,allowlist::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_linker_plus_warhead,C,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
