field_name,field_group,output_table,data_type,required_for_full_atom_extraction_smoke,source_stage,source_column,design_rule,validation_rule,training_use_status
Cartn_x,protein_full_atom_table,protein_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_x,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
Cartn_y,protein_full_atom_table,protein_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_y,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
Cartn_z,protein_full_atom_table,protein_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_z,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
occupancy,protein_full_atom_table,protein_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,occupancy,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_polymer_atom,protein_full_atom_table,protein_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_polymer_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_target_protein_chain_atom,protein_full_atom_table,protein_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_target_protein_chain_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_covalent_residue_atom,protein_full_atom_table,protein_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_covalent_residue_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_covalent_endpoint_atom,protein_full_atom_table,protein_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_covalent_endpoint_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
extraction_source_stage,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,extraction_source_stage,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
minimal_sample_record_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,minimal_sample_record_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
pdb_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,pdb_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
raw_path,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,raw_path,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
atom_site_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,atom_site_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
group_PDB,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,group_PDB,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
type_symbol,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,type_symbol,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_atom_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_atom_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_comp_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_comp_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_asym_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_asym_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_seq_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_seq_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_alt_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_alt_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_atom_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_atom_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_comp_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_comp_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_asym_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_asym_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_seq_id,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_seq_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
Cartn_x,ligand_full_atom_table,ligand_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_x,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
Cartn_y,ligand_full_atom_table,ligand_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_y,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
Cartn_z,ligand_full_atom_table,ligand_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,Cartn_z,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
occupancy,ligand_full_atom_table,ligand_full_atom_table,float_string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,occupancy,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_ligand_atom,ligand_full_atom_table,ligand_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_ligand_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_covalent_ligand_atom,ligand_full_atom_table,ligand_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_covalent_ligand_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
is_covalent_endpoint_atom,ligand_full_atom_table,ligand_full_atom_table,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,is_covalent_endpoint_atom,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
extraction_source_stage,ligand_full_atom_table,ligand_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,extraction_source_stage,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
protein_full_atom_extraction_scope,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
ligand_full_atom_extraction_scope,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
altloc_selection_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
model_selection_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
hydrogen_handling_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
water_handling_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
ion_handling_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
protein_chain_selection_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
ligand_selection_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
covalent_endpoint_validation_policy,extraction_policy,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,define_next_smoke_policy_without_execution,policy_text_non_empty,not_training_input_yet
full_atom_extraction_run,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
protein_full_atom_table_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
ligand_full_atom_table_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
pocket_atom_table_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
ligand_topology_table_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
sample_index_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
enriched_sample_index_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
final_dataset_written,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
model_input_materialized,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
training_ready,status_boundary,sample_extraction_contract,bool,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
training_ready_reason,status_boundary,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,constant,write_false_or_reason_until_future_gates_pass,must_not_claim_training_or_dataset_ready,not_training_input_yet
