field_order_0based,field_name,field_scope,frozen,human_fillable,initial_value,allowed_values,future_approval_requirement,semantic_note,verified
26,reaction_family_review_decision,human_family,false,true,,approve_reaction_family_identity;revise_reaction_family_identity;quarantine_reaction_family,,must_remain_blank_at_materialization,true
27,reviewed_warhead_rule_version,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
28,reviewed_warhead_rule_semantic_name,human_rule,false,true,,,,must_remain_blank_at_materialization,true
29,reviewed_target_residue_types,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
30,reviewed_target_residue_reactive_atom_name,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
31,reviewed_warhead_smarts,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
32,reviewed_ligand_reactive_atom_map_number,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
33,reviewed_warhead_atom_map_numbers,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
34,reviewed_warhead_attachment_atom_map_number,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
35,reviewed_expected_pre_reaction_bond_orders,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
36,reviewed_allowed_formal_charge_pattern,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
37,reviewed_allowed_match_count,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
38,reviewed_priority,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
39,reviewed_leaving_group_contract,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
40,reviewed_formed_bond_order,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
41,reviewed_ambiguity_policy,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
42,reviewed_tie_policy,human_rule,false,true,,,rule_approve,must_remain_blank_at_materialization,true
43,warhead_rule_identity_explicitly_attested,human_rule,false,true,,true|false,rule_approve,must_remain_blank_at_materialization,true
44,warhead_rule_full_semantics_explicitly_attested,human_rule,false,true,,true|false,rule_approve,must_remain_blank_at_materialization,true
45,approved_structural_pattern_attested,human_rule,false,true,,true|false,rule_approve,must_remain_blank_at_materialization,true
46,warhead_rule_review_decision,human_rule,false,true,,approve_complete_warhead_rule;revise_warhead_rule;quarantine_warhead_rule,,must_remain_blank_at_materialization,true
47,review_rationale,human_provenance,false,true,,,family_approve|rule_approve,must_remain_blank_at_materialization,true
48,review_notes,human_provenance,false,true,,,,must_remain_blank_at_materialization,true
49,reviewer_id,human_provenance,false,true,,,family_approve|rule_approve,must_remain_blank_at_materialization,true
50,attestor_id,human_provenance,false,true,,,family_approve|rule_approve,must_remain_blank_at_materialization,true
51,review_completed,human_provenance,false,true,,true|false,family_approve|rule_approve,must_remain_blank_at_materialization,true
