mapping_id,final_dataset_field,primary_source_artifact,primary_source_field,fallback_source_artifact,fallback_source_field,transformation_rule,required_validation,mapping_status
CYS_SG_FINAL_DATASET_MAPPING_000011,pocket_atom_table_path,sample_index,pocket_atom_table_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000012,covalent_event_table_path,sample_index,covalent_event_table_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000013,ligand_residue_atom_pair_table_path,sample_index,ligand_residue_atom_pair_table_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000014,sample_preparation_audit_path,sample_index,sample_preparation_audit_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000015,protein_atom_count,sample_index,protein_atom_count,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000016,ligand_atom_count,sample_index,ligand_atom_count,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000017,pocket_atom_count,sample_index,pocket_atom_count,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000018,covalent_event_count,sample_index,covalent_event_count,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000019,ligand_residue_atom_pair_count,sample_index,ligand_residue_atom_pair_count,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000020,covalent_residue_name,sample_index,covalent_residue_name,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000021,covalent_residue_chain_id,sample_index,covalent_residue_chain_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000022,covalent_residue_index,sample_index,covalent_residue_index,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000023,covalent_residue_atom_name,sample_index,covalent_residue_atom_name,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000024,ligand_comp_id,sample_index,ligand_comp_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000025,ligand_covalent_atom_name,sample_index,ligand_covalent_atom_name,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000026,covalent_bond_atom_pair,sample_index,covalent_bond_atom_pair,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000027,conn_id,sample_index,conn_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000028,conn_type_id,sample_index,conn_type_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000029,post_covalent_bond_distance_angstrom,design_policy,bond_distance_angstrom,,,planned number mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000030,supported_mask_task_names,design_policy,supported_mask_task_names,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000031,warhead_type_label_status,design_policy,warhead_type_label_status,,,do_not_infer_warhead_type_from_ligand_identity,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000032,ligand_residue_atom_pair_label_status,design_policy,ligand_residue_atom_pair_label_status,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000033,pre_covalent_geometry_label_status,design_policy,pre_covalent_geometry_label_status,,,do_not_infer_pre_geometry_from_post_geometry,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000034,post_covalent_geometry_label_status,design_policy,post_covalent_geometry_label_status,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000035,feature_semantics_status,design_policy,feature_semantics_status,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000036,leakage_group_id,design_policy,leakage_group_id,,,remain_unset_pending_leakage_split_design,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000037,split_assignment,design_policy,split_assignment,,,remain_unset_pending_leakage_split_design,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000038,final_dataset_row_status,design_policy,final_dataset_row_status,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000039,qa_approved_for_final_dataset_design,design_policy,qa_approved_for_final_dataset_design,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000040,eligible_for_leakage_split_design,design_policy,eligible_for_leakage_split_design,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000041,eligible_for_final_dataset_materialization,design_policy,eligible_for_final_dataset_materialization,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000042,ready_for_training_current_step,sample_index,ready_for_training_current_step,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000043,feature_semantics_audit_required_before_training,sample_index,feature_semantics_audit_required_before_training,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000044,leakage_split_design_required_before_training,sample_index,leakage_split_design_required_before_training,,,planned boolean mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000045,source_sample_index_csv_sha256,design_policy,source_sample_index_csv_sha256,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000046,source_sample_index_json_sha256,design_policy,source_sample_index_json_sha256,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
