field_name,field_group,field_description,required_for_future_sample_index,source_stage,source_artifact,training_use_status
canonical_mask_task_aliases,mask_task_contract,Future sample_index canonical mask field `canonical_mask_task_aliases`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
mask_task_count,mask_task_contract,Future sample_index canonical mask field `mask_task_count`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
supports_warhead_only,mask_task_contract,Future sample_index canonical mask field `supports_warhead_only`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
supports_linker_plus_warhead,mask_task_contract,Future sample_index canonical mask field `supports_linker_plus_warhead`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
supports_scaffold_plus_warhead,mask_task_contract,Future sample_index canonical mask field `supports_scaffold_plus_warhead`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
supports_scaffold_only,mask_task_contract,Future sample_index canonical mask field `supports_scaffold_only`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
supports_scaffold_plus_linker_plus_warhead,mask_task_contract,Future sample_index canonical mask field `supports_scaffold_plus_linker_plus_warhead`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
warhead_type_label_status,auxiliary_task_contract,Future sample_index auxiliary task field `warhead_type_label_status`.,True,future_label_design_gate,future,not_training_input_yet
ligand_residue_atom_pair_label_status,auxiliary_task_contract,Future sample_index auxiliary task field `ligand_residue_atom_pair_label_status`.,True,future_label_design_gate,future,not_training_input_yet
pre_post_covalent_geometry_label_status,auxiliary_task_contract,Future sample_index auxiliary task field `pre_post_covalent_geometry_label_status`.,True,future_label_design_gate,future,not_training_input_yet
sample_index_materialization_status,readiness_safety,Future sample_index readiness/safety field `sample_index_materialization_status`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_design_gate_manifest.json,not_training_input_yet
model_input_materialization_status,readiness_safety,Future sample_index readiness/safety field `model_input_materialization_status`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_design_gate_manifest.json,not_training_input_yet
training_use_status,readiness_safety,Future sample_index readiness/safety field `training_use_status`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_design_gate_manifest.json,not_training_input_yet
feature_semantics_audit_required_before_training,readiness_safety,Future sample_index readiness/safety field `feature_semantics_audit_required_before_training`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_design_gate_manifest.json,not_training_input_yet
ready_to_train_now,readiness_safety,Future sample_index readiness/safety field `ready_to_train_now`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_design_gate_manifest.json,not_training_input_yet
