matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,case_passed
18,context,batch_empty_present,batch key present with empty tuple,forwarded_not_missing,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
19,candidate,candidate_non_mapping,candidate non-Mapping,exact13_invalid,ADMIT_009_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_009_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",0,0,envelope_checked,true
20,candidate,candidate_key_absent,candidate required key absent,exact13_invalid,duplicate_identity_key_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""duplicate_identity_key_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",0,0,single_lookup,true
21,candidate,candidate_mapping_subclass,candidate Mapping subclass,accepted_without_copy,,,1,1,value_read_once,true
22,candidate,candidate_extra_fields,candidate unrelated fields,ignored_without_iteration,,,1,1,value_read_once,true
23,candidate,candidate_not_mutated,mutable candidate Mapping,not_mutated,,,1,1,value_read_once,true
24,candidate,scalar_identity_single_lookup,scalar identity sentinel,same_object_single_lookup,,,1,1,value_read_once,true
25,forwarding,scalar_none,candidate None present,standalone_invalid,DUPLICATE_IDENTITY_KEY_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
26,forwarding,scalar_integer,candidate integer present,standalone_invalid,DUPLICATE_IDENTITY_KEY_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
27,forwarding,scalar_empty,candidate empty str present,standalone_invalid,DUPLICATE_IDENTITY_KEY_EMPTY,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_EMPTY"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
28,forwarding,scalar_str_subclass,candidate str subclass present,standalone_invalid,DUPLICATE_IDENTITY_KEY_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
29,forwarding,scalar_non_ascii,candidate non-ASCII present,standalone_invalid,DUPLICATE_IDENTITY_KEY_NON_ASCII,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_NON_ASCII"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
30,forwarding,scalar_whitespace,candidate whitespace present,standalone_invalid,DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
31,forwarding,scalar_malformed,candidate malformed key present,standalone_invalid,DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
32,forwarding,canonical_unique,canonical key absent from batch,passed,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
33,forwarding,canonical_duplicate,canonical key present in batch,blocked,DUPLICATE_IDENTITY_KEY_ALREADY_PRESENT,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_ALREADY_PRESENT"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
34,forwarding,invalid_policy,policy arbitrary object,standalone_invalid_pair_retained,DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
35,forwarding,invalid_batch,batch arbitrary object,standalone_invalid_pair_retained,BATCH_DUPLICATE_IDENTITY_KEYS_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""BATCH_DUPLICATE_IDENTITY_KEYS_TYPE_INVALID"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
36,call,formal_exactly_once,candidate and contexts valid,one_positional_call,,,1,1,value_read_once,true
37,call,oracle_exactly_once,source prevalidated,one_positional_call,,,1,1,value_read_once,true
38,call,three_object_identity,scalar batch policy sentinels,same_original_objects,,,1,1,value_read_once,true
39,call,no_mutation_copy_normalization,mutable opaque objects,unchanged_objects,,,1,1,value_read_once,true
40,source,exact_type_accepted,committed exact result,accepted,,,1,1,value_read_once,true
41,source,wrong_type_rejected,fake object,adapter_not_ready_no_oracle,ADMIT_009_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",1,0,value_read_once,true
42,source,subclass_rejected,result subclass,adapter_not_ready_no_oracle,ADMIT_009_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",1,0,value_read_once,true
43,source,storage_order_rejected,vars key order drift,adapter_not_ready_no_oracle,ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,0,value_read_once,true
44,source,dataclass_order_rejected,dataclass field order drift,adapter_not_ready_no_oracle,ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,0,value_read_once,true
45,source,reconstruction_rejected,cross-field invariant conflict,adapter_not_ready_no_oracle,ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,0,value_read_once,true
46,source,failure_prevents_oracle,source validation failure,oracle_not_called,ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,1,0,value_read_once,true
47,source,full_exact10_mismatch,partial fields equal but one Exact10 field differs,adapter_not_ready_no_projection,ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_009_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,1,value_read_once,true
48,projection,passed,canonical unique,exact10_to_exact13,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
49,projection,blocked,canonical duplicate,exact10_to_exact13,DUPLICATE_IDENTITY_KEY_ALREADY_PRESENT,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_ALREADY_PRESENT"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
50,projection,scalar_invalid,invalid scalar,empty_pair_exact13,DUPLICATE_IDENTITY_KEY_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
51,projection,policy_invalid,invalid policy,canonical_pair_exact13,DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
52,projection,batch_invalid,invalid batch,canonical_pair_exact13,BATCH_DUPLICATE_IDENTITY_KEYS_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""BATCH_DUPLICATE_IDENTITY_KEYS_TYPE_INVALID"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract"",""batch_duplicate_identity_keys""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
