failure_case_id,failure_case_name,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,contract_row_count,truth_row_count,current11_readiness_row_count,actual_completed_review_count,actual_ingestion_envelope_count,actual_ingestion_result_count,actual_authority_record_count,smarts_ready,role_ready,mask_ready,model_ready,training_ready,verified
FAIL_020,duplicate new-authority SHA,b5b74affa9c15b93bea44576da70d6f84a0deab8e934bca0320dc63b59bf5bab,new_authority_sha_unique,false,INTERFACE_NEW_AUTHORITY_UNIQUENESS_INVALID,"[""INTERFACE_NEW_AUTHORITY_UNIQUENESS_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_021,invalid Exact18 result accepted,68aeac76a4dac4f71ecf39679157d87c245c04f2bb613e6a9752ebfc3d5dc422,result_exact18_valid,false,INTERFACE_INGESTION_RESULT_INVALID,"[""INTERFACE_INGESTION_RESULT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_022,invalid Exact27 authority accepted,80f49a479b836d8f74f6e930d9d41b2d8bd848e94556b02dfa0a601322a31a0e,authority_exact27_valid,false,INTERFACE_NEW_AUTHORITY_INVALID,"[""INTERFACE_NEW_AUTHORITY_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_023,submission input mutated,7c019aa78a23f090e79862aacdca8e767b1e9a2c32611fd9117bcaf379bc83f8,submissions_unmodified,false,INTERFACE_SUBMISSION_INPUT_MUTATED,"[""INTERFACE_SUBMISSION_INPUT_MUTATED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_024,authority-context input mutated,a16e505b175a851b6ae5e60c39393253699487509fa36bcb531b7134301b3991,authority_context_unmodified,false,INTERFACE_AUTHORITY_CONTEXT_INPUT_MUTATED,"[""INTERFACE_AUTHORITY_CONTEXT_INPUT_MUTATED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_025,existing-authority input mutated,c6bfecc11b5190666172de731e7d42aaf8e4c3f88af4af6e70351094dea07811,existing_authorities_unmodified,false,INTERFACE_EXISTING_AUTHORITY_INPUT_MUTATED,"[""INTERFACE_EXISTING_AUTHORITY_INPUT_MUTATED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_026,nondeterministic interface response,eae1c5d4a23f71a9fe15f541dd5c4c814d8a5fe05f02edab13cb688b4e7504f0,response_deterministic,false,INTERFACE_RESPONSE_NONDETERMINISTIC,"[""INTERFACE_RESPONSE_NONDETERMINISTIC""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_027,filesystem write side effect detected,a656025d7ba2254caf5831d9f12b9940ad701ec7a0853a91ef062db577f7a9e9,filesystem_write_count,1,INTERFACE_FILESYSTEM_WRITE_DETECTED,"[""INTERFACE_FILESYSTEM_WRITE_DETECTED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_028,actual review/result/authority materialized,604ea4556091d33e961034c7cb9bb9590682f1b476fc2e829e78908217cd674a,actual_lifecycle_record_count,1,INTERFACE_ACTUAL_LIFECYCLE_MATERIALIZED,"[""INTERFACE_ACTUAL_LIFECYCLE_MATERIALIZED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_029,downstream readiness prematurely opened,24e9b12d43733a3f0637c8e127e145eb390231de356f3e72d3405c1e198bda50,downstream_gates_closed,false,INTERFACE_DOWNSTREAM_READINESS_OPENED,"[""INTERFACE_DOWNSTREAM_READINESS_OPENED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_030,canonical mask or module boundary drift,9e9a30c4b5abf94d368e1ec66ddca951b84a5db08e2ee43cf1d369f1f430536d,canonical_mask_and_module_boundary_exact,false,INTERFACE_CANONICAL_MASK_OR_MODULE_DRIFT,"[""INTERFACE_CANONICAL_MASK_OR_MODULE_DRIFT""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_031,formal successor runtime incompatible,d2821b1bf362b5f381efb9f6b560d4592b145d42e868c5ec39a79c9c20e389a0,formal_successor_runtime_compatible,false,INTERFACE_FORMAL_SUCCESSOR_RUNTIME_INCOMPATIBLE,"[""INTERFACE_FORMAL_SUCCESSOR_RUNTIME_INCOMPATIBLE""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_032,separate design BASE worktree required,0bd607ee5232e26ff78a2501950e5fdc45b6bd3b868426252acdafcf3c9a6f6c,separate_design_base_worktree_required,true,INTERFACE_SEPARATE_BASE_WORKTREE_DEPENDENCY,"[""INTERFACE_SEPARATE_BASE_WORKTREE_DEPENDENCY""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_033,downstream descendant public runtime incompatible,d5c0f3437f9fdcef29918bfa6ac441cfe1bf91c50bcff84c8eca9e6d044d1632,downstream_descendant_runtime_compatible,false,INTERFACE_DOWNSTREAM_DESCENDANT_RUNTIME_INCOMPATIBLE,"[""INTERFACE_DOWNSTREAM_DESCENDANT_RUNTIME_INCOMPATIBLE""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_034,imported design source integrity not enforced,4a71fb9d730f7bf365115e21a0275270365bf68376921672756740ccde2ee6bd,imported_design_source_integrity_required,false,INTERFACE_IMPORTED_DESIGN_SOURCE_INTEGRITY_NOT_ENFORCED,"[""INTERFACE_IMPORTED_DESIGN_SOURCE_INTEGRITY_NOT_ENFORCED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_035,public evaluator design source integrity not enforced,546301c502fcbc7ce8ca691395e0be87a45ccd863fcb7073d5b36ecc4bc726de,public_evaluator_design_source_integrity_required,false,INTERFACE_PUBLIC_EVALUATOR_DESIGN_SOURCE_INTEGRITY_NOT_ENFORCED,"[""INTERFACE_PUBLIC_EVALUATOR_DESIGN_SOURCE_INTEGRITY_NOT_ENFORCED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
