split_leakage_audit_id,left_sample_index_row_id,right_sample_index_row_id,left_final_leakage_group_id,right_final_leakage_group_id,left_split,right_split,cross_split_pair,same_final_leakage_group_after_transitive_closure,direct_must_link_edge,same_ligand_graph,same_murcko_scaffold,same_protein_accession,same_exact_protein_sequence,same_sequence_cluster_90,same_sequence_cluster_50,transitive_only_same_group,leakage_violation,pair_split_leakage_passed,blocking_reasons
COVAPIE_SPLIT_LEAKAGE_000011,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000003,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000001,train,train,False,True,True,True,True,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000012,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000004,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000002,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000013,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000005,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000003,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000014,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000006,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000015,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000016,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000017,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000018,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000019,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000020,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000004,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000002,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000021,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000005,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000003,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000022,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000006,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000023,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000024,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000025,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000026,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000027,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000028,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000005,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000003,validation,validation,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000029,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000006,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000030,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000031,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000032,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000033,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000034,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000005,validation,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000035,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000006,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000036,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000037,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000038,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000039,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000004,validation,train,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000040,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000005,validation,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000041,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000042,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000043,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000044,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000045,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000046,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000047,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000048,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000049,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000050,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000051,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000052,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000053,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,True,True,False,False,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000054,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000055,CYS_SG_SAMPLE_INDEX_000010,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
