case_order,case_id,matrix_group,candidate_representation,contract_state,snapshot_state,outcome,passed,blocks_candidate,reason,canonical,validated_candidate_fields,consumed_candidate_fields,consumed_context_items,evaluator_io_used,expected_precedence,case_passed
11,HIST_011,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
12,HIST_012,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
13,HIST_013,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
14,HIST_014,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
15,HIST_015,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
16,HIST_016,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
17,HIST_017,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
18,HIST_018,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
19,HIST_019,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
20,HIST_020,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
21,HIST_021,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
22,HIST_022,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
23,HIST_023,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
24,HIST_024,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
25,HIST_025,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
26,HIST_026,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
27,HIST_027,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
28,HIST_028,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
29,HIST_029,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
30,HIST_030,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
31,HIST_031,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
32,HIST_032,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
33,HIST_033,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
34,HIST_034,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
35,HIST_035,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
36,HIST_036,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
37,HIST_037,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
38,HIST_038,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
39,HIST_039,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
40,HIST_040,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
41,HIST_041,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
42,HIST_042,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
43,HIST_043,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
44,HIST_044,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
45,HIST_045,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
46,HIST_046,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
47,HIST_047,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
48,SCALAR_001,scalar_reason,None,valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_TYPE_INVALID,,[],"[""raw_target_relative_path""]",[],false,scalar_type,true
49,SCALAR_002,scalar_reason,'',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_EMPTY,,[],"[""raw_target_relative_path""]",[],false,scalar_empty,true
50,SCALAR_003,scalar_reason,'data/raw/café',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_NON_ASCII_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_ascii,true
51,SCALAR_004,scalar_reason,'data/raw/a\x00',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_NUL_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_nul,true
52,SCALAR_005,scalar_reason,'data/raw/a\x01',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_CONTROL_CHARACTER_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_control,true
53,SCALAR_006,scalar_reason,'data/raw/a b',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_WHITESPACE_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_whitespace,true
54,SCALAR_007,scalar_reason,'/data/raw/../a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_ABSOLUTE_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_absolute,true
55,SCALAR_008,scalar_reason,'C:\\data/raw/a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_WINDOWS_DRIVE_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_windows_drive,true
56,SCALAR_009,scalar_reason,'\\\\srv\\x',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_UNC_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_unc,true
57,SCALAR_010,scalar_reason,'https://x//y',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_URI_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_uri,true
58,SCALAR_011,scalar_reason,'data/raw/%2e%2e',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_PERCENT_ENCODING_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_percent,true
59,SCALAR_012,scalar_reason,'~/data/raw/a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_TILDE_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_tilde,true
60,SCALAR_013,scalar_reason,'$ROOT/data/raw/a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_ENVIRONMENT_EXPANSION_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_environment,true
61,SCALAR_014,scalar_reason,'data/raw\\a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_BACKSLASH_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_backslash,true
62,SCALAR_015,scalar_reason,'data/raw/a/',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_TRAILING_SEPARATOR,,[],"[""raw_target_relative_path""]",[],false,scalar_trailing_separator,true
63,SCALAR_016,scalar_reason,'data/raw//a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_REPEATED_SEPARATOR,,[],"[""raw_target_relative_path""]",[],false,scalar_repeated_separator,true
64,SCALAR_017,scalar_reason,'data/raw/./a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_DOT_COMPONENT_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_dot,true
65,SCALAR_018,scalar_reason,'data/raw/../a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_DOTDOT_COMPONENT_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_dotdot,true
66,SCALAR_019,scalar_reason,'docs/a',valid_contract,valid_snapshot,invalid,false,true,RAW_TARGET_RELATIVE_PATH_NAMESPACE_FORBIDDEN,,[],"[""raw_target_relative_path""]",[],false,scalar_namespace,true
67,CONTRACT_TYPE,contract_reason,'data/raw/a.cif',type_invalid,not_consumed,invalid,false,true,RAW_TARGET_RELATIVE_PATH_CONTRACT_TYPE_INVALID,data/raw/a.cif,"[[""raw_target_relative_path"",""data/raw/a.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract""]",false,contract_type,true
68,CONTRACT_VALUE,contract_reason,'data/raw/a.cif',value_invalid,not_consumed,invalid,false,true,RAW_TARGET_RELATIVE_PATH_CONTRACT_VALUE_INVALID,data/raw/a.cif,"[[""raw_target_relative_path"",""data/raw/a.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract""]",false,contract_value,true
69,SNAPSHOT_TYPE,snapshot_reason,'data/raw/a.cif',valid_contract,type_invalid,invalid,false,true,EXISTING_RAW_TARGET_RELATIVE_PATHS_SNAPSHOT_TYPE_INVALID,data/raw/a.cif,"[[""raw_target_relative_path"",""data/raw/a.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,snapshot_type,true
