coverage_order,source_relative_path,source_sha256,source_occurrence,observed_value,accepted,expected_canonical_value,coverage_passed
20,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true
21,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true
22,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true
23,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true
24,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true
25,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true
26,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true
27,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true
28,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true
29,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true
30,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true
31,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true
32,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true
33,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true
34,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true
35,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true
36,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true
37,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true
38,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true
39,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true
40,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true
41,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true
42,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true
43,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true
44,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true
45,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true
46,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true
47,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true
