inherited_order,issue_id,issue_type,affected_fields,affected_rules,severity,status,blocking_scope,blocking_reason,issue_origin,integration_transition,issue_count,inherited_effective_status,inherited_transition_stage,inherited_transition_action,inherited_transition_evidence,successor_effective_status,successor_transition_stage,successor_transition_action,successor_transition_evidence
11,UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,implementation_semantics_gap,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,blocking,open,unified_admission_engine,UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1,new_open,1,open,,unchanged,inherited identity and status retained,open,,unchanged,inherited effective state retained
12,ADMIT_012_POST_DOWNLOAD_ROUTING_RESPONSIBILITY_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_012,blocking,resolved,admission_evaluator_rule_logic,ADMIT_012_POST_DOWNLOAD_ROUTING_RESPONSIBILITY_UNRESOLVED,covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1,admit_012_formal_evaluator_interface_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
13,ADMIT_012_PRESENCE_SEMANTICS_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_012,blocking,resolved,admission_evaluator_rule_logic,ADMIT_012_PRESENCE_SEMANTICS_UNRESOLVED,covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1,admit_012_download_integrity_field_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
14,ADMIT_012_MULTI_INVALID_PRECEDENCE_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_012,blocking,resolved,admission_evaluator_rule_logic,ADMIT_012_MULTI_INVALID_PRECEDENCE_UNRESOLVED,covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1,admit_012_download_integrity_field_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
15,ADMIT_012_STANDALONE_SIGNATURE_UNRESOLVED,implementation_semantics_gap,,ADMIT_012,blocking,resolved,admission_evaluator_rule_logic,ADMIT_012_STANDALONE_SIGNATURE_UNRESOLVED,covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1,admit_012_formal_evaluator_interface_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
16,ADMIT_012_RESULT_CONTRACT_UNRESOLVED,implementation_semantics_gap,,ADMIT_012,blocking,resolved,admission_evaluator_rule_logic,ADMIT_012_RESULT_CONTRACT_UNRESOLVED,covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1,admit_012_formal_evaluator_interface_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
17,ADMIT_013_POST_DOWNLOAD_ROUTING_RESPONSIBILITY_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_POST_DOWNLOAD_ROUTING_RESPONSIBILITY_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,resolved,covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1,resolved_by_successor_contract_design,download and evaluation envelopes frozen; candidate/batch/stage/fallback forbidden,resolved,,unchanged,inherited effective state retained
18,ADMIT_013_ADMIT_012_VALIDATION_DEPENDENCY_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_ADMIT_012_VALIDATION_DEPENDENCY_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,resolved,covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1,resolved_by_successor_contract_design,pipeline prerequisite distinguished from self-validation and direct result consumption,resolved,,unchanged,inherited effective state retained
19,ADMIT_013_DOWNLOAD_OUTCOME_POLICY_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_DOWNLOAD_OUTCOME_POLICY_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,resolved,covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1,resolved_by_successor_contract_design,status HTTP zero-content strong-authority and pass conjunction frozen,resolved,,unchanged,inherited effective state retained
20,ADMIT_013_INTEGRITY_COMPARISON_AUTHORITY_UNRESOLVED,implementation_semantics_gap,observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|integrity_verdict,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_INTEGRITY_COMPARISON_AUTHORITY_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,resolved,covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1,resolved_by_successor_contract_design,Exact3 trusted authority types producers and comparisons frozen,resolved,,unchanged,inherited effective state retained
21,ADMIT_013_MULTI_FAILURE_PRECEDENCE_UNRESOLVED,implementation_semantics_gap,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_MULTI_FAILURE_PRECEDENCE_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,resolved,covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1,resolved_by_successor_contract_design,closed Exact7 business failure precedence frozen,resolved,,unchanged,inherited effective state retained
22,ADMIT_013_STANDALONE_SIGNATURE_UNRESOLVED,implementation_semantics_gap,,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_STANDALONE_SIGNATURE_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,open,,unchanged,inherited identity and status retained,resolved,covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1,resolved_by_successor_formal_interface_contract_design,exact seven-keyword-only signature with private missing singleton defaults
23,ADMIT_013_RESULT_CONTRACT_UNRESOLVED,implementation_semantics_gap,,ADMIT_013,blocking,open,admission_evaluator_rule_logic,ADMIT_013_RESULT_CONTRACT_UNRESOLVED,covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1,new_open,1,open,,unchanged,inherited identity and status retained,resolved,covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1,resolved_by_successor_formal_interface_contract_design,"Exact12 result contract, Exact5 validation precedence, and exact representation invariants"
24,ADMIT_014_AUTHORIZATION_EVIDENCE_SOURCE_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_permission_authority,ADMIT_014_AUTHORIZATION_EVIDENCE_SOURCE_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,resolved,covapie_bulk_download_admission_admit_014_download_authorization_contract_v1,resolved_by_successor_contract_design,trusted caller boundary and invocation-local provenance responsibility frozen
25,ADMIT_014_STAGE_AUTHORIZATION_ROUTING_RESPONSIBILITY_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_context_routing,ADMIT_014_STAGE_AUTHORIZATION_ROUTING_RESPONSIBILITY_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,resolved,covapie_bulk_download_admission_admit_014_download_authorization_contract_v1,resolved_by_successor_contract_design,stage_authorization_context selected as the only authoritative envelope
26,ADMIT_014_PERMISSION_VALUE_VOCABULARY_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_permission_vocabulary,ADMIT_014_PERMISSION_VALUE_VOCABULARY_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,resolved,covapie_bulk_download_admission_admit_014_download_authorization_contract_v1,resolved_by_successor_contract_design,exact built-in bool with closed False|True vocabulary
27,ADMIT_014_PERMISSION_TRANSITION_AND_PRECEDENCE_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_transition_and_precedence,ADMIT_014_PERMISSION_TRANSITION_AND_PRECEDENCE_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,resolved,covapie_bulk_download_admission_admit_014_download_authorization_contract_v1,resolved_by_successor_contract_design,missing/type/lookup/False/True precedence and reasons frozen
28,ADMIT_014_STANDALONE_SIGNATURE_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_standalone_interface,ADMIT_014_STANDALONE_SIGNATURE_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,open,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,unresolved implementation precondition recorded
29,ADMIT_014_RESULT_CONTRACT_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,admit_014_result_and_reason_contract,ADMIT_014_RESULT_CONTRACT_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,open,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,unresolved implementation precondition recorded
30,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,implementation_semantics_gap,,ADMIT_014,blocking,open,unified_download_authorization_enforcement,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,covapie_bulk_download_admission_admit_014_formal_evaluator_interface_preconditions_audit_v1,new_open,1,,,not_applicable_new_issue,new audit issue; no inherited resolution,resolved,covapie_bulk_download_admission_admit_014_download_authorization_contract_v1,resolved_by_successor_contract_design,mandatory pre-download guard semantics frozen independently of aggregation
