protein_pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,protein_sequence_identity,same_exact_protein_sequence,same_protein_accession,same_sequence_cluster_90,same_sequence_cluster_50,protein_pairwise_classification,protein_pairwise_evidence_passed,blocking_reasons
COVAPIE_PROTEIN_PAIRWISE_000031,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000008,1AEC,1AYU,0.429864,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000032,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000009,1AEC,1AYV,0.429864,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000033,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000010,1AEC,1AYW,0.429864,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000034,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000011,1AEC,1B02,0.208481,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000035,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000006,1AIM,1AU3,0.445946,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000036,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000007,1AIM,1AU4,0.445946,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000037,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000008,1AIM,1AYU,0.445946,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000038,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000009,1AIM,1AYV,0.445946,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000039,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000010,1AIM,1AYW,0.445946,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000040,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000011,1AIM,1B02,0.200704,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000041,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000007,1AU3,1AU4,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000042,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000008,1AU3,1AYU,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000043,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000009,1AU3,1AYV,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000044,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000010,1AU3,1AYW,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000045,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000011,1AU3,1B02,0.221429,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000046,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000008,1AU4,1AYU,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000047,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000009,1AU4,1AYV,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000048,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000010,1AU4,1AYW,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000049,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000011,1AU4,1B02,0.221429,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000050,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000009,1AYU,1AYV,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000051,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000010,1AYU,1AYW,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000052,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000011,1AYU,1B02,0.221429,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000053,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000010,1AYV,1AYW,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000054,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000011,1AYV,1B02,0.221429,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000055,CYS_SG_SAMPLE_INDEX_000010,CYS_SG_SAMPLE_INDEX_000011,1AYW,1B02,0.221429,False,False,False,False,sequence_below_50_identity,True,
