pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,same_ligand_graph,same_murcko_scaffold,ligand_tanimoto_radius2_2048,same_protein_accession,same_exact_protein_sequence,protein_sequence_identity,same_sequence_cluster_90,same_sequence_cluster_50,ligand_pairwise_classification,protein_pairwise_classification,combined_pairwise_independence_evidence_classification,final_independent_group_confirmed_current_step,evidence_status,blocking_reasons
COVAPIE_COMBINED_PAIRWISE_000019,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000011,6BV8,1B02,JUG,UFP,False,False,0.080645,False,False,0.205179,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000020,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000004,6BV5,1AEC,JUG,E64,False,False,0.033333,False,False,0.181637,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000021,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000005,6BV5,1AIM,JUG,ZYA,False,False,0.114754,False,False,0.193613,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000022,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000006,6BV5,1AU3,JUG,PCM,False,False,0.104478,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000023,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000007,6BV5,1AU4,JUG,INP,False,False,0.090909,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000024,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000008,6BV5,1AYU,JUG,INA,False,False,0.111111,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000025,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000009,6BV5,1AYV,JUG,IN6,False,False,0.085714,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000026,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000010,6BV5,1AYW,JUG,IN3,False,False,0.102941,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000027,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000011,6BV5,1B02,JUG,UFP,False,False,0.080645,False,False,0.205179,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000028,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000005,1AEC,1AIM,E64,ZYA,False,False,0.162162,False,False,0.394619,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000029,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000006,1AEC,1AU3,E64,PCM,False,False,0.226667,False,False,0.429864,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000030,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000007,1AEC,1AU4,E64,INP,False,False,0.214286,False,False,0.429864,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000031,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000008,1AEC,1AYU,E64,INA,False,False,0.278689,False,False,0.429864,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000032,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000009,1AEC,1AYV,E64,IN6,False,False,0.220779,False,False,0.429864,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000033,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000010,1AEC,1AYW,E64,IN3,False,False,0.223684,False,False,0.429864,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000034,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000011,1AEC,1B02,E64,UFP,False,False,0.036585,False,False,0.208481,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000035,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000006,1AIM,1AU3,ZYA,PCM,False,False,0.400000,False,False,0.445946,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000036,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000007,1AIM,1AU4,ZYA,INP,False,False,0.350000,False,False,0.445946,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000037,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000008,1AIM,1AYU,ZYA,INA,False,False,0.500000,False,False,0.445946,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000038,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000009,1AIM,1AYV,ZYA,IN6,False,False,0.388889,False,False,0.445946,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000039,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000010,1AIM,1AYW,ZYA,IN3,False,False,0.394366,False,False,0.445946,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000040,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000011,1AIM,1B02,ZYA,UFP,False,False,0.096386,False,False,0.200704,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000041,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000007,1AU3,1AU4,PCM,INP,False,False,0.676471,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000042,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000008,1AU3,1AYU,PCM,INA,False,False,0.578947,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000043,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000009,1AU3,1AYV,PCM,IN6,False,False,0.452055,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000044,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000010,1AU3,1AYW,PCM,IN3,False,False,0.478873,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000045,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000011,1AU3,1B02,PCM,UFP,False,False,0.114943,False,False,0.221429,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000046,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000008,1AU4,1AYU,INP,INA,False,False,0.492537,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000047,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000009,1AU4,1AYV,INP,IN6,False,False,0.414634,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000048,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000010,1AU4,1AYW,INP,IN3,False,False,0.402439,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000049,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000011,1AU4,1B02,INP,UFP,False,False,0.103093,False,False,0.221429,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000050,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000009,1AYU,1AYV,INA,IN6,False,False,0.614035,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000051,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000010,1AYU,1AYW,INA,IN3,False,False,0.716981,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000052,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000011,1AYU,1B02,INA,UFP,False,False,0.092105,False,False,0.221429,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000053,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000010,1AYV,1AYW,IN6,IN3,False,False,0.528571,True,True,1.000000,True,True,different_scaffold,same_exact_sequence,protein_related_ligand_distinct,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000054,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000011,1AYV,1B02,IN6,UFP,False,False,0.076087,False,False,0.221429,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000055,CYS_SG_SAMPLE_INDEX_000010,CYS_SG_SAMPLE_INDEX_000011,1AYW,1B02,IN3,UFP,False,False,0.088889,False,False,0.221429,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
