ligand_pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,same_ligand_graph,same_murcko_scaffold,ligand_tanimoto_radius2_2048,ligand_pairwise_classification,ligand_pairwise_evidence_passed,blocking_reasons
COVAPIE_LIGAND_PAIRWISE_000034,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000011,1AEC,1B02,E64,UFP,False,False,0.036585,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000035,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000006,1AIM,1AU3,ZYA,PCM,False,False,0.400000,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000036,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000007,1AIM,1AU4,ZYA,INP,False,False,0.350000,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000037,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000008,1AIM,1AYU,ZYA,INA,False,False,0.500000,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000038,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000009,1AIM,1AYV,ZYA,IN6,False,False,0.388889,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000039,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000010,1AIM,1AYW,ZYA,IN3,False,False,0.394366,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000040,CYS_SG_SAMPLE_INDEX_000005,CYS_SG_SAMPLE_INDEX_000011,1AIM,1B02,ZYA,UFP,False,False,0.096386,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000041,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000007,1AU3,1AU4,PCM,INP,False,False,0.676471,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000042,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000008,1AU3,1AYU,PCM,INA,False,False,0.578947,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000043,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000009,1AU3,1AYV,PCM,IN6,False,False,0.452055,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000044,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000010,1AU3,1AYW,PCM,IN3,False,False,0.478873,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000045,CYS_SG_SAMPLE_INDEX_000006,CYS_SG_SAMPLE_INDEX_000011,1AU3,1B02,PCM,UFP,False,False,0.114943,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000046,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000008,1AU4,1AYU,INP,INA,False,False,0.492537,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000047,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000009,1AU4,1AYV,INP,IN6,False,False,0.414634,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000048,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000010,1AU4,1AYW,INP,IN3,False,False,0.402439,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000049,CYS_SG_SAMPLE_INDEX_000007,CYS_SG_SAMPLE_INDEX_000011,1AU4,1B02,INP,UFP,False,False,0.103093,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000050,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000009,1AYU,1AYV,INA,IN6,False,False,0.614035,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000051,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000010,1AYU,1AYW,INA,IN3,False,False,0.716981,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000052,CYS_SG_SAMPLE_INDEX_000008,CYS_SG_SAMPLE_INDEX_000011,1AYU,1B02,INA,UFP,False,False,0.092105,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000053,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000010,1AYV,1AYW,IN6,IN3,False,False,0.528571,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000054,CYS_SG_SAMPLE_INDEX_000009,CYS_SG_SAMPLE_INDEX_000011,1AYV,1B02,IN6,UFP,False,False,0.076087,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000055,CYS_SG_SAMPLE_INDEX_000010,CYS_SG_SAMPLE_INDEX_000011,1AYW,1B02,IN3,UFP,False,False,0.088889,different_scaffold,True,
