scaleup_rank,canonical_event_id,pdb_id,ligand_component_id,raw_structure_available,exact_cys_sg_event_recovered,explicit_covalent_evidence,distance_only_event_inference_used,full_coordinate_post_evidence_available,ccd_graph_complete,feature_compatible,structural_processing_success,post_geometry_source_evidence_available,representation_gap,feature_incompatible,current_global_status,priority_review_in_scope,review_unit_id,current_review_status,human_review_completed,human_review_authority_source,chemistry_disposition,chemistry_authority_source,task_relevance_disposition,task_relevance_authority_source,training_use_disposition,human_training_excluded,reactive_pair_raw_structural_evidence,reactive_pair_sample_authoritative,reactive_pair_training_target_available,role_partition_sample_authoritative,role_profile,canonical_mask_structural_labels_available,structurally_applicable_task_ids_json,post_geometry_sample_authoritative,post_geometry_training_target_available,pre_geometry_authoritative,pre_geometry_training_target_available,training_use_include,future_training_admission_candidate,formal_split_authoritative,formal_split,formal_training_admitted,current_runtime_model_usable,training_materialization_allowed_current_source,positive_authority_source,feature_semantics_status
11,COVAPIE_CYS_SG_EVENT_V1:1CR5:A:CYS:146-:SG:E:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
12,COVAPIE_CYS_SG_EVENT_V1:1CR5:A:CYS:34-:SG:D:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
13,COVAPIE_CYS_SG_EVENT_V1:1CR5:B:CYS:146-:SG:G:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
14,COVAPIE_CYS_SG_EVENT_V1:1CR5:B:CYS:34-:SG:F:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
15,COVAPIE_CYS_SG_EVENT_V1:1CR5:C:CYS:146-:SG:I:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
16,COVAPIE_CYS_SG_EVENT_V1:1CR5:C:CYS:34-:SG:H:NEN:C1,1CR5,NEN,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_NEGATIVE,false,COVAPIE_BULK_REVIEW_UNIT_D88548D5B5FCAA3C,COMPLETED_HUMAN_NEGATIVE,true,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_post_only_cys_sg_human_review_v1/covapie_post_only_human_review_decisions_v1.json,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
17,COVAPIE_CYS_SG_EVENT_V1:1CTE:A:CYS:29-:SG:C:PYS:S2,1CTE,PYS,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
18,COVAPIE_CYS_SG_EVENT_V1:1CTE:B:CYS:29-:SG:D:PYS:S2,1CTE,PYS,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
19,COVAPIE_CYS_SG_EVENT_V1:1CV8:A:CYS:24-:SG:C:E64:C2,1CV8,E64,true,false,false,false,false,false,false,false,false,false,false,STRUCTURAL_EVIDENCE_INCOMPLETE,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,false,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
20,COVAPIE_CYS_SG_EVENT_V1:1CVR:A:CYS:244-:SG:B:H37:C3,1CVR,H37,true,true,true,false,true,true,true,true,true,true,false,QUARANTINE_REPRESENTATION_GAP,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
21,COVAPIE_CYS_SG_EVENT_V1:1CVZ:A:CYS:25-:SG:B:C48:C10,1CVZ,C48,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
22,COVAPIE_CYS_SG_EVENT_V1:1DC4:A:CYS:149-:SG:C:G3P:C1,1DC4,G3P,true,true,true,false,true,true,true,true,true,false,false,CURRENTLY_UNREVIEWED,true,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,CURRENTLY_UNREVIEWED,false,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_priority_human_review_queue_v1.csv,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
23,COVAPIE_CYS_SG_EVENT_V1:1DC4:B:CYS:149-:SG:D:G3P:C1,1DC4,G3P,true,true,true,false,true,true,true,true,true,false,false,CURRENTLY_UNREVIEWED,true,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,CURRENTLY_UNREVIEWED,false,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_priority_human_review_queue_v1.csv,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
24,COVAPIE_CYS_SG_EVENT_V1:1ECC:A:CYS:1-:SG:E:ONL:CE,1ECC,ONL,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_POSITIVE,true,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,COMPLETED_HUMAN_POSITIVE,true,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/ONL_COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74/formal-human-decision-v1/onl_formal_human_decision_v1.json,POSITIVE,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,RELEVANT,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,EXCLUDE_FROM_TRAINING_ONLY,true,true,true,false,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,true,"[0,3,4]",false,false,false,false,false,false,false,,false,false,false,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
25,COVAPIE_CYS_SG_EVENT_V1:1ECC:B:CYS:1-:SG:J:ONL:CE,1ECC,ONL,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_POSITIVE,true,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,COMPLETED_HUMAN_POSITIVE,true,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/ONL_COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74/formal-human-decision-v1/onl_formal_human_decision_v1.json,POSITIVE,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,RELEVANT,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,EXCLUDE_FROM_TRAINING_ONLY,true,true,true,false,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,true,"[0,3,4]",false,false,false,false,false,false,false,,false,false,false,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
26,COVAPIE_CYS_SG_EVENT_V1:1ECG:A:CYS:1-:SG:C:ONL:CE,1ECG,ONL,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_POSITIVE,true,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,COMPLETED_HUMAN_POSITIVE,true,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/ONL_COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74/formal-human-decision-v1/onl_formal_human_decision_v1.json,POSITIVE,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,RELEVANT,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,EXCLUDE_FROM_TRAINING_ONLY,true,true,true,false,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,true,"[0,3,4]",false,false,false,false,false,false,false,,false,false,false,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
27,COVAPIE_CYS_SG_EVENT_V1:1ECG:B:CYS:1-:SG:G:ONL:CE,1ECG,ONL,true,true,true,false,true,true,true,true,true,false,false,COMPLETED_HUMAN_POSITIVE,true,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,COMPLETED_HUMAN_POSITIVE,true,covapie-state/manual-review-aids/cumulative1000-high-yield-calibration-v1/ONL_COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74/formal-human-decision-v1/onl_formal_human_decision_v1.json,POSITIVE,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,RELEVANT,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,EXCLUDE_FROM_TRAINING_ONLY,true,true,true,false,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,true,"[0,3,4]",false,false,false,false,false,false,false,,false,false,false,data/derived/covalent_small/covapie_onl_completed_decision_ingestion_and_task_label_availability_v1/covapie_onl_event_task_label_availability_v1.csv,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
28,COVAPIE_CYS_SG_EVENT_V1:1EWL:A:CYS:25-:SG:B:R99:C2,1EWL,R99,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
29,COVAPIE_CYS_SG_EVENT_V1:1EWM:A:CYS:25-:SG:B:RL2:C2,1EWM,RL2,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
30,COVAPIE_CYS_SG_EVENT_V1:1EWO:A:CYS:25-:SG:B:VSC:C32,1EWO,VSC,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
31,COVAPIE_CYS_SG_EVENT_V1:1EWP:A:CYS:25-:SG:B:0I5:CM,1EWP,0I5,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
32,COVAPIE_CYS_SG_EVENT_V1:1F28:A:CYS:173-:SG:E:UMP:C6,1F28,UMP,true,true,true,false,true,true,true,true,true,false,false,PUBLISHED_EXACT_AUTO_NEGATIVE,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_cumulative_1000_model_usable_census_v1.csv,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_cumulative_1000_model_usable_census_v1.csv,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
33,COVAPIE_CYS_SG_EVENT_V1:1F28:C:CYS:173-:SG:I:UMP:C6,1F28,UMP,true,true,true,false,true,true,true,true,true,false,false,PUBLISHED_EXACT_AUTO_NEGATIVE,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,NOT_ESTABLISHED,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_cumulative_1000_model_usable_census_v1.csv,NOT_RELEVANT,data/derived/covalent_small/covapie_bulk_cys_sg_model_usable_auto_admission_scaleup_v1/covapie_bulk_cys_sg_cumulative_1000_model_usable_census_v1.csv,NOT_APPLICABLE,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
34,COVAPIE_CYS_SG_EVENT_V1:1F29:A:CYS:25-:SG:D:VS1:C22,1F29,VS1,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
35,COVAPIE_CYS_SG_EVENT_V1:1F29:B:CYS:25-:SG:E:VS1:C22,1F29,VS1,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
36,COVAPIE_CYS_SG_EVENT_V1:1F29:C:CYS:25-:SG:F:VS1:C22,1F29,VS1,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
37,COVAPIE_CYS_SG_EVENT_V1:1F2A:A:CYS:25-:SG:B:VS2:C27,1F2A,VS2,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
38,COVAPIE_CYS_SG_EVENT_V1:1F2B:A:CYS:25-:SG:B:VS3:C27,1F2B,VS3,true,true,true,false,true,true,true,true,true,false,false,LEAKAGE_EXISTING_GROUP_CONFLICT,false,,NOT_IN_HUMAN_REVIEW_POPULATION,false,,UNRESOLVED,,UNRESOLVED,,UNRESOLVED,false,true,false,false,false,NOT_ESTABLISHED,false,null,false,false,false,false,false,false,false,,false,false,,,FEATURE_SEMANTICS_AUDIT_REQUIRED_LATER
