contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
44,CONTRACT_044,projection,passed,two_exact4_allowed_members_passthrough,frozen
45,CONTRACT_045,projection,blocked,two_distinct_blocked_reasons_passthrough,frozen
46,CONTRACT_046,projection,scalar_invalid,empty_normalized_and_validated_exact_reason_retained,frozen
47,CONTRACT_047,projection,context_invalid,canonical_and_validated_pair_retained,frozen
48,CONTRACT_048,provider,fields,restoration_rule_and_provenance_not_consumed,frozen
49,CONTRACT_049,issues,exact11,byte_identical_no_transition_coverage_still_admit008_to_015,frozen
50,CONTRACT_050,readiness,next_step,implement_covapie_unified_dispatch_runtime_with_admit_001_to_008_v1,frozen
51,CONTRACT_051,stop,adapter_handler,not_implemented,frozen
52,CONTRACT_052,stop,runtime_registry,current_exact7_unmodified_admit008_not_registered,frozen
53,CONTRACT_053,stop,provider_mapping,not_validated_real_provider_value_count_zero,frozen
54,CONTRACT_054,stop,training,feature_semantics_audit_required_step12d_not_final_contract,frozen
