matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,case_passed
12,candidate,candidate_non_mapping,candidate non-Mapping,exact13_invalid,ADMIT_008_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_008_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",0,0,envelope_checked,true
13,candidate,candidate_key_absent,candidate key absent,exact13_invalid,topology_restoration_disposition_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""topology_restoration_disposition_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",0,0,single_lookup,true
14,candidate,candidate_exact_none,candidate exact None,standalone_type_invalid,TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
15,candidate,candidate_exact_empty,candidate exact built-in empty str,standalone_empty_invalid,TOPOLOGY_RESTORATION_DISPOSITION_EMPTY,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_EMPTY"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
16,candidate,candidate_empty_subclass,candidate empty str subclass,standalone_type_invalid,TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
17,candidate,candidate_whitespace,candidate whitespace,standalone_syntax_invalid,TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
18,candidate,candidate_integer,candidate malformed integer,standalone_type_invalid,TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
19,candidate,approved_template,approved_restoration_template,passed,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""validated_candidate_fields"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
20,candidate,manual_approved,explicit_manual_review_approved,passed,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""topology_restoration_disposition"",""explicit_manual_review_approved""]],""validated_candidate_fields"":[[""topology_restoration_disposition"",""explicit_manual_review_approved""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
21,candidate,manual_review_required,manual_review_required,blocked,TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED"",""normalized_values"":[[""topology_restoration_disposition"",""manual_review_required""]],""validated_candidate_fields"":[[""topology_restoration_disposition"",""manual_review_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
22,candidate,quarantine_required,quarantine_required,blocked,TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED"",""normalized_values"":[[""topology_restoration_disposition"",""quarantine_required""]],""validated_candidate_fields"":[[""topology_restoration_disposition"",""quarantine_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,value_read_once,true
23,candidate,candidate_mapping_subclass,candidate Mapping subclass,accepted_without_copy,,,1,1,value_read_once,true
24,candidate,candidate_extra_fields,candidate extra fields,ignored_without_iteration,,,1,1,value_read_once,true
25,candidate,candidate_not_mutated,mutable candidate Mapping,not_mutated,,,1,1,value_read_once,true
26,candidate,scalar_identity_single_lookup,scalar identity sentinel,same_object_single_lookup,,,1,1,value_read_once,true
