sample_id,output_sdf_path,source_ligand_sdf_path,bond_endpoint_a,bond_endpoint_b,action_applied,expected_old_bond_type,expected_new_bond_type,raw_current_bond_type,repaired_current_bond_type,bond_change_matches_action,coordinate_hash_same,raw_sdf_hash_same,touched_unresolved_boundary,qa_status,qa_error
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,5,8,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,6,7,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,8,9,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,8,26,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,10,27,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,11,27,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,12,27,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,13,24,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,13,28,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,14,15,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,14,28,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,14,29,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,15,17,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,16,30,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,16,31,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,17,18,kept,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,17,32,transferred,single,double,single,double,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,18,19,transferred,single,double,single,double,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,20,23,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,21,22,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,22,23,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,23,24,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,24,29,blocked,single,single,single,single,true,true,true,true,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,26,27,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,0,1,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,0,10,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,0,18,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,0,19,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,1,2,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,1,17,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,2,3,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,2,16,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,3,4,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,4,5,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,4,15,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,5,14,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,5,17,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,6,22,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,6,23,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,7,22,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,7,24,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,7,26,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,8,27,kept,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,8,29,transferred,single,double,single,double,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,9,20,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,9,21,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,10,18,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,11,12,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,12,13,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,12,20,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,13,14,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,20,23,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,21,22,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,24,25,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,25,26,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,25,27,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_5F2E,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_5F2E_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_5F2E_5UT.sdf,27,28,transferred,single,double,single,double,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,0,1,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,1,2,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,1,10,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,2,3,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,3,4,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,3,8,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,4,5,transferred,single,double,single,double,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,4,6,kept,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,6,7,kept,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,8,9,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,9,10,blocked,single,single,single,single,true,true,true,true,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,10,11,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,11,12,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,11,28,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,12,13,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,13,14,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,13,15,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,15,16,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,15,26,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,16,17,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,16,22,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,17,18,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,17,19,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,19,20,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,20,21,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,21,22,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,22,23,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,23,24,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,23,25,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,26,27,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,26,28,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,27,32,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,28,29,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,29,30,blocked,single,single,single,single,true,true,true,false,passed,
