scaleup_rank,canonical_event_id,selection_priority_pass,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,source_dataset_count,source_record_count,source_datasets_json,source_record_ids_json
511,COVAPIE_CYS_SG_EVENT_V1:3OTU:A:CYS:148-:SG:B:J30:SD,MULTI_SOURCE_PROVENANCE,3OTU,A,,CYS,148,SG,J30,B,SD,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002216"",""SOURCE_COVPDB:CovPDB_complexes/3otu/3otu.pdb#LINK00470"",""SOURCE_RCSB_PDB_DIRECT:3OTU:covale1""]"
512,COVAPIE_CYS_SG_EVENT_V1:3OVX:A:CYS:25-:SG:C:O64:C12,MULTI_SOURCE_PROVENANCE,3OVX,A,,CYS,25,SG,O64,C,C12,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002021"",""SOURCE_COVPDB:CovPDB_complexes/3ovx/3ovx.pdb#LINK00458"",""SOURCE_RCSB_PDB_DIRECT:3OVX:covale1""]"
513,COVAPIE_CYS_SG_EVENT_V1:3OVX:B:CYS:25-:SG:E:O64:C12,MULTI_SOURCE_PROVENANCE,3OVX,B,,CYS,25,SG,O64,E,C12,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002022"",""SOURCE_COVPDB:CovPDB_complexes/3ovx/3ovx.pdb#LINK00459"",""SOURCE_RCSB_PDB_DIRECT:3OVX:covale2""]"
514,COVAPIE_CYS_SG_EVENT_V1:3P8E:A:CYS:274-:SG:C:LN7:CZ,MULTI_SOURCE_PROVENANCE,3P8E,A,,CYS,274,SG,LN7,C,CZ,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002649"",""SOURCE_COVPDB:CovPDB_complexes/3p8e/3p8e.pdb#LINK00540"",""SOURCE_RCSB_PDB_DIRECT:3P8E:covale1""]"
515,COVAPIE_CYS_SG_EVENT_V1:3P8E:B:CYS:274-:SG:D:LN7:CZ,MULTI_SOURCE_PROVENANCE,3P8E,B,,CYS,274,SG,LN7,D,CZ,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002650"",""SOURCE_COVPDB:CovPDB_complexes/3p8e/3p8e.pdb#LINK00541"",""SOURCE_RCSB_PDB_DIRECT:3P8E:covale2""]"
516,COVAPIE_CYS_SG_EVENT_V1:3PA8:A:CYS:155-:SG:C:621:CAC,MULTI_SOURCE_PROVENANCE,3PA8,A,,CYS,155,SG,621,C,CAC,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000963"",""SOURCE_COVPDB:CovPDB_complexes/3pa8/3pa8.pdb#LINK00586"",""SOURCE_RCSB_PDB_DIRECT:3PA8:covale1""]"
517,COVAPIE_CYS_SG_EVENT_V1:3PA8:B:CYS:155-:SG:G:621:CAC,MULTI_SOURCE_PROVENANCE,3PA8,B,,CYS,155,SG,621,G,CAC,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000964"",""SOURCE_COVPDB:CovPDB_complexes/3pa8/3pa8.pdb#LINK00587"",""SOURCE_RCSB_PDB_DIRECT:3PA8:covale2""]"
518,COVAPIE_CYS_SG_EVENT_V1:3PDF:A:CYS:234-:SG:C:LXV:C18,MULTI_SOURCE_PROVENANCE,3PDF,A,,CYS,234,SG,LXV,C,C18,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001150"",""SOURCE_COVPDB:CovPDB_complexes/3pdf/3pdf.pdb#LINK00477"",""SOURCE_RCSB_PDB_DIRECT:3PDF:covale3""]"
519,COVAPIE_CYS_SG_EVENT_V1:3PDS:A:CYS:93-:SG:B:ERC:S1,MULTI_SOURCE_PROVENANCE,3PDS,A,,CYS,93,SG,ERC,B,S1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001151"",""SOURCE_RCSB_PDB_DIRECT:3PDS:covale1""]"
520,COVAPIE_CYS_SG_EVENT_V1:3Q3Y:A:CYS:147-:SG:C:XNV:C06,MULTI_SOURCE_PROVENANCE,3Q3Y,A,,CYS,147,SG,XNV,C,C06,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001879"",""SOURCE_COVPDB:CovPDB_complexes/3q3y/3q3y.pdb#LINK00483"",""SOURCE_RCSB_PDB_DIRECT:3Q3Y:covale1""]"
521,COVAPIE_CYS_SG_EVENT_V1:3Q3Y:B:CYS:147-:SG:L:XNV:C06,MULTI_SOURCE_PROVENANCE,3Q3Y,B,,CYS,147,SG,XNV,L,C06,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001880"",""SOURCE_COVPDB:CovPDB_complexes/3q3y/3q3y.pdb#LINK00484"",""SOURCE_RCSB_PDB_DIRECT:3Q3Y:covale2""]"
522,COVAPIE_CYS_SG_EVENT_V1:3QN7:B:CYS:16-:SG:C:ZBR:C8,MULTI_SOURCE_PROVENANCE,3QN7,B,,CYS,16,SG,ZBR,C,C8,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002763"",""SOURCE_RCSB_PDB_DIRECT:3QN7:covale3""]"
523,COVAPIE_CYS_SG_EVENT_V1:3QN7:B:CYS:2-:SG:C:ZBR:C9,MULTI_SOURCE_PROVENANCE,3QN7,B,,CYS,2,SG,ZBR,C,C9,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002761"",""SOURCE_RCSB_PDB_DIRECT:3QN7:covale1""]"
524,COVAPIE_CYS_SG_EVENT_V1:3QN7:B:CYS:9-:SG:C:ZBR:C7,MULTI_SOURCE_PROVENANCE,3QN7,B,,CYS,9,SG,ZBR,C,C7,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002762"",""SOURCE_RCSB_PDB_DIRECT:3QN7:covale2""]"
525,COVAPIE_CYS_SG_EVENT_V1:3QSD:A:CYS:100-:SG:B:074:C6,MULTI_SOURCE_PROVENANCE,3QSD,A,,CYS,100,SG,074,B,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002693"",""SOURCE_COVPDB:CovPDB_complexes/3qsd/3qsd.pdb#LINK00490"",""SOURCE_RCSB_PDB_DIRECT:3QSD:covale1""]"
526,COVAPIE_CYS_SG_EVENT_V1:3QVO:A:CYS:93-:SG:B:MNB:S5,MULTI_SOURCE_PROVENANCE,3QVO,A,,CYS,93,SG,MNB,B,S5,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3qvo/3qvo.pdb#LINK00481"",""SOURCE_RCSB_PDB_DIRECT:3QVO:covale9""]"
527,COVAPIE_CYS_SG_EVENT_V1:3QVY:A:CYS:82-:SG:O:ME7:CAG,MULTI_SOURCE_PROVENANCE,3QVY,A,,CYS,82,SG,ME7,O,CAG,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002864"",""SOURCE_RCSB_PDB_DIRECT:3QVY:covale1""]"
528,COVAPIE_CYS_SG_EVENT_V1:3QVY:B:CYS:82-:SG:U:ME7:CAE,MULTI_SOURCE_PROVENANCE,3QVY,B,,CYS,82,SG,ME7,U,CAE,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002866"",""SOURCE_RCSB_PDB_DIRECT:3QVY:covale4""]"
529,COVAPIE_CYS_SG_EVENT_V1:3QVY:C:CYS:82-:SG:O:ME7:CAE,MULTI_SOURCE_PROVENANCE,3QVY,C,,CYS,82,SG,ME7,O,CAE,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002865"",""SOURCE_RCSB_PDB_DIRECT:3QVY:covale7""]"
530,COVAPIE_CYS_SG_EVENT_V1:3QVY:D:CYS:82-:SG:U:ME7:CAH,MULTI_SOURCE_PROVENANCE,3QVY,D,,CYS,82,SG,ME7,U,CAH,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002867"",""SOURCE_RCSB_PDB_DIRECT:3QVY:covale10""]"
531,COVAPIE_CYS_SG_EVENT_V1:3QVZ:A:CYS:82-:SG:F:ME7:CAE,MULTI_SOURCE_PROVENANCE,3QVZ,A,,CYS,82,SG,ME7,F,CAE,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002898"",""SOURCE_RCSB_PDB_DIRECT:3QVZ:covale1""]"
532,COVAPIE_CYS_SG_EVENT_V1:3QVZ:B:CYS:82-:SG:N:ME7:CAG,MULTI_SOURCE_PROVENANCE,3QVZ,B,,CYS,82,SG,ME7,N,CAG,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002900"",""SOURCE_RCSB_PDB_DIRECT:3QVZ:covale5""]"
533,COVAPIE_CYS_SG_EVENT_V1:3QVZ:C:CYS:82-:SG:F:ME7:CAH,MULTI_SOURCE_PROVENANCE,3QVZ,C,,CYS,82,SG,ME7,F,CAH,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002899"",""SOURCE_RCSB_PDB_DIRECT:3QVZ:covale4""]"
534,COVAPIE_CYS_SG_EVENT_V1:3QVZ:D:CYS:82-:SG:N:ME7:CAF,MULTI_SOURCE_PROVENANCE,3QVZ,D,,CYS,82,SG,ME7,N,CAF,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002901"",""SOURCE_RCSB_PDB_DIRECT:3QVZ:covale8""]"
535,COVAPIE_CYS_SG_EVENT_V1:3RHY:A:CYS:249-:SG:C:HM3:C4,MULTI_SOURCE_PROVENANCE,3RHY,A,,CYS,249,SG,HM3,C,C4,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001482"",""SOURCE_COVPDB:CovPDB_complexes/3rhy/3rhy.pdb#LINK00447"",""SOURCE_RCSB_PDB_DIRECT:3RHY:covale1""]"
536,COVAPIE_CYS_SG_EVENT_V1:3RHY:B:CYS:249-:SG:D:HM3:C4,MULTI_SOURCE_PROVENANCE,3RHY,B,,CYS,249,SG,HM3,D,C4,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001483"",""SOURCE_COVPDB:CovPDB_complexes/3rhy/3rhy.pdb#LINK00448"",""SOURCE_RCSB_PDB_DIRECT:3RHY:covale2""]"
537,COVAPIE_CYS_SG_EVENT_V1:3RUO:A:CYS:147-:SG:C:AG7:C19,MULTI_SOURCE_PROVENANCE,3RUO,A,,CYS,147,SG,AG7,C,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004503"",""SOURCE_COVPDB:CovPDB_complexes/3ruo/3ruo.pdb#LINK00627"",""SOURCE_RCSB_PDB_DIRECT:3RUO:covale1""]"
538,COVAPIE_CYS_SG_EVENT_V1:3RUO:B:CYS:147-:SG:E:AG7:C19,MULTI_SOURCE_PROVENANCE,3RUO,B,,CYS,147,SG,AG7,E,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004504"",""SOURCE_COVPDB:CovPDB_complexes/3ruo/3ruo.pdb#LINK00628"",""SOURCE_RCSB_PDB_DIRECT:3RUO:covale2""]"
539,COVAPIE_CYS_SG_EVENT_V1:3S19:A:CYS:194-:SG:E:PRF:C10,MULTI_SOURCE_PROVENANCE,3S19,A,,CYS,194,SG,PRF,E,C10,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01187"",""SOURCE_RCSB_PDB_DIRECT:3S19:covale3""]"
540,COVAPIE_CYS_SG_EVENT_V1:3S19:B:CYS:194-:SG:G:PRF:C10,MULTI_SOURCE_PROVENANCE,3S19,B,,CYS,194,SG,PRF,G,C10,2,3,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01188"",""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01189"",""SOURCE_RCSB_PDB_DIRECT:3S19:covale17""]"
541,COVAPIE_CYS_SG_EVENT_V1:3S19:C:CYS:194-:SG:I:PRF:C10,MULTI_SOURCE_PROVENANCE,3S19,C,,CYS,194,SG,PRF,I,C10,2,3,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01190"",""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01191"",""SOURCE_RCSB_PDB_DIRECT:3S19:covale31""]"
542,COVAPIE_CYS_SG_EVENT_V1:3S19:D:CYS:194-:SG:K:PRF:C10,MULTI_SOURCE_PROVENANCE,3S19,D,,CYS,194,SG,PRF,K,C10,2,3,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01192"",""SOURCE_COVPDB:CovPDB_complexes/3s19/3s19.pdb#LINK01193"",""SOURCE_RCSB_PDB_DIRECT:3S19:covale47""]"
543,COVAPIE_CYS_SG_EVENT_V1:3S3Q:A:CYS:100-:SG:B:C1P:C18,MULTI_SOURCE_PROVENANCE,3S3Q,A,,CYS,100,SG,C1P,B,C18,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000021"",""SOURCE_COVPDB:CovPDB_complexes/3s3q/3s3q.pdb#LINK00364"",""SOURCE_RCSB_PDB_DIRECT:3S3Q:covale1""]"
544,COVAPIE_CYS_SG_EVENT_V1:3S3R:A:CYS:100-:SG:D:0IW:C21,MULTI_SOURCE_PROVENANCE,3S3R,A,,CYS,100,SG,0IW,D,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000022"",""SOURCE_RCSB_PDB_DIRECT:3S3R:covale1""]"
545,COVAPIE_CYS_SG_EVENT_V1:3S3R:B:CYS:100-:SG:E:0IW:C21,MULTI_SOURCE_PROVENANCE,3S3R,B,,CYS,100,SG,0IW,E,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000023"",""SOURCE_RCSB_PDB_DIRECT:3S3R:covale2""]"
546,COVAPIE_CYS_SG_EVENT_V1:3S3R:C:CYS:100-:SG:F:0IW:C21,MULTI_SOURCE_PROVENANCE,3S3R,C,,CYS,100,SG,0IW,F,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000024"",""SOURCE_RCSB_PDB_DIRECT:3S3R:covale3""]"
547,COVAPIE_CYS_SG_EVENT_V1:3SJI:A:CYS:147-:SG:B:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJI,A,,CYS,147,SG,AG7,B,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003113"",""SOURCE_COVPDB:CovPDB_complexes/3sji/3sji.pdb#LINK00389"",""SOURCE_RCSB_PDB_DIRECT:3SJI:covale1""]"
548,COVAPIE_CYS_SG_EVENT_V1:3SJO:A:CYS:147-:SG:I:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,A,,CYS,147,SG,AG7,I,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003105"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00962"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale1""]"
549,COVAPIE_CYS_SG_EVENT_V1:3SJO:B:CYS:147-:SG:J:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,B,,CYS,147,SG,AG7,J,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003106"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00963"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale2""]"
550,COVAPIE_CYS_SG_EVENT_V1:3SJO:C:CYS:147-:SG:K:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,C,,CYS,147,SG,AG7,K,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003107"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00964"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale3""]"
551,COVAPIE_CYS_SG_EVENT_V1:3SJO:D:CYS:147-:SG:L:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,D,,CYS,147,SG,AG7,L,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003108"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00965"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale4""]"
552,COVAPIE_CYS_SG_EVENT_V1:3SJO:E:CYS:147-:SG:M:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,E,,CYS,147,SG,AG7,M,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003109"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00966"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale5""]"
553,COVAPIE_CYS_SG_EVENT_V1:3SJO:F:CYS:147-:SG:N:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,F,,CYS,147,SG,AG7,N,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003110"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00967"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale6""]"
554,COVAPIE_CYS_SG_EVENT_V1:3SJO:G:CYS:147-:SG:O:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,G,,CYS,147,SG,AG7,O,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003111"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00968"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale7""]"
555,COVAPIE_CYS_SG_EVENT_V1:3SJO:H:CYS:147-:SG:P:AG7:C19,MULTI_SOURCE_PROVENANCE,3SJO,H,,CYS,147,SG,AG7,P,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003112"",""SOURCE_COVPDB:CovPDB_complexes/3sjo/3sjo.pdb#LINK00969"",""SOURCE_RCSB_PDB_DIRECT:3SJO:covale8""]"
556,COVAPIE_CYS_SG_EVENT_V1:3SN8:A:CYS:145-:SG:B:S89:C,MULTI_SOURCE_PROVENANCE,3SN8,A,,CYS,145,SG,S89,B,C,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000987"",""SOURCE_COVPDB:CovPDB_complexes/3sn8/3sn8.pdb#LINK00398"",""SOURCE_RCSB_PDB_DIRECT:3SN8:covale1""]"
557,COVAPIE_CYS_SG_EVENT_V1:3SVV:A:CYS:338-:SG:C:VSP:C18,MULTI_SOURCE_PROVENANCE,3SVV,A,,CYS,338,SG,VSP,C,C18,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001106"",""SOURCE_COVPDB:CovPDB_complexes/3svv/3svv.pdb#LINK00470"",""SOURCE_RCSB_PDB_DIRECT:3SVV:covale1""]"
