priority_rank,review_unit_id,event_count,potential_event_yield_per_unit,canonical_event_ids_json,pdb_ids_json,ligand_component_ids_json,full_coordinate_event_count,exact_reactive_pair_event_count,CCD_graph_complete_event_count,POST_geometry_available_event_count,shadow_exact_component_event_count,representation_blocked_event_count,leakage_conflict_event_count,priority_score,priority_reason,human_decision_created
1,COVAPIE_BULK_REVIEW_UNIT_6A4D564E712634EB,16,16,"[""COVAPIE_CYS_SG_EVENT_V1:4I3U:A:CYS:291-:SG:I:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:B:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:C:CYS:291-:SG:K:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:D:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:E:CYS:291-:SG:M:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:F:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:G:CYS:291-:SG:O:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:H:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:A:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:B:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:C:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:D:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:E:CYS:291-:SG:R:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:F:CYS:291-:SG:T:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:G:CYS:291-:SG:V:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:H:CYS:291-:SG:W:POA:C2""]","[""4I3U"",""4I3V""]","[""POA""]",16,16,16,16,0,0,0,16177760,EVENT_YIELD=16;FULL_COORDINATES=16;EXACT_PAIR=16;CCD_GRAPH=16;POST=16;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
12,COVAPIE_BULK_REVIEW_UNIT_BCA0E7B8C2B33410,5,5,"[""COVAPIE_CYS_SG_EVENT_V1:4V3F:A:CYS:450-:SG:J:CHT:C4"",""COVAPIE_CYS_SG_EVENT_V1:4V3F:B:CYS:450-:SG:P:CHT:C4"",""COVAPIE_CYS_SG_EVENT_V1:4V3F:D:CYS:450-:SG:Z:CHT:C4"",""COVAPIE_CYS_SG_EVENT_V1:5A2D:A:CYS:450-:SG:E:CHT:C4"",""COVAPIE_CYS_SG_EVENT_V1:5A2D:B:CYS:450-:SG:H:CHT:C4""]","[""4V3F"",""5A2D""]","[""CHT""]",5,5,5,5,0,0,0,5055550,EVENT_YIELD=5;FULL_COORDINATES=5;EXACT_PAIR=5;CCD_GRAPH=5;POST=5;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
13,COVAPIE_BULK_REVIEW_UNIT_18734D9C06222450,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4CL8:A:CYS:168-:SG:E:OZJ:CAF"",""COVAPIE_CYS_SG_EVENT_V1:4CL8:B:CYS:168-:SG:I:OZJ:CAF"",""COVAPIE_CYS_SG_EVENT_V1:4CL8:C:CYS:168-:SG:L:OZJ:CAF"",""COVAPIE_CYS_SG_EVENT_V1:4CL8:D:CYS:168-:SG:O:OZJ:CAF""]","[""4CL8""]","[""OZJ""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
14,COVAPIE_BULK_REVIEW_UNIT_2557BFE1E3B5C4C5,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:3V4X:A:CYS:111-:SG:E:F24:C8"",""COVAPIE_CYS_SG_EVENT_V1:3V4X:B:CYS:111-:SG:F:F24:C8"",""COVAPIE_CYS_SG_EVENT_V1:3V4X:C:CYS:111-:SG:G:F24:C8"",""COVAPIE_CYS_SG_EVENT_V1:3V4X:D:CYS:111-:SG:H:F24:C8""]","[""3V4X""]","[""F24""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
15,COVAPIE_BULK_REVIEW_UNIT_5A97818B52C80D18,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:2VJY:A:CYS:221-:SG:H:ALK:C2"",""COVAPIE_CYS_SG_EVENT_V1:2VJY:B:CYS:221-:SG:M:ALK:C2"",""COVAPIE_CYS_SG_EVENT_V1:2VJY:C:CYS:221-:SG:R:ALK:C2"",""COVAPIE_CYS_SG_EVENT_V1:2VJY:D:CYS:221-:SG:W:ALK:C2""]","[""2VJY""]","[""ALK""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
16,COVAPIE_BULK_REVIEW_UNIT_6B422BBF7FAD44F6,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:3ORZ:A:CYS:148-:SG:E:2A2:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORZ:B:CYS:148-:SG:G:2A2:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORZ:C:CYS:148-:SG:I:2A2:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORZ:D:CYS:148-:SG:K:2A2:SD""]","[""3ORZ""]","[""2A2""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
17,COVAPIE_BULK_REVIEW_UNIT_7D83F048AF8A2295,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:1WOF:A:CYS:145-:SG:C:I12:C21"",""COVAPIE_CYS_SG_EVENT_V1:1WOF:B:CYS:145-:SG:D:I12:C21"",""COVAPIE_CYS_SG_EVENT_V1:2AMP:A:CYS:144-:SG:C:I12:C21"",""COVAPIE_CYS_SG_EVENT_V1:2AMP:B:CYS:144-:SG:D:I12:C21""]","[""1WOF"",""2AMP""]","[""I12""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
18,COVAPIE_BULK_REVIEW_UNIT_80FE8023FD901B01,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4JWS:C:CYS:73-:SG:G:1N0:C16"",""COVAPIE_CYS_SG_EVENT_V1:4JWS:D:CYS:73-:SG:J:1N0:C16"",""COVAPIE_CYS_SG_EVENT_V1:4JWU:C:CYS:19-:SG:G:1N0:C16"",""COVAPIE_CYS_SG_EVENT_V1:4JX1:G:CYS:19-:SG:U:1N0:C16""]","[""4JWS"",""4JWU"",""4JX1""]","[""1N0""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
19,COVAPIE_BULK_REVIEW_UNIT_946339D19F961B4A,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:1FJ8:A:CYS:163-:SG:E:CER:C2"",""COVAPIE_CYS_SG_EVENT_V1:1FJ8:B:CYS:163-:SG:F:CER:C2"",""COVAPIE_CYS_SG_EVENT_V1:1FJ8:C:CYS:163-:SG:G:CER:C2"",""COVAPIE_CYS_SG_EVENT_V1:1FJ8:D:CYS:163-:SG:H:CER:C2""]","[""1FJ8""]","[""CER""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
20,COVAPIE_BULK_REVIEW_UNIT_9E98765987D25C42,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:5AZT:A:CYS:275-:SG:D:4M5:C15"",""COVAPIE_CYS_SG_EVENT_V1:5AZT:B:CYS:275-:SG:E:4M5:C15"",""COVAPIE_CYS_SG_EVENT_V1:5AZV:A:CYS:285-:SG:C:4M5:C15"",""COVAPIE_CYS_SG_EVENT_V1:5AZV:B:CYS:285-:SG:D:4M5:C15""]","[""5AZT"",""5AZV""]","[""4M5""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
21,COVAPIE_BULK_REVIEW_UNIT_9FFA5A52A3113C6E,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4F8B:B:CYS:55-:SG:F:GD1:C77"",""COVAPIE_CYS_SG_EVENT_V1:4F8B:C:CYS:55-:SG:I:GD1:C77"",""COVAPIE_CYS_SG_EVENT_V1:4F8B:D:CYS:55-:SG:K:GD1:C77"",""COVAPIE_CYS_SG_EVENT_V1:4F8B:E:CYS:55-:SG:N:GD1:C77""]","[""4F8B""]","[""GD1""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
22,COVAPIE_BULK_REVIEW_UNIT_A9BBD5309D7A5C08,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:2QLQ:A:CYS:345-:SG:C:SR2:C51"",""COVAPIE_CYS_SG_EVENT_V1:2QLQ:B:CYS:345-:SG:E:SR2:C51"",""COVAPIE_CYS_SG_EVENT_V1:2QQ7:A:CYS:345-:SG:C:SR2:C51"",""COVAPIE_CYS_SG_EVENT_V1:2QQ7:B:CYS:345-:SG:D:SR2:C51""]","[""2QLQ"",""2QQ7""]","[""SR2""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
23,COVAPIE_BULK_REVIEW_UNIT_AAB4DCC7D3073222,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:2J7Q:A:CYS:23-:SG:F:GVE:CB"",""COVAPIE_CYS_SG_EVENT_V1:2J7Q:C:CYS:23-:SG:J:GVE:CB"",""COVAPIE_CYS_SG_EVENT_V1:3KW5:A:CYS:90-:SG:C:GVE:CB"",""COVAPIE_CYS_SG_EVENT_V1:5CRA:A:CYS:118-:SG:K:GVE:CB""]","[""2J7Q"",""3KW5"",""5CRA""]","[""GVE""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
24,COVAPIE_BULK_REVIEW_UNIT_BA488AF51EDD8ED6,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4R0O:A:CYS:45-:SG:F:LCY:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R0O:B:CYS:45-:SG:H:LCY:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R0O:C:CYS:45-:SG:J:LCY:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R0O:D:CYS:45-:SG:L:LCY:C1""]","[""4R0O""]","[""LCY""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
25,COVAPIE_BULK_REVIEW_UNIT_BF1809E89D22D405,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4V37:A:CYS:450-:SG:F:0D8:C8"",""COVAPIE_CYS_SG_EVENT_V1:4V37:B:CYS:450-:SG:K:0D8:C8"",""COVAPIE_CYS_SG_EVENT_V1:4V37:C:CYS:450-:SG:P:0D8:C8"",""COVAPIE_CYS_SG_EVENT_V1:4V37:D:CYS:450-:SG:V:0D8:C8""]","[""4V37""]","[""0D8""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
