source_order,source_relative_path,source_kind,base_tree_sha256,filesystem_sha256,tracked_regular_non_symlink,source_boundary_passed
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_issue_inventory.csv,committed_schema_or_evidence_csv,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,true,true
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true,true
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true,true
18,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true
19,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true
20,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true
21,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,true,true
22,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true
23,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true
24,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true
25,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true,true
26,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,true,true
27,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true,true
28,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true,true
29,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,true,true
30,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,true,true
31,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,true,true
32,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,true,true
33,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_context_matrix.csv,committed_schema_or_evidence_csv,e230c0b7facc41616f6f129b418fdfa5da629bc607ed85881c43a67b5e0eb630,e230c0b7facc41616f6f129b418fdfa5da629bc607ed85881c43a67b5e0eb630,true,true
34,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_field_matrix.csv,committed_schema_or_evidence_csv,d7a198a9eb2bb5acd9887242eab3f81808db78b2fddd93720509897ea1578d7f,d7a198a9eb2bb5acd9887242eab3f81808db78b2fddd93720509897ea1578d7f,true,true
35,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,3d410d8e329d6b26e83936ac1fd6d42d251d76b785fe412006bfcf53ae5b27e8,3d410d8e329d6b26e83936ac1fd6d42d251d76b785fe412006bfcf53ae5b27e8,true,true
36,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integration_issue_inventory.csv,committed_schema_or_evidence_csv,90bbbcfd70ae4b44879c5248299718519ae6a875a516343d8ed871dba9ede1fb,90bbbcfd70ae4b44879c5248299718519ae6a875a516343d8ed871dba9ede1fb,true,true
37,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true,true
38,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_design_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_issue_transition_inventory.csv,committed_schema_or_evidence_csv,f28b7cfa0f2faf9b85ffafd7fe8a15abcb6fa3023896439b40a9b2c57c2e2c05,f28b7cfa0f2faf9b85ffafd7fe8a15abcb6fa3023896439b40a9b2c57c2e2c05,true,true
39,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_context_matrix.csv,committed_schema_or_evidence_csv,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,true,true
40,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_field_matrix.csv,committed_schema_or_evidence_csv,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,true,true
41,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,true,true
42,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integration_issue_inventory.csv,committed_schema_or_evidence_csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true
43,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,committed_schema_or_evidence_csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,true,true
44,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_context_matrix.csv,committed_schema_or_evidence_csv,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,true,true
45,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_field_matrix.csv,committed_schema_or_evidence_csv,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,true,true
46,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,true,true
47,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integration_issue_inventory.csv,committed_schema_or_evidence_csv,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,true,true
48,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_parser_provider_pipeline_integration_design_manifest.json,committed_manifest,cc3f824bb196847fcb175589e4682e2d39037177eb3564629498ae004ae7816e,cc3f824bb196847fcb175589e4682e2d39037177eb3564629498ae004ae7816e,true,true
49,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,committed_schema_or_evidence_csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,true,true
50,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,committed_schema_or_evidence_csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,true,true
51,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,committed_schema_or_evidence_csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,true,true
52,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_issue_inventory.csv,committed_schema_or_evidence_csv,168ebf5213861fdcc85355b17414a1a005753e41b39fd126a35c381f931639f9,168ebf5213861fdcc85355b17414a1a005753e41b39fd126a35c381f931639f9,true,true
53,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,committed_schema_or_evidence_csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,true,true
54,data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integrated_context_matrix.csv,committed_schema_or_evidence_csv,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,true,true
55,data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integrated_field_matrix.csv,committed_schema_or_evidence_csv,828b0e2fe3c26e1e81513cbe4fb48e221e604fa90fb1842972c29f3c2a44266f,828b0e2fe3c26e1e81513cbe4fb48e221e604fa90fb1842972c29f3c2a44266f,true,true
56,data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,e0b22771761719c6b2796638628eca3d27d417441b92ac231d1610a8b18b2760,e0b22771761719c6b2796638628eca3d27d417441b92ac231d1610a8b18b2760,true,true
57,data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integration_issue_inventory.csv,committed_schema_or_evidence_csv,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,true,true
58,data/derived/covalent_small/covapie_bulk_download_admission_minimal_unified_dispatch_shell_with_admit_004_v1/covapie_minimal_unified_dispatch_shell_issue_inventory.csv,committed_schema_or_evidence_csv,5295ee97d8cc3c81cd376116c4dc87489e1b04a65d700a6d08a927d5c72a9951,5295ee97d8cc3c81cd376116c4dc87489e1b04a65d700a6d08a927d5c72a9951,true,true
59,data/derived/covalent_small/covapie_bulk_download_admission_pdb_identifier_semantics_integration_gate_v1/covapie_pdb_identifier_integrated_context_matrix.csv,committed_schema_or_evidence_csv,dc816f74777a5cdced360048ac1cfdc27f711132868f04204d122c9d8f54c5af,dc816f74777a5cdced360048ac1cfdc27f711132868f04204d122c9d8f54c5af,true,true
60,data/derived/covalent_small/covapie_bulk_download_admission_pdb_identifier_semantics_integration_gate_v1/covapie_pdb_identifier_integrated_field_matrix.csv,committed_schema_or_evidence_csv,56388107014e0295c3124bac4660280ff41393e8a8cb6ffa1b50e4028be3c8da,56388107014e0295c3124bac4660280ff41393e8a8cb6ffa1b50e4028be3c8da,true,true
61,data/derived/covalent_small/covapie_bulk_download_admission_pdb_identifier_semantics_integration_gate_v1/covapie_pdb_identifier_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,99e3a4c8c127af4ac900343a90dfd2eebde73a2f75e9c1a3b27782144858e317,99e3a4c8c127af4ac900343a90dfd2eebde73a2f75e9c1a3b27782144858e317,true,true
62,data/derived/covalent_small/covapie_bulk_download_admission_pdb_identifier_semantics_integration_gate_v1/covapie_pdb_identifier_integration_issue_inventory.csv,committed_schema_or_evidence_csv,8857f22fda3ce281dab13772ee322e9c1af838d7895e410d19084731f9637a21,8857f22fda3ce281dab13772ee322e9c1af838d7895e410d19084731f9637a21,true,true
63,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_004_v1/covapie_admit_001_to_004_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true
64,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,true,true
65,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006_v1/covapie_admit_001_to_006_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true
66,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,true,true
67,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,true,true
68,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_009_v1/covapie_admit_001_to_009_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,true,true
69,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_010_v1/covapie_admit_001_to_010_runtime_issue_inventory.csv,committed_schema_or_evidence_csv,f59eecc7136ebdd148f2c6c6422b7a2bc0637e340322e09bc005eb00355db03c,f59eecc7136ebdd148f2c6c6422b7a2bc0637e340322e09bc005eb00355db03c,true,true
70,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_engine_issue_inventory.csv,committed_schema_or_evidence_csv,5295ee97d8cc3c81cd376116c4dc87489e1b04a65d700a6d08a927d5c72a9951,5295ee97d8cc3c81cd376116c4dc87489e1b04a65d700a6d08a927d5c72a9951,true,true
71,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_evaluator_and_context_routing_matrix.csv,committed_schema_or_evidence_csv,2d09f6ab5aa9c64419e7e7c4a90f6562a2883007f9b3ef82258a69b9df181b05,2d09f6ab5aa9c64419e7e7c4a90f6562a2883007f9b3ef82258a69b9df181b05,true,true
72,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,committed_schema_or_evidence_csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true,true
73,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,committed_schema_or_evidence_csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true,true
74,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,committed_schema_or_evidence_csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true,true
75,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,committed_schema_or_evidence_csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,true,true
