value_order,source_relative_path,source_sha256,container_kind,field_location,observed_value,value_state,grammar_promoted,evaluator_usable
11,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,present_historical_or_fixture_value,false,false
12,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,present_historical_or_fixture_value,false,false
13,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,present_historical_or_fixture_value,false,false
14,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,present_historical_or_fixture_value,false,false
15,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,present_historical_or_fixture_value,false,false
16,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,present_historical_or_fixture_value,false,false
17,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,present_historical_or_fixture_value,false,false
18,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,present_historical_or_fixture_value,false,false
19,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,present_historical_or_fixture_value,false,false
20,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,present_historical_or_fixture_value,false,false
21,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,present_historical_or_fixture_value,false,false
22,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,present_historical_or_fixture_value,false,false
23,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,present_historical_or_fixture_value,false,false
24,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,present_historical_or_fixture_value,false,false
25,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,committed_schema_or_evidence_csv,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,present_historical_or_fixture_value,false,false
26,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,present_historical_or_fixture_value,false,false
27,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,present_historical_or_fixture_value,false,false
28,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,present_historical_or_fixture_value,false,false
29,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,present_historical_or_fixture_value,false,false
30,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,present_historical_or_fixture_value,false,false
31,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,present_historical_or_fixture_value,false,false
32,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,present_historical_or_fixture_value,false,false
33,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,present_historical_or_fixture_value,false,false
34,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,present_historical_or_fixture_value,false,false
35,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,present_historical_or_fixture_value,false,false
36,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,committed_schema_or_evidence_csv,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,present_historical_or_fixture_value,false,false
37,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,present_historical_or_fixture_value,false,false
38,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,present_historical_or_fixture_value,false,false
39,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,present_historical_or_fixture_value,false,false
40,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,present_historical_or_fixture_value,false,false
41,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,present_historical_or_fixture_value,false,false
42,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,present_historical_or_fixture_value,false,false
43,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,present_historical_or_fixture_value,false,false
44,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,present_historical_or_fixture_value,false,false
45,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,present_historical_or_fixture_value,false,false
46,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,present_historical_or_fixture_value,false,false
47,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,ddebe9fd671400bb3508408ba0f5e38b13c83cc1e125f37bc98ac572daa2ed0d,committed_schema_or_evidence_csv,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,present_historical_or_fixture_value,false,false
