occurrence_order,source_relative_path,source_sha256,source_kind,line_number,occurrence_class,text
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
18,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
19,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
20,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
21,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
22,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
23,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
24,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
25,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
26,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
27,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
28,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
29,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
30,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
31,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,bb159a201f103a4cc04087978a7ca2a7bec7574fb9fc55d3cc0b059415f679e6,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
32,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
33,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
34,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
35,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_context_matrix.csv,e230c0b7facc41616f6f129b418fdfa5da629bc607ed85881c43a67b5e0eb630,committed_schema_or_evidence_csv,12,schema_or_contract,"existing_raw_target_relative_paths,batch_external_state_snapshot,ADMIT_011,true,false,false,true,true,true,true,,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
36,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_context_matrix.csv,e230c0b7facc41616f6f129b418fdfa5da629bc607ed85881c43a67b5e0eb630,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path_contract,evaluation_policy,ADMIT_011,true,false,false,false,true,false,false,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
37,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_field_matrix.csv,d7a198a9eb2bb5acd9887242eab3f81808db78b2fddd93720509897ea1578d7f,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path,pre_download,""future raw destination, no overwrite permitted"",true,candidate_metadata_provider,ADMIT_011,false,raw_target_relative_path_contract,false,false,false,false,step14at_schema_contract_value_contract_only,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,true,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
38,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integrated_rule_matrix.csv,3d410d8e329d6b26e83936ac1fd6d42d251d76b785fe412006bfcf53ae5b27e8,committed_schema_or_evidence_csv,12,open_blocker_evidence,"ADMIT_011,raw_overwrite_forbidden,pre_download,raw_target_relative_path,,existing_raw_target_relative_paths|raw_target_relative_path_contract,false,false,false,true,true,false,false,true,interface_only_pending_semantics,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
39,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1/covapie_candidate_record_id_integration_issue_inventory.csv,90bbbcfd70ae4b44879c5248299718519ae6a875a516343d8ed871dba9ede1fb,committed_schema_or_evidence_csv,11,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged"
40,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_issue_readiness_inventory.csv,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
41,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_design_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_issue_transition_inventory.csv,f28b7cfa0f2faf9b85ffafd7fe8a15abcb6fa3023896439b40a9b2c57c2e2c05,committed_schema_or_evidence_csv,9,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
42,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_context_matrix.csv,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,committed_schema_or_evidence_csv,12,schema_or_contract,"existing_raw_target_relative_paths,batch_external_state_snapshot,ADMIT_011,true,false,false,true,true,true,true,,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
43,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_context_matrix.csv,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path_contract,evaluation_policy,ADMIT_011,true,false,false,false,true,false,false,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
44,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_field_matrix.csv,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path,pre_download,""future raw destination, no overwrite permitted"",true,candidate_metadata_provider,ADMIT_011,false,raw_target_relative_path_contract,false,false,false,false,step14at_schema_contract_value_contract_only,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,true,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
45,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_rule_matrix.csv,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,committed_schema_or_evidence_csv,12,open_blocker_evidence,"ADMIT_011,raw_overwrite_forbidden,pre_download,raw_target_relative_path,,existing_raw_target_relative_paths|raw_target_relative_path_contract,false,false,false,true,true,false,false,true,interface_only_pending_semantics,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
46,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integration_issue_inventory.csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
47,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,committed_schema_or_evidence_csv,1,source_or_historical_evidence,"authority_row_id,binding_row_id,sample_preparation_input_id,pdb_id,ligand_comp_id,raw_target_relative_path,availability_source_row_id,integrity_source_row_id,independence_source_row_id,expected_sha256,prior_observed_sha256,sha256_matches,independence_sha256_before,independence_sha256_after,independence_sha256_unchanged,expected_file_size_bytes,prior_observed_file_size_bytes,file_size_matches,identity_match,raw_path_match,all_source_statuses_passed,authority_source_count,authority_status,permitted_for_raw_source_precondition,blocking_reason"
