fixture_profile,scope_id,candidate_count,candidate_index,admission_rule_id,execution_domain,outcome,reason,passed,blocks_candidate,dispatcher_call_count,aggregator_call_count,action_permission_granted
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_006,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_007,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_008,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_009,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_010,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_011,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_012,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_013,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_015,stage_global_reused,blocked,TRAINING_NOT_AUTHORIZED,false,true,15,1,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,-1,ADMIT_014,stage_global,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,-1,ADMIT_015,stage_global,blocked,TRAINING_NOT_AUTHORIZED,false,true,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_001,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_002,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_003,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_004,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_005,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_006,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_007,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_008,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_009,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_010,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_011,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_012,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_013,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,0,ADMIT_015,stage_global_reused,blocked,TRAINING_NOT_AUTHORIZED,false,true,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_001,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_002,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_003,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_004,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_005,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_006,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_007,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_008,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_009,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_010,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_011,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_012,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_013,candidate,passed,,true,false,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,28,2,false
canonical_two_candidate_training_scope,training_execution_admission_permission,2,1,ADMIT_015,stage_global_reused,blocked,TRAINING_NOT_AUTHORIZED,false,true,28,2,false
