dataloader_interface_smoke_row_id,final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,candidate_metadata_id,pdb_id,het_code,chain_id,mask_task_name,mask_task_alias,protein_pocket_atom_table_path,ligand_atom_table_path,protein_atom_row_count_for_event,ligand_atom_row_count_for_event,conditioning_mode,covalent_residue_conditioned,covalent_bond_atom_pair,covalent_bond_distance_angstrom,future_protein_xyz_key,future_ligand_xyz_key,future_mask_selector_key,future_batch_metadata_key,field_mapping_contract_path,feature_interface_contract_path,mask_interface_contract_path,batch_collate_contract_path,checkpoint_compatibility_contract_path,dataloader_interface_smoke_materialized_current_step,actual_dataloader_smoke_written,real_dataloader_written,torch_tensor_created_current_step,checkpoint_loaded_current_step,model_forward_called_current_step,ready_for_training
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,True,False,False,False,False,False,False
