final_dataset_field_name,future_dataloader_role,future_batch_key_or_metadata_key,source_value_present_in_preview,tensorization_status_current_step,current_smoke_value_status,blocker_before_training,field_mapping_smoke_passed,qa_comment
warhead_type_label_status,training_blocker_metadata,blockers.warhead_type_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
ligand_residue_atom_pair_label_status,training_blocker_metadata,blockers.ligand_residue_atom_pair_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
pre_post_geometry_label_status,training_blocker_metadata,blockers.pre_post_geometry_label_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
coordinate_unit,coordinate_geometry_metadata,geometry.coordinate_unit,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,field mapping landed in interface smoke without tensorization
coordinate_frame_status,training_blocker_metadata,blockers.coordinate_frame_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
pre_covalent_geometry_status,training_blocker_metadata,blockers.pre_covalent_geometry_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
post_covalent_geometry_status,training_blocker_metadata,blockers.post_covalent_geometry_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
feature_semantics_audit_status,training_blocker_metadata,blockers.feature_semantics_audit_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
feature_semantics_known_for_training,training_blocker_metadata,blockers.feature_semantics_known_for_training,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
unknown_atom_feature_policy_finalized_for_training,training_blocker_metadata,blockers.unknown_atom_feature_policy_finalized_for_training,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
leakage_split_qa_status,training_blocker_metadata,blockers.leakage_split_qa_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
split_assignment_status,training_blocker_metadata,blockers.split_assignment_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
final_dataset_materialized_current_step,identity_metadata,metadata.final_dataset_materialized_current_step,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,field mapping landed in interface smoke without tensorization
dataloader_ready,training_blocker_metadata,blockers.dataloader_ready,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
ready_for_training,training_blocker_metadata,blockers.ready_for_training,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
training_blocker_summary,training_blocker_metadata,blockers.training_blocker_summary,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
schema_version,metadata_key_not_tensor,metadata.schema_version,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
