feature_id,feature_domain,feature_name,feature_status,source_layer,producer_path,producer_symbol,source_columns_or_inputs,consumer_path,consumer_symbol,consumer_operation,training_consumed,checkpoint_compatible_current_width,storage_dtype,runtime_dtype,tensor_rank,tensor_shape_or_width,index_base,encoding_kind,vocabulary_or_value_domain,channel_or_index_meaning,missing_value_semantics,unknown_value_semantics,coordinate_unit,coordinate_frame,normalization_or_scaling,mask_semantics,broadcast_semantics,padding_semantics,evidence_status,evidence_reason,semantic_disposition,verified
data_pocket_type_symbol,protein_or_pocket_atom,final pocket type_symbol,current_data_metadata_only,final canonical derived data,,,pocket_atom_table.csv:type_symbol,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,explicit element token; includes H,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_ligand_type_symbol,ligand_atom,final ligand type_symbol,current_data_metadata_only,final canonical derived data,,,ligand_atom_table.csv:type_symbol,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,explicit element token; includes H,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_pocket_xyz,protein_or_pocket_geometry,final pocket x/y/z,current_data_metadata_only,final canonical derived data,,,pocket_atom_table.csv:x|y|z,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,Cartesian_xyz_columns,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,angstrom,source structure frame; future tensor contract not integrated,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,angstrom source-structure Cartesian coordinates,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_ligand_xyz,ligand_geometry,final ligand x/y/z,current_data_metadata_only,final canonical derived data,,,ligand_atom_table.csv:x|y|z,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,Cartesian_xyz_columns,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,angstrom,source structure frame; future tensor contract not integrated,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,angstrom source-structure Cartesian coordinates,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_canonical_covalent_task_masks,covalent_task_semantics,five canonical covalent task masks,current_data_metadata_only,final canonical derived data,,,atom-pair validation manifest:canonical_masks,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,data/task semantics only,not_applicable,not_applicable,explicitly_defined,data/task semantics only; exact five including scaffold_only/B3,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_target_residue_locator,covalent_metadata,target residue locator metadata,current_data_metadata_only,final canonical derived data,,,final_dataset_index:residue fields,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,structured locator metadata,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_covalent_atom_pair_and_indices,covalent_metadata,covalent atom-pair structured metadata and row indices,current_data_metadata_only,final canonical derived data,,,atom-pair validation manifest,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,structured record; row indices metadata-only,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_warhead_type,covalent_metadata,warhead type metadata,current_data_metadata_only,final canonical derived data,,,committed covalent metadata contracts,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,no current model consumer,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_pre_post_geometry,covalent_metadata,pre/post covalent geometry metadata,current_data_metadata_only,final canonical derived data,,,committed geometry contracts,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,metadata/auxiliary-label boundary,retain metadata-only until an explicit tensor/label/loss-mask contract,True
data_quarantine_control_plane,control_plane,quarantine metadata,current_data_metadata_only,final canonical derived data,,,data/derived/covalent_small/covapie_real_provider_export_blocking_row_quarantine_materialization_v1/covapie_real_provider_export_blocking_row_quarantine_materialization_manifest.json,,,,False,not_applicable,CSV text,not_tensorized,not_tensorized,not_tensorized,not_applicable,structured_metadata,committed table/contract domain,not_applicable,governed by committed metadata gate,not a current model input,not_applicable,not_applicable,none in metadata,not_applicable,not_applicable,not_applicable,explicitly_defined,admission/control-plane evidence; never a training feature,retain metadata-only until an explicit tensor/label/loss-mask contract,True
future_covalent_model_module_1,future_model_extension,target residue/atom condition adapter,future_planned_not_integrated,future plan,,,no integrated producer,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,consumer search found no integrated current model module,0/5 integrated; implementation forbidden in this audit,True
future_covalent_model_module_2,future_model_extension,role/mask/anchor-distance encoding,future_planned_not_integrated,future plan,,,no integrated producer,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,consumer search found no integrated current model module,0/5 integrated; implementation forbidden in this audit,True
future_covalent_model_module_3,future_model_extension,ligand atom ↔ residue atom pair prediction head,future_planned_not_integrated,future plan,,,no integrated producer,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,consumer search found no integrated current model module,0/5 integrated; implementation forbidden in this audit,True
future_covalent_model_module_4,future_model_extension,covalent geometry prediction head,future_planned_not_integrated,future plan,,,no integrated producer,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,consumer search found no integrated current model module,0/5 integrated; implementation forbidden in this audit,True
future_covalent_model_module_5,future_model_extension,pair contrastive loss,future_planned_not_integrated,future plan,,,no integrated producer,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,consumer search found no integrated current model module,0/5 integrated; implementation forbidden in this audit,True
future_auxiliary_targets,future_training_target,future auxiliary targets,future_planned_not_integrated,future label/loss design,,,warhead/pair/geometry candidates,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"no final tensor, label, loss-mask, head, or loss consumer contract",defer to a later contract only after blockers resolve,True
adapter_padded_node_validity_masks,adapter_internal,padded ligand/protein node validity masks,not_a_training_feature,CovaPIE adapter,src/covalent_ext/npz_dataset.py,covalent_npz_collate_fn,padding occupancy,src/covalent_ext/diffsbdd_input_adapter.py,_flatten_padded/_flatten_batch_indices,remove padding and derive batch membership before model boundary,False,1,not_stored,torch.bool,2,"[B,Nmax]",not_applicable,boolean,False|True,False=padding|True=valid node,collate always creates,non-boolean invalid,not_applicable,not_applicable,not_applicable,adapter validity only,elementwise,defines padding,explicitly_defined,"consumed by adapter, not by LigandPocketDDPM/DDPM model boundary",do not promote to current model input,True
external_edge_mask,graph_edge,external edge mask,not_a_training_feature,model interface,,,none,,,,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,EGNNDynamics.get_edges derives edge_index from batch membership and coordinates,no external edge-mask tensor exists in current path,True
coordinate_center_recovery_metadata,geometry_metadata,coordinate center,not_a_training_feature,adapter metadata,src/covalent_ext/batch_adapter.py,_coordinate_center,valid ligand+pocket coordinates,,,not read by training forward,False,3,not_stored,torch.float32,2,"[B,3]",not_applicable,Cartesian_xyz,finite real xyz,0=x|1=y|2=z,not_applicable,not_applicable,angstrom,source structure frame,none,not_applicable,subtracted from coordinates before model,not_applicable,deterministically_derived,used to construct centered coordinates but not itself consumed by model,provenance/recovery metadata only,True
legacy_crossdock_full_11d_others_schema,legacy_preprocessing,legacy 11-channel crossdock_full schema with others,not_a_training_feature,original preprocessing,process_crossdock.py,process_ligand_and_pocket,constants.dataset_params['crossdock_full'],,,,False,11,numpy float64 one-hot,not current checkpoint input,2,"[N,11]",0,one_hot,C|N|O|S|B|Br|Cl|P|I|F|others,others=10,KeyError/drop sample path,non-H out-of-vocabulary maps to others in pocket preprocessing,not_applicable,not_applicable,not current checkpoint path,not_applicable,not_applicable,concatenated variable-size arrays,explicitly_defined,committed 11-wide schema is excluded from the checkpoint-compatible 10-wide path,do not use for the current checkpoint; width change would be incompatible,True
