field_name,field_group,data_type,required_for_minimal_record,source_stage,source_column,description,future_writer_rule,training_use_status
distance_abs_delta_from_struct_conn,distance_sanity,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,distance_abs_delta_from_struct_conn,Pair sanity distance field distance_abs_delta_from_struct_conn.,copy_existing_sanity_result,not_training_input_yet
coordinate_pair_sanity_passed,distance_sanity,bool_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,coordinate_pair_sanity_passed,Pair sanity distance field coordinate_pair_sanity_passed.,copy_existing_sanity_result,not_training_input_yet
raw_structure_reference_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag raw_structure_reference_required.,required_before_sample_index,not_training_input_yet
full_protein_atom_extraction_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag full_protein_atom_extraction_required.,required_before_sample_index,not_training_input_yet
full_ligand_atom_extraction_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag full_ligand_atom_extraction_required.,required_before_sample_index,not_training_input_yet
pocket_definition_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag pocket_definition_required.,required_before_sample_index,not_training_input_yet
ligand_bond_topology_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag ligand_bond_topology_required.,required_before_sample_index,not_training_input_yet
covalent_bond_annotation_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag covalent_bond_annotation_required.,required_before_sample_index,not_training_input_yet
feature_semantics_audit_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag feature_semantics_audit_required.,required_before_sample_index,not_training_input_yet
split_leakage_check_required,future_required_gate,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,Future prerequisite flag split_leakage_check_required.,required_before_sample_index,not_training_input_yet
sample_index_written,status,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Must remain false in this design gate.,write_false_or_reason_until_future_gates_pass,not_training_input_yet
final_dataset_written,status,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Must remain false in this design gate.,write_false_or_reason_until_future_gates_pass,not_training_input_yet
model_input_materialized,status,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Must remain false until full model input artifacts exist.,write_false_or_reason_until_future_gates_pass,not_training_input_yet
training_ready,status,bool,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Must remain false until all future gates pass.,write_false_or_reason_until_future_gates_pass,not_training_input_yet
training_ready_reason,status,string,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Reason current record is not training input.,write_false_or_reason_until_future_gates_pass,not_training_input_yet
