ligand_bond_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_step13q_bond_topology_row_id,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_bond_idx,begin_rdkit_atom_idx,end_rdkit_atom_idx,begin_atom_symbol,end_atom_symbol,bond_type,bond_order_numeric,is_aromatic,is_conjugated,is_in_ring,stereo,touches_covalent_ligand_endpoint,is_warhead_bond,is_linker_bond,is_scaffold_bond,topology_source_stage,topology_source_artifact,topology_smoke_status,training_use_status
LTOP_BOND_000011,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0010,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,10,5,6,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000012,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0011,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,11,5,8,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000013,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0012,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,12,6,7,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000014,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0013,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,13,8,9,C,O,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000015,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0014,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,14,8,26,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000016,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0015,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,15,10,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000017,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0016,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,16,11,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000018,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0017,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,17,12,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000019,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0018,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,18,13,24,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000020,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0019,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,19,13,28,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000021,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0020,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,20,14,15,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000022,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0021,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,21,14,28,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000023,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0022,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,22,14,29,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000024,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0023,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,23,15,17,N,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000025,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0024,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,24,16,30,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000026,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0025,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,25,16,31,C,O,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000027,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0026,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,26,17,18,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,True,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000028,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0027,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,27,17,32,C,O,DOUBLE,2.0,False,False,False,STEREONONE,False,True,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000029,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0028,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,28,18,19,C,C,DOUBLE,2.0,False,False,False,STEREONONE,True,True,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000030,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0029,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,29,20,23,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000031,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0030,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,30,21,22,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000032,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0031,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,31,22,23,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000033,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0032,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,32,23,24,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000034,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0033,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,33,24,29,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000035,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0034,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,34,26,27,N,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000036,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0000,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,0,0,1,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000037,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0001,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,1,0,10,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000038,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0002,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,2,0,18,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000039,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0003,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,3,0,19,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000040,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0004,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,4,1,2,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000041,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0005,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,5,1,17,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000042,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0006,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,6,2,3,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000043,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,HR_0003_BOND_0007,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,7,2,16,C,Cl,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
