occurrence_order,semantic_subject,field_or_term_name,relative_path,file_role,occurrence_kind,declaring_or_referencing,phase_claim,type_claim,validation_claim,source_authority_level,current_contract_effect,admit_013_relevance,occurrence_passed
14,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
15,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
16,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
17,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
18,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
19,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
20,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
21,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
22,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,integrity_semantics_search_evidence,true
23,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
24,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
25,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
26,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
27,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
28,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
29,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
30,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
31,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,integrity_semantics_search_evidence,true
32,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
33,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
34,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
35,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
36,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
37,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
38,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
39,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
40,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
41,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
42,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
43,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
44,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
45,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
46,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
47,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
48,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
49,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
50,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
51,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
52,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
53,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
54,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,integrity_semantics_search_evidence,true
55,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
56,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,issue_inventory,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
57,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
58,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,shared_structural_contract_or_observed_value_reference,true
59,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
60,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
61,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
62,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
63,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,integrity_semantics_search_evidence,true
64,rule_identity,ADMIT_013,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
65,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,ADMIT_013_identity_or_context_evidence,true
