final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,candidate_metadata_id,pdb_id,het_code,mask_task_name,mask_task_alias,source_sample_index_row_found,source_split_unit_found,parent_event_group_bound_to_one_split_unit,sample_id_matches_source,split_unit_matches_step13bk,final_dataset_smoke_row_materialized_previous_step,final_dataset_smoke_preview_rewritten_current_step,real_final_dataset_materialized,dataloader_ready,ready_for_training,row_lineage_qa_passed,qa_comment
final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,warhead_only,A,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,linker_plus_warhead,B,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_warhead,B2,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_only,B3,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,warhead_only,A,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,linker_plus_warhead,B,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_warhead,B2,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_only,B3,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
