invariant_area,invariant_item,evidence_case_id,mutation_or_positive_probe,expected_outcome,expected_reason,observed_outcome,observed_reason,expected_projection,observed_projection,verified
cardinality,aggregator_equals_candidate_count,aggregator_count,mutate aggregator count,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_identity,equal_copy_rejected,copied_equal_stage_result,copy equal stage-global result,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_identity,positive_identity_reuse,stage_and_vector_identity_valid,actual shared identity,blocked,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,blocked,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[0]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[]"",""outcome"":""blocked"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[0]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[]"",""outcome"":""blocked"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}",true
candidate_exact5,storage_and_dataclass_order,candidate_reversed_storage,reverse candidate storage,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
candidate_exact5,candidate_index_sequence,candidate_index_mismatch,mutate candidate index,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
candidate_exact5,local_dispatcher_count,candidate_dispatcher_count,mutate local dispatcher count,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
candidate_exact5,local_aggregator_count,candidate_aggregator_count,mutate local aggregator count,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
unified,committed_validator,unified_rule_invariant_mutation,mutate Unified schema,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
combined,committed_validator,corrupted_rejected_diagnostics,corrupt Combined diagnostics,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
retained_vector,identity_required,copied_equal_retained_vector,copy equal retained vector,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
rejected,canonical_empty_diagnostics,rejected_canonical_source_invalid_verdict,actual canonical rejected branch,invalid,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,invalid,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[0]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[0]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}",true
