value_order,field_name,source_path,representation,source_kind,real_observed_value,synthetic_example,placeholder,schema_only,produced_by_download_execution,admissible_as_semantic_evidence,notes
11,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[6].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
12,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[7].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
13,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[8].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
14,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[9].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
15,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[10].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
16,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[11].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
17,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[12].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
18,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[13].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
19,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[14].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
20,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[15].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
21,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[16].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
22,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[17].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
23,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[18].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
24,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[19].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
25,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[20].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
26,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[21].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
27,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[0].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
28,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[1].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
29,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[2].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
30,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[3].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
31,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[4].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
32,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[5].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
33,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[6].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
34,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[7].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
35,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[8].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
36,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[9].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
37,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[10].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
38,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,static_literal_or_value:$.source_input_verification[11].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
39,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:1.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
40,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:2.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
41,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:3.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
42,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:4.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
43,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:5.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
44,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:6.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
45,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:7.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
46,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:8.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
47,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:9.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
48,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:10.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
49,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1/covapie_covalent_residue_locator_real_raw_source_precondition_matrix.csv,static_literal_or_value:row:11.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
50,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:1.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
51,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:2.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
52,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:3.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
53,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:4.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
54,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:5.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
55,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:6.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
56,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:7.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
57,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:8.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
58,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:9.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
59,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:10.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
60,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:11.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
61,observed_sha256,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,static_literal_or_value:row:12.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
62,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:1.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
63,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:2.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
64,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:3.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
65,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:4.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
66,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:5.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
67,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:6.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
68,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:7.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
69,observed_sha256,data/derived/covalent_small/covapie_independent_group_expansion_struct_conn_crosscheck_smoke_v0/covapie_struct_conn_raw_fingerprint_audit.csv,static_literal_or_value:row:8.observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
70,observed_sha256,data/derived/covalent_small/real_covalent_pilot_download_integrity_gate_v0/real_covalent_raw_file_integrity_table.csv,static_literal_or_value:row:1.observed_sha256,historical_non_admit012_integrity_observation,false,false,false,false,false,false,historical non-ADMIT_012 integrity evidence
71,observed_sha256,data/derived/covalent_small/real_covalent_pilot_download_integrity_gate_v0/real_covalent_raw_file_integrity_table.csv,static_literal_or_value:row:2.observed_sha256,historical_non_admit012_integrity_observation,false,false,false,false,false,false,historical non-ADMIT_012 integrity evidence
72,observed_sha256,data/derived/covalent_small/real_covalent_pilot_download_integrity_gate_v0/real_covalent_raw_file_integrity_table.csv,static_literal_or_value:row:3.observed_sha256,historical_non_admit012_integrity_observation,false,false,false,false,false,false,historical non-ADMIT_012 integrity evidence
73,observed_sha256,tests/test_covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
74,observed_sha256,tests/test_covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
75,observed_sha256,tests/test_covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
76,observed_sha256,tests/test_covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
77,observed_sha256,tests/test_covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
78,observed_sha256,tests/test_covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
79,observed_sha256,tests/test_covapie_bulk_download_admission_covalent_residue_locator_real_raw_source_precondition_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
80,download_result_status,tests/test_covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
81,observed_http_status,tests/test_covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
82,observed_content_length_bytes,tests/test_covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
83,observed_sha256,tests/test_covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
84,download_result_status,tests/test_covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
85,observed_http_status,tests/test_covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
86,observed_content_length_bytes,tests/test_covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
87,observed_sha256,tests/test_covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
88,observed_sha256,tests/test_real_covalent_pilot_download_integrity_gate_v0.py,static_literal_or_value:static_test_field_literal,test_fixture,false,true,false,false,false,false,static Python/test fixture; not production semantics
