field_name,field_group,schema_required_for_minimal_record,source_stage,source_column,present_in_minimal_sample_records,non_empty_for_all_records,copied_or_derived_rule,training_use_status
protein_selected_label_alt_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_label_alt_id,True,False,copy_altloc_aware_pair_value,not_training_input_yet
protein_selected_occupancy,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_occupancy,True,True,copy_altloc_aware_pair_value,not_training_input_yet
ligand_endpoint_comp_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_endpoint_comp_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
ligand_endpoint_atom_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_endpoint_atom_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_atom_site_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_atom_site_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_label_alt_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_label_alt_id,True,False,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_occupancy,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_occupancy,True,True,copy_altloc_aware_pair_value,not_training_input_yet
protein_Cartn_x,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_x,True,True,copy_without_recomputing_geometry,not_training_input_yet
protein_Cartn_y,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_y,True,True,copy_without_recomputing_geometry,not_training_input_yet
protein_Cartn_z,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_z,True,True,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_x,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_x,True,True,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_y,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_y,True,True,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_z,endpoint_coordinates,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_z,True,True,copy_without_recomputing_geometry,not_training_input_yet
computed_endpoint_distance_angstrom,distance_sanity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,computed_endpoint_distance_angstrom,True,True,copy_existing_sanity_result,not_training_input_yet
struct_conn_reported_distance_angstrom,distance_sanity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,struct_conn_reported_distance_angstrom,True,True,copy_existing_sanity_result,not_training_input_yet
distance_abs_delta_from_struct_conn,distance_sanity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,distance_abs_delta_from_struct_conn,True,True,copy_existing_sanity_result,not_training_input_yet
coordinate_pair_sanity_passed,distance_sanity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,coordinate_pair_sanity_passed,True,True,copy_existing_sanity_result,not_training_input_yet
raw_structure_reference_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
full_protein_atom_extraction_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
full_ligand_atom_extraction_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
pocket_definition_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
ligand_bond_topology_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
covalent_bond_annotation_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
feature_semantics_audit_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
split_leakage_check_required,future_required_gate,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant_true,True,True,required_before_sample_index,not_training_input_yet
sample_index_written,status,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,write_false_or_reason_until_future_gates_pass,not_training_input_yet
final_dataset_written,status,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,write_false_or_reason_until_future_gates_pass,not_training_input_yet
model_input_materialized,status,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,write_false_or_reason_until_future_gates_pass,not_training_input_yet
training_ready,status,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,write_false_or_reason_until_future_gates_pass,not_training_input_yet
training_ready_reason,status,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,write_false_or_reason_until_future_gates_pass,not_training_input_yet
