field_name,field_group,field_description,required_for_future_model_input,source_stage,source_artifact,diff_sbdd_compatibility_status,materialization_status,training_use_status
covalent_ligand_endpoint_atom_id,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `covalent_ligand_endpoint_atom_id`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
endpoint_atom_count,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `endpoint_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
endpoint_touching_bond_count,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `endpoint_touching_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
warhead_atom_mask_status,group_labels,Future DiffSBDD-compatible model input field `warhead_atom_mask_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
linker_atom_mask_status,group_labels,Future DiffSBDD-compatible model input field `linker_atom_mask_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
scaffold_atom_mask_status,group_labels,Future DiffSBDD-compatible model input field `scaffold_atom_mask_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
warhead_bond_label_status,group_labels,Future DiffSBDD-compatible model input field `warhead_bond_label_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
linker_bond_label_status,group_labels,Future DiffSBDD-compatible model input field `linker_bond_label_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
scaffold_bond_label_status,group_labels,Future DiffSBDD-compatible model input field `scaffold_bond_label_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
canonical_mask_task_names,canonical_mask_tasks,Future DiffSBDD-compatible model input field `canonical_mask_task_names`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
canonical_mask_task_aliases,canonical_mask_tasks,Future DiffSBDD-compatible model input field `canonical_mask_task_aliases`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
mask_task_count,canonical_mask_tasks,Future DiffSBDD-compatible model input field `mask_task_count`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
supports_warhead_only,canonical_mask_tasks,Future DiffSBDD-compatible model input field `supports_warhead_only`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
supports_linker_plus_warhead,canonical_mask_tasks,Future DiffSBDD-compatible model input field `supports_linker_plus_warhead`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
supports_scaffold_plus_warhead,canonical_mask_tasks,Future DiffSBDD-compatible model input field `supports_scaffold_plus_warhead`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
supports_scaffold_only,canonical_mask_tasks,Future DiffSBDD-compatible model input field `supports_scaffold_only`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
supports_scaffold_plus_linker_plus_warhead,canonical_mask_tasks,Future DiffSBDD-compatible model input field `supports_scaffold_plus_linker_plus_warhead`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
warhead_type_label_status,auxiliary_labels,Future DiffSBDD-compatible model input field `warhead_type_label_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
ligand_residue_atom_pair_label_status,auxiliary_labels,Future DiffSBDD-compatible model input field `ligand_residue_atom_pair_label_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
pre_post_covalent_geometry_label_status,auxiliary_labels,Future DiffSBDD-compatible model input field `pre_post_covalent_geometry_label_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
checkpoint_compatibility_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `checkpoint_compatibility_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
diff_sbdd_main_model_change_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `diff_sbdd_main_model_change_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
dataloader_change_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `dataloader_change_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
forward_change_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `forward_change_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
loss_change_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `loss_change_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
model_input_materialization_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `model_input_materialization_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
tensor_artifact_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `tensor_artifact_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
training_use_status,model_compatibility_safety,Future DiffSBDD-compatible model input field `training_use_status`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
ready_to_train_now,model_compatibility_safety,Future DiffSBDD-compatible model input field `ready_to_train_now`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
feature_semantics_audit_required_before_training,model_compatibility_safety,Future DiffSBDD-compatible model input field `feature_semantics_audit_required_before_training`.,True,real_covalent_confirmed_candidate_model_input_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,requires_feature_semantics_audit_before_training,design_only_not_materialized,not_training_input_yet
