complex_extraction_row_id,complex_card_url,fetch_status,covpdb_pdb_id_observed,covpdb_ligand_name_observed,covpdb_het_code_observed,covpdb_protein_name_observed,covpdb_uniprot_observed,covpdb_reaction_name_observed,covpdb_residue_name_observed,covpdb_residue_index_observed,covpdb_chain_id_observed,covpdb_sasa_observed,covpdb_pka_observed,covpdb_warhead_name_observed,duplicate_against_existing_9,excluded_reason,kept_as_next_batch_candidate,complex_extraction_passed,qa_comment
CYS_SG_NEXT_COMPLEX_000018,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2045,fetched,1AI8,,T42,,P00734 (THRB_HUMAN),Borylation,SER,195,H,17.31,-,Boronic Acid,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000019,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2091,fetched,1ARC,,TCK,,P15636 (API_ACHLY),Composite Reaction,HIS,57,A,98.16,5.34,Halomethyl Carbonyl,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000020,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,fetched,1B02,,UFP,,P0CI79 (TYSY1_BACSU),Nucleophilic Aromatic Substitution,CYS,161,A,38.99,14.66,Aryl Halide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000021,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=23,fetched,1AU8,,0H8,,P08311 (CATG_HUMAN),Phosphorylation,SER,195,A,16.17,-,Phosphonate,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000022,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,fetched,1AIM,,ZYA,,P25779 (CYSP_TRYCR),Nucleophilic Aliphatic Subsititution,CYS,25,A,20.41,12.32,Halomethyl Carbonyl,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000023,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=3,fetched,1A61,,00N,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,18.43,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000024,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=644,fetched,1AHT,,APA,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,20.39,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000025,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=993,fetched,1AT3,,DFP,,Q69527 (Q69527_HHV2),Phosphorylation,SER,129,A,21.92,-,Phosphate,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000026,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124,fetched,2DJF,,1ZB,,P53634 (CATC_HUMAN),Nucleophilic Aliphatic Subsititution,CYS,234,B,16.71,11.59,Diazomethyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000027,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485,fetched,6BV6,,JUG,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,346,A,53.34,10.02,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000028,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486,fetched,6BV9,,JUG,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,222,A,28.41,11.87,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000029,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487,fetched,6BV8,,JUG,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,353,A,62.92,9.96,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000030,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488,fetched,6BV5,,JUG,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,353,A,64.39,10.1,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000031,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493,fetched,6VWE,,JY1,,A2RI36 (A2RI36_LACLM),Michael Addition,CYS,89,A,40.13,-,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000032,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494,fetched,2R9F,,K2Z,,P97571 (CAN1_RAT),Hemi(thio)acetalization,CYS,115,A,19.4,11.52,Ketone,False,,True,True,
CYS_SG_NEXT_COMPLEX_000033,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496,fetched,4DCD,,K36,,P03300 (POLG_POL1M),Hemi(thio)acetalization,CYS,147,A,16.81,14.66,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000034,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498,fetched,6WTT,,K36,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,20.61,14.32,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000035,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499,fetched,4F49,,K36,,P0C6V2 (R1A_CVPPU),Hemi(thio)acetalization,CYS,144,A,25.26,14.5,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000036,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500,fetched,6L70,,K36,,K4L9I6 (K4L9I6_9ALPC),Hemi(thio)acetalization,CYS,144,A,22.73,14.41,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000037,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501,fetched,6WTJ,,K36,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,20.32,14.47,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000038,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502,fetched,7C8U,,K36,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,None,14.31,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000039,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503,fetched,5WKJ,,K36,,K9N638 (R1A_MERS1),Hemi(thio)acetalization,CYS,148,A,20.22,15.81,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
CYS_SG_NEXT_COMPLEX_000040,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151,fetched,6WTK,,UED,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,15.46,14.65,Alpha-Hydroxy Sulfonic Acid,False,,True,True,
