case_order,case_id,case_group,admission_rule_id,candidate_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,expected_outcome_or_error,observed_outcome_or_error,expected_result_json,observed_result_json,expected_call_order,observed_call_order,expected_stage_context_identity_preserved,observed_stage_context_identity_preserved,formal_call_count,oracle_call_count,candidate_key_access_count,adapter_stage_target_access_count,formal_stage_target_access_count,oracle_stage_target_access_count,stage_target_access_count,case_passed
11,candidate_empty,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
12,candidate_instrumented,admit014_inherited_exact42_runtime,ADMIT_014,instrumented_mapping,None,None,None,None,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
13,stage_none,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
14,stage_object,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,object,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
15,stage_empty_mapping,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{},blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
16,stage_false,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:False},blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""false""]],""outcome"":""blocked"",""passed"":false,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""false""]],""outcome"":""blocked"",""passed"":false,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
17,stage_true,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
18,stage_extra_keys,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,"{target:True,training:True,extra:1}",passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
19,stage_keyerror,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,KeyError_mapping,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
20,stage_runtimeerror,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,RuntimeError_mapping,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
21,stage_valueerror,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,ValueError_mapping,blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""blocked"",""passed"":false,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
22,formal_once,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
23,oracle_once,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
24,source_invalid_no_oracle,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
25,nonrepeatable_mismatch,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,alternating_mapping,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
26,source_wrong_type,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
27,source_subclass,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
