row_kind,case_id,input_descriptor,input_type,input_length,expected_outcome,observed_outcome,expected_reason,observed_reason,canonical_descriptor,exact_preserved,case_preserved,example_passed
present_invalid_example,PRESENT_INVALID_005,'A\tB',str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
present_invalid_example,PRESENT_INVALID_006,' A',str,2,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
present_invalid_example,PRESENT_INVALID_007,'A ',str,2,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
present_invalid_example,PRESENT_INVALID_008,'A\nB',str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
present_invalid_example,PRESENT_INVALID_009,'A\rB',str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
present_invalid_example,PRESENT_INVALID_010,'Aé',str,2,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_NON_ASCII,COVALENT_RESIDUE_INSERTION_PRESENT_NON_ASCII,None,false,true,true
present_invalid_example,PRESENT_INVALID_011,'A=B',str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,None,false,true,true
present_invalid_example,PRESENT_INVALID_012,'A\\B',str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,None,false,true,true
present_invalid_example,PRESENT_INVALID_013,'A',StrSubclass,1,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
present_invalid_example,PRESENT_INVALID_014,1,int,n/a,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
present_invalid_example,PRESENT_INVALID_015,None,NoneType,n/a,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_001,state non-exact str,int/str,0,invalid,invalid,COVALENT_RESIDUE_INSERTION_STATE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_STATE_TYPE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_002,state outside enum,str/str,0,invalid,invalid,COVALENT_RESIDUE_INSERTION_STATE_VALUE_INVALID,COVALENT_RESIDUE_INSERTION_STATE_VALUE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_003,absent non-exact value,str/NoneType,n/a,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_004,absent empty,str/str,0,passed,passed,,,'',true,true,true
state_value_truth,STATE_VALUE_005,absent nonempty,str/str,1,invalid,invalid,COVALENT_RESIDUE_INSERTION_ABSENT_REQUIRES_EMPTY,COVALENT_RESIDUE_INSERTION_ABSENT_REQUIRES_EMPTY,None,false,true,true
state_value_truth,STATE_VALUE_006,unknown non-exact value,str/NoneType,n/a,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_007,unknown empty,str/str,0,blocked,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,'',true,true,true
state_value_truth,STATE_VALUE_008,unknown nonempty,str/str,1,invalid,invalid,COVALENT_RESIDUE_INSERTION_UNKNOWN_REQUIRES_EMPTY,COVALENT_RESIDUE_INSERTION_UNKNOWN_REQUIRES_EMPTY,None,false,true,true
state_value_truth,STATE_VALUE_009,present non-exact value,str/NoneType,n/a,invalid,invalid,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,COVALENT_RESIDUE_INSERTION_VALUE_TYPE_INVALID,None,false,true,true
state_value_truth,STATE_VALUE_010,present empty,str/str,0,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_REQUIRES_NONEMPTY,COVALENT_RESIDUE_INSERTION_PRESENT_REQUIRES_NONEMPTY,None,false,true,true
state_value_truth,STATE_VALUE_011,present marker,str/str,1,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_MARKER_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_MARKER_FORBIDDEN,None,false,true,true
state_value_truth,STATE_VALUE_012,present whitespace,str/str,3,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,COVALENT_RESIDUE_INSERTION_PRESENT_WHITESPACE_FORBIDDEN,None,false,true,true
state_value_truth,STATE_VALUE_013,present non-ASCII,str/str,1,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_NON_ASCII,COVALENT_RESIDUE_INSERTION_PRESENT_NON_ASCII,None,false,true,true
state_value_truth,STATE_VALUE_014,present grammar-valid,str/str,3,passed,passed,,,'A.B',true,true,true
