manual_review_candidate_id,candidate_source_stage,source_candidate_id,pdb_id,ligand_identifier_if_available,suggested_ligand_comp_id,ccd_ligand_name,ccd_formula,ccd_type,covpdb_reaction_name,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,covpdb_warhead_name,covpdb_sasa,covpdb_pka,covpdb_uniprot,complex_card_url,struct_conn_evidence_status,suggested_residue_atom_name,suggested_ligand_atom_name,suggested_covalent_bond_atom_pair,rcsb_struct_conn_type,event_identity_status_current_step,manual_review_status,ready_candidate_current_step,ready_for_training_current_step,inventory_row_passed,qa_comment
CYS_SG_MANUAL_REVIEW_000011,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,COVPDB100,1ZB,N-[(1S)-1-benzyl-3-diazen-1-iumylidene-2-oxopropyl]glycinamide,C12 H14 N4 O2,peptide-like,Nucleophilic Aliphatic Subsititution,CYS,234,B,Diazomethyl Carbonyl,16.71,11.59,P53634 (CATC_HUMAN),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000012,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000003,6BV6,COVPDB1001,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,CYS,346,A,Vinyl Carbonyl,53.34,10.02,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000013,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000004,6BV9,COVPDB1001,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,CYS,222,A,Vinyl Carbonyl,28.41,11.87,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000014,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000005,6BV8,COVPDB1001,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,CYS,353,A,Vinyl Carbonyl,62.92,9.96,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000015,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000006,6BV5,COVPDB1001,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,CYS,353,A,Vinyl Carbonyl,64.39,10.1,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000016,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,COVPDB1006,JY1,"bis[diethyl(methyl)-lambda~5~-phosphanyl]{bis[{[(2-{[2-(2,5-dioxopyrrolidin-1-yl)ethyl]amino}-2-oxoethyl)amino]methyl}(diethyl)-lambda~5~-phosphanyl]}rhodium",C36 H74 N6 O6 P4 Rh,non-polymer,Michael Addition,CYS,89,A,Vinyl Carbonyl,40.13,-,A2RI36 (A2RI36_LACLM),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000017,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,COVPDB1007,K2Z,"benzyl [(1S)-1-{[(1S,2S)-1-ethyl-2-hydroxy-3-{[3-(4-methylpiperazin-1-yl)propyl]amino}-3-oxopropyl]carbamoyl}-3-methylbutyl]carbamate",C27 H45 N5 O5,non-polymer,Hemi(thio)acetalization,CYS,115,A,Ketone,19.4,11.52,P97571 (CAN1_RAT),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000018,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,147,A,Alpha-Hydroxy Sulfonic Acid,16.81,14.66,P03300 (POLG_POL1M),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000019,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,20.61,14.32,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000020,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,144,A,Alpha-Hydroxy Sulfonic Acid,25.26,14.5,P0C6V2 (R1A_CVPPU),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000021,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,144,A,Alpha-Hydroxy Sulfonic Acid,22.73,14.41,K4L9I6 (K4L9I6_9ALPC),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000022,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,20.32,14.47,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000023,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,None,14.31,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000024,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000015,5WKJ,COVPDB1009,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,CYS,148,A,Alpha-Hydroxy Sulfonic Acid,20.22,15.81,K9N638 (R1A_MERS1),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000025,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000016,6WTK,COVPDB1009,UED,N~2~-[(benzyloxy)carbonyl]-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide,C21 H31 N3 O5,non-polymer,Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,15.46,14.65,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
