manual_review_candidate_id,event_identity_tuple,pdb_id,suggested_ligand_comp_id,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,complex_card_url,duplicate_within_combined_inventory,pdb_id_alone_used_as_identity,ligand_id_alone_used_as_identity,has_cys_residue,has_warhead,has_reaction,has_chain,has_ligand_metadata,has_struct_conn_evidence,requires_future_struct_conn_crosscheck,event_identity_audit_passed,qa_comment
CYS_SG_MANUAL_REVIEW_000011,"{""chain_id"": ""B"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124"", ""covalent_bond_atom_pair"": """", ""ligand"": ""1ZB"", ""pdb_id"": ""2DJF"", ""residue_index"": ""234"", ""residue_name"": ""CYS""}",2DJF,1ZB,CYS,234,B,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000012,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485"", ""covalent_bond_atom_pair"": """", ""ligand"": ""JUG"", ""pdb_id"": ""6BV6"", ""residue_index"": ""346"", ""residue_name"": ""CYS""}",6BV6,JUG,CYS,346,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000013,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486"", ""covalent_bond_atom_pair"": """", ""ligand"": ""JUG"", ""pdb_id"": ""6BV9"", ""residue_index"": ""222"", ""residue_name"": ""CYS""}",6BV9,JUG,CYS,222,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000014,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487"", ""covalent_bond_atom_pair"": """", ""ligand"": ""JUG"", ""pdb_id"": ""6BV8"", ""residue_index"": ""353"", ""residue_name"": ""CYS""}",6BV8,JUG,CYS,353,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000015,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488"", ""covalent_bond_atom_pair"": """", ""ligand"": ""JUG"", ""pdb_id"": ""6BV5"", ""residue_index"": ""353"", ""residue_name"": ""CYS""}",6BV5,JUG,CYS,353,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000016,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493"", ""covalent_bond_atom_pair"": """", ""ligand"": ""JY1"", ""pdb_id"": ""6VWE"", ""residue_index"": ""89"", ""residue_name"": ""CYS""}",6VWE,JY1,CYS,89,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000017,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K2Z"", ""pdb_id"": ""2R9F"", ""residue_index"": ""115"", ""residue_name"": ""CYS""}",2R9F,K2Z,CYS,115,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000018,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""4DCD"", ""residue_index"": ""147"", ""residue_name"": ""CYS""}",4DCD,K36,CYS,147,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000019,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""6WTT"", ""residue_index"": ""145"", ""residue_name"": ""CYS""}",6WTT,K36,CYS,145,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000020,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""4F49"", ""residue_index"": ""144"", ""residue_name"": ""CYS""}",4F49,K36,CYS,144,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000021,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""6L70"", ""residue_index"": ""144"", ""residue_name"": ""CYS""}",6L70,K36,CYS,144,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000022,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""6WTJ"", ""residue_index"": ""145"", ""residue_name"": ""CYS""}",6WTJ,K36,CYS,145,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000023,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""7C8U"", ""residue_index"": ""145"", ""residue_name"": ""CYS""}",7C8U,K36,CYS,145,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000024,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503"", ""covalent_bond_atom_pair"": """", ""ligand"": ""K36"", ""pdb_id"": ""5WKJ"", ""residue_index"": ""148"", ""residue_name"": ""CYS""}",5WKJ,K36,CYS,148,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503,False,False,False,True,True,True,True,True,False,True,True,
CYS_SG_MANUAL_REVIEW_000025,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151"", ""covalent_bond_atom_pair"": """", ""ligand"": ""UED"", ""pdb_id"": ""6WTK"", ""residue_index"": ""145"", ""residue_name"": ""CYS""}",6WTK,UED,CYS,145,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151,False,False,False,True,True,True,True,True,False,True,True,
