case_group,case_id,decision_field,expected_value,design_value,runtime_value,expected_exact_type,design_exact_type,runtime_exact_type,design_parity_verified,runtime_parity_verified,three_way_parity_verified
type,result_subclass,outcome,invalid,invalid,invalid,str,str,str,true,true,true
type,result_subclass,passed,false,false,false,bool,bool,bool,true,true,true
type,result_subclass,blocks_download,true,true,true,bool,bool,bool,true,true,true
type,result_subclass,reason,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,str,str,str,true,true,true
type,result_subclass,source_kind,orchestration_result,orchestration_result,orchestration_result,str,str,str,true,true,true
type,result_subclass,source_scope_id,,,,str,str,str,true,true,true
type,result_subclass,source_error_code,,,,str,str,str,true,true,true
type,result_subclass,candidate_count,0,0,0,int,int,int,true,true,true
type,result_subclass,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_subclass,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_subclass,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_subclass,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
type,result_subclass,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
type,result_subclass,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
type,error_wrong_type,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
type,error_wrong_type,outcome,invalid,invalid,invalid,str,str,str,true,true,true
type,error_wrong_type,passed,false,false,false,bool,bool,bool,true,true,true
type,error_wrong_type,blocks_download,true,true,true,bool,bool,bool,true,true,true
type,error_wrong_type,reason,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,str,str,str,true,true,true
type,error_wrong_type,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
type,error_wrong_type,source_scope_id,,,,str,str,str,true,true,true
type,error_wrong_type,source_error_code,,,,str,str,str,true,true,true
type,error_wrong_type,candidate_count,0,0,0,int,int,int,true,true,true
type,error_wrong_type,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_wrong_type,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_wrong_type,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_wrong_type,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
type,error_wrong_type,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
type,error_wrong_type,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
type,error_subclass,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
type,error_subclass,outcome,invalid,invalid,invalid,str,str,str,true,true,true
type,error_subclass,passed,false,false,false,bool,bool,bool,true,true,true
type,error_subclass,blocks_download,true,true,true,bool,bool,bool,true,true,true
type,error_subclass,reason,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_ERROR_TYPE_INVALID,str,str,str,true,true,true
type,error_subclass,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
type,error_subclass,source_scope_id,,,,str,str,str,true,true,true
type,error_subclass,source_error_code,,,,str,str,str,true,true,true
type,error_subclass,candidate_count,0,0,0,int,int,int,true,true,true
type,error_subclass,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_subclass,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_subclass,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,error_subclass,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
type,error_subclass,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
type,error_subclass,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_code,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_code,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_code,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_code,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_code,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_code,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_code,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_code,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_code,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_code,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_code,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_code,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_code,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_code,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_code,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_scope_type,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_scope_type,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_scope_type,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_scope_type,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_scope_type,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_scope_type,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_scope_type,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_scope_type,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_scope_type,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_scope_type,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_scope_type,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_scope_type,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_scope_type,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_scope_type,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_scope_type,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_candidate_index,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_candidate_index,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_candidate_index,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_candidate_index,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_candidate_index,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_candidate_index,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_candidate_index,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_candidate_index,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_candidate_index,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_candidate_index,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_candidate_index,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_candidate_index,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_candidate_index,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_candidate_index,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_candidate_index,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_rule_type,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_rule_type,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_rule_type,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_rule_type,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_rule_type,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_rule_type,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_rule_type,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_rule_type,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_rule_type,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_rule_type,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_rule_type,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_rule_type,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_rule_type,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_rule_type,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_rule_type,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_dispatcher_bool_as_int,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_dispatcher_bool_as_int,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_dispatcher_bool_as_int,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_dispatcher_bool_as_int,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_dispatcher_bool_as_int,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_dispatcher_bool_as_int,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_dispatcher_bool_as_int,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_dispatcher_bool_as_int,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_dispatcher_bool_as_int,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_dispatcher_bool_as_int,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_aggregator_negative,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_aggregator_negative,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_aggregator_negative,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_aggregator_negative,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_aggregator_negative,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_aggregator_negative,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_aggregator_negative,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_aggregator_negative,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_aggregator_negative,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_aggregator_negative,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_aggregator_negative,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_aggregator_negative,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_aggregator_negative,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_aggregator_negative,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_aggregator_negative,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reason_empty,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_reason_empty,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_reason_empty,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reason_empty,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_reason_empty,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_reason_empty,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_reason_empty,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_reason_empty,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_reason_empty,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_reason_empty,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reason_empty,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reason_empty,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reason_empty,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reason_empty,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reason_empty,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_cause_type,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_cause_type,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_cause_type,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_cause_type,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_cause_type,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_cause_type,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_cause_type,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_cause_type,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_cause_type,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_cause_type,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_cause_type,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_cause_type,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_cause_type,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_cause_type,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_cause_type,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reversed_storage,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
error_invariant,error_reversed_storage,outcome,invalid,invalid,invalid,str,str,str,true,true,true
error_invariant,error_reversed_storage,passed,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reversed_storage,blocks_download,true,true,true,bool,bool,bool,true,true,true
error_invariant,error_reversed_storage,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,str,str,str,true,true,true
error_invariant,error_reversed_storage,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
error_invariant,error_reversed_storage,source_scope_id,,,,str,str,str,true,true,true
error_invariant,error_reversed_storage,source_error_code,,,,str,str,str,true,true,true
error_invariant,error_reversed_storage,candidate_count,0,0,0,int,int,int,true,true,true
error_invariant,error_reversed_storage,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reversed_storage,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reversed_storage,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
error_invariant,error_reversed_storage,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reversed_storage,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
error_invariant,error_reversed_storage,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
