case_group,case_id,expected_schema_version,observed_schema_version,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_download,observed_blocks_download,expected_reason,observed_reason,expected_source_kind,observed_source_kind,expected_source_scope_id,observed_source_scope_id,expected_source_error_code,observed_source_error_code,expected_candidate_count,observed_candidate_count,expected_invalid_candidate_indexes,observed_invalid_candidate_indexes,expected_blocked_candidate_indexes,observed_blocked_candidate_indexes,expected_failing_candidate_indexes,observed_failing_candidate_indexes,expected_action_permission_granted,observed_action_permission_granted,expected_download_action_invoked,observed_download_action_invoked,expected_call_site_io_used,observed_call_site_io_used,exact_decision_type_verified,zero_action_verified,verified
error_invariant,error_candidate_index,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_rule_type,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_dispatcher_bool_as_int,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_aggregator_negative,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_reason_empty,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_cause_type,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_invariant,error_reversed_storage,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,BULK_DOWNLOAD_ORCHESTRATION_ERROR_INVARIANT_INVALID,orchestration_error,orchestration_error,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_DISPATCH_ERROR,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_DISPATCH_ERROR,STAGE_ORCHESTRATION_DISPATCH_ERROR,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
error_exact8_codes,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,schema,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,unknown_scope,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_count_zero,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_count_bool_as_int,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,required_membership,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,stage_membership,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_membership,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,stage_result_tuple_subclass,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_result_tuple_subclass,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,dispatcher_count,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,aggregator_count,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,io_bool_as_int,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,permission_bool_as_int,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,reversed_storage,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,reconstruction_mismatch,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_reversed_storage,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_index_mismatch,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_dispatcher_count,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,candidate_aggregator_count,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
stage_result_invariant,unified_rule_invariant_mutation,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
scope,download_execution_permission,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[0],[0],[0],[0],false,false,false,false,false,false,true,true,true
scope,post_download_acceptance_permission,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,orchestration_result,orchestration_result,post_download_acceptance_permission,post_download_acceptance_permission,,,1,1,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
scope,pre_final_split_acceptance_permission,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,orchestration_result,orchestration_result,pre_final_split_acceptance_permission,pre_final_split_acceptance_permission,,,1,1,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
scope,training_execution_admission_permission,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,orchestration_result,orchestration_result,training_execution_admission_permission,training_execution_admission_permission,,,1,1,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
identity,copied_equal_stage_result,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
identity,copied_equal_retained_vector,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
identity,stage_and_vector_identity_valid,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[0],[0],[0],[0],false,false,false,false,false,false,true,true,true
identity,rejected_canonical_source_invalid_verdict,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[0],[0],[],[],[0],[0],false,false,false,false,false,false,true,true,true
identity,corrupted_rejected_diagnostics,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
candidate_precedence,all_passed_permission_false,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
candidate_precedence,blocked_first,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[],[],[0],[0],[0],[0],false,false,false,false,false,false,true,true,true
candidate_precedence,blocked_middle,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[],[],[1],[1],[1],[1],false,false,false,false,false,false,true,true,true
