occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,contains_concrete_value,concrete_value,authoritative_for_runtime_semantics,occurrence_passed
27,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:242,covalent_event_evidence_source,candidate_scalar|context_item,ADMIT_006,shared evaluation-context dependency declaration without frozen payload,false,,false,true
28,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:242,ADMIT_006,candidate_scalar|context_item,ADMIT_006,shared evaluation-context dependency declaration without frozen payload,false,,false,true
29,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:243,covalent_event_evidence_source,candidate_scalar|context_item,ADMIT_007,shared evaluation-context dependency declaration without frozen payload,false,,false,true
30,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:243,ADMIT_007,candidate_scalar|context_item,ADMIT_007,shared evaluation-context dependency declaration without frozen payload,false,,false,true
31,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,source_code,line:264,covalent_event_evidence_source,candidate_scalar|context_item,,shared evaluation-context dependency declaration without frozen payload,false,,false,true
32,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,contract,context_item=allowed_covalent_evidence_classes,ADMIT_006,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
33,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,contract,context_item=allowed_covalent_evidence_classes,ADMIT_007,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
34,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,contract,context_item=allowed_covalent_evidence_classes,COVALENT_EVIDENCE_ENUM_UNRESOLVED,context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
35,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,truth,field_name=covalent_event_evidence_source,covalent_event_evidence_source,candidate_scalar|provider_metadata|context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
36,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,truth,field_name=covalent_event_evidence_source,ADMIT_006,candidate_scalar|provider_metadata|context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
37,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,truth,field_name=covalent_event_evidence_source,ADMIT_007,candidate_scalar|provider_metadata|context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
38,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,truth,field_name=covalent_event_evidence_source,COVALENT_EVIDENCE_ENUM_UNRESOLVED,candidate_scalar|provider_metadata|context_item,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
39,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_006,covalent_event_evidence_source,candidate_scalar|context_item,ADMIT_006,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
40,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_006,ADMIT_006,candidate_scalar|context_item,ADMIT_006,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
41,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_006,explicit_covalent_event_evidence,candidate_scalar|context_item,ADMIT_006,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
42,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_006,COVALENT_EVIDENCE_ENUM_UNRESOLVED,candidate_scalar|context_item,ADMIT_006,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
43,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_007,covalent_event_evidence_source,candidate_scalar|context_item,ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
44,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_007,ADMIT_007,candidate_scalar|context_item,ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
45,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_007,distance_only_inference_forbidden,candidate_scalar|context_item,ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
46,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,truth,admission_rule_id=ADMIT_007,COVALENT_EVIDENCE_ENUM_UNRESOLVED,candidate_scalar|context_item,ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
47,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,covalent_event_evidence_source,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
48,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,ADMIT_006,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
49,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,ADMIT_007,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
50,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,COVALENT_EVIDENCE_ENUM_UNRESOLVED,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
51,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,manifest,line:16,COVALENT_EVIDENCE_ENUM_UNRESOLVED,rule_or_blocker_declaration,,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,false,true
52,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005.py,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,source_code,line:948,ADMIT_006,rule_or_blocker_declaration,ADMIT_006,rule coverage or registration declaration,false,,false,true
53,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,covalent_event_evidence_source,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
54,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,ADMIT_006,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
55,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,ADMIT_007,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
56,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=COVALENT_EVIDENCE_ENUM_UNRESOLVED,COVALENT_EVIDENCE_ENUM_UNRESOLVED,candidate_scalar,ADMIT_006|ADMIT_007,allowed evidence enum and shared ADMIT_006/ADMIT_007 semantics remain unresolved,false,,true,true
57,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,ADMIT_006,rule_or_blocker_declaration,ADMIT_006|ADMIT_007,rule coverage or registration declaration,false,,true,true
58,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,ADMIT_007,rule_or_blocker_declaration,ADMIT_006|ADMIT_007,rule coverage or registration declaration,false,,true,true
59,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,ADMIT_006,rule_or_blocker_declaration,ADMIT_006|ADMIT_007,rule coverage or registration declaration,false,,true,true
60,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,issue,issue_id=UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,ADMIT_007,rule_or_blocker_declaration,ADMIT_006|ADMIT_007,rule coverage or registration declaration,false,,true,true
61,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_manifest.json,699143ca47d8ff51dbf9779fce2a95ef537d1d6053d93a73f941725d6219256e,manifest,line:85,ADMIT_006,rule_or_blocker_declaration,ADMIT_006,rule coverage or registration declaration,false,,true,true
62,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_manifest.json,699143ca47d8ff51dbf9779fce2a95ef537d1d6053d93a73f941725d6219256e,manifest,line:86,ADMIT_007,rule_or_blocker_declaration,ADMIT_007,rule coverage or registration declaration,false,,true,true
