case_order,case_id,case_group,expected_decision,observed_decision,expected_error_code,observed_error_code,runtime_call_count,selected_rule_id,batch_context_is_none,evaluation_context_is_none,download_result_context_is_none,stage_context_identity_preserved,protected_action_counts_json,current_permission,authorized_execution_count,real_training_executed,case_passed
11,schema_drift,result_identity_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
12,rule_id_drift,result_identity_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
13,adapter_id_drift,result_identity_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
14,contradictory_passed_false,contradictory_pass_flags,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
15,contradictory_blocks_true,contradictory_pass_flags,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
16,nonempty_reason,reason_validation,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
17,normalized_value_missing,normalized_value_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
18,normalized_value_wrong,normalized_value_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
19,evaluator_io_drift,evaluator_io_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
20,validated_candidate_fields_drift,candidate_field_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
21,consumed_candidate_fields_drift,candidate_field_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
22,consumed_context_drift,consumed_context_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
23,repeated_runtime_call_attempt,exactly_once,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_REPEATED_CALL_FORBIDDEN,ADMIT_015_TRAINING_AUTHORIZATION_REPEATED_CALL_FORBIDDEN,0,,false,false,false,false,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
24,precomputed_result_replay,result_replay,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_REPLAY_FORBIDDEN,ADMIT_015_TRAINING_AUTHORIZATION_REPLAY_FORBIDDEN,0,,false,false,false,false,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
25,admit_014_true_cannot_authorize_training,admit014_isolation,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_OVERRIDE_FORBIDDEN,ADMIT_015_TRAINING_AUTHORIZATION_OVERRIDE_FORBIDDEN,0,,false,false,false,false,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
26,combined_true_cannot_override_blocked,combined_verdict_non_override,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_OVERRIDE_FORBIDDEN,ADMIT_015_TRAINING_AUTHORIZATION_OVERRIDE_FORBIDDEN,0,,false,false,false,false,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
27,blocked_protected_counts_zero,protected_action_zero_boundary,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
28,synthetic_true_changes_no_current_permission,current_permission_boundary,future_in_memory_continuation,future_in_memory_continuation,,,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
29,pass_releases_future_in_memory_only,design_pass_boundary,future_in_memory_continuation,future_in_memory_continuation,,,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
