occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,authoritative_for_admit008_formal_semantics,occurrence_passed
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_9,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,true,true
12,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_9,approved_template_or_manual_review,historical evidence-source phrase,ADMIT_008,high-level evidence phrase is not a canonical scalar member,false,true
13,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_9,approved_or_manual_review,historical required-status phrase,ADMIT_008,high-level status phrase is not a canonical scalar member,false,true
14,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_9,topology_restoration_unapproved,historical blocking reason,ADMIT_008,lowercase historical reason is not a formal reason vocabulary,false,true
15,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,line_11,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,true,true
16,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_contract_csv,line_11,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,true,true
17,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_contract_csv,line_11,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,true,true
18,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_contract_csv,line_11,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,open semantics blocker,ADMIT_008,canonical disposition enum remains unresolved,false,true
19,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_contract_csv,line_9,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,true,true
20,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_contract_csv,line_9,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,true,true
21,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_contract_csv,line_9,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,open semantics blocker,ADMIT_008,canonical disposition enum remains unresolved,false,true
22,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_contract_csv,line_14,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
23,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_contract_csv,line_14,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,false,true
24,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_contract_csv,line_14,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,open semantics blocker,ADMIT_008,canonical disposition enum remains unresolved,false,true
25,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_96,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
26,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_97,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
27,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_103,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
28,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_105,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
29,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_125,restoration_rule_id,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
30,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_126,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
31,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_127,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
32,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_128,restoration_rule_validated_for_current_sample,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
33,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_129,restoration_rule_validated_for_residue_warhead_class,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
34,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_132,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
35,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_133,quarantine_if_restoration_rule_unknown,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
36,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_334,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
37,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_335,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
38,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_341,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
39,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_343,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
40,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_350,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
41,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_351,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
42,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_357,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
43,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_359,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
44,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_369,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
45,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_370,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
46,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_376,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
47,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_378,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
48,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_423,restoration_rule_id,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
49,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_424,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
50,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_425,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
51,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_426,restoration_rule_validated_for_current_sample,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
52,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_427,restoration_rule_validated_for_residue_warhead_class,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
53,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_430,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
54,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_431,quarantine_if_restoration_rule_unknown,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
55,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_460,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
56,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_461,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
57,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_523,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
58,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_524,quarantine_if_restoration_rule_unknown,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
59,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_572,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
60,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_579,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
61,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate.py,466a323e2e38547b93dde4e78fe91975075f5a3ca173c5a6f1c845f999300670,production_source,line_581,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
62,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,line_1,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
63,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,line_1,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
64,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,line_1,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
65,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,line_1,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
66,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,restoration_rule_id,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
67,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,restoration_rule_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
68,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,restoration_rule_source,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
69,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,restoration_rule_validated_for_current_sample,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
70,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,restoration_rule_validated_for_residue_warhead_class,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
71,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,manual_visual_review_required_for_new_rule,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
72,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,line_1,quarantine_if_restoration_rule_unknown,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
73,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_policy_design_gate_manifest.json,c104908df85b3a026e5aa83d72483d5698b25b5ed94f35c11b6d15cb4c5c57fc,committed_manifest,line_85,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
74,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_policy_design_gate_manifest.json,c104908df85b3a026e5aa83d72483d5698b25b5ed94f35c11b6d15cb4c5c57fc,committed_manifest,line_86,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
75,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_175,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
76,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_177,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
77,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_230,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
78,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_254,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
79,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_323,topology_smoke_must_not_auto_restore_ligand,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
80,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_324,topology_smoke_must_not_auto_restore_ligand,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
