evidence_id,commit,subject,path,sha256,purpose,verified
E11,160cdbda8800a535b5c0a81d501babfae9a8615b,add CovaPIE training unknown-atom policy resolution v1,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_manifest.json,24cb60ca4f080a72e8c60aef63d105d82ec2f432eecc9b90f3341f52576bb6e0,feature_resolution_manifest,true
E12,1cdbca345483022ece967b24de37013b77349cd4,add CovaPIE Current11 five auxiliary module label readiness design v1,src/covalent_ext/covapie_current11_five_auxiliary_module_label_consumption_readiness_design_v1.py,6e4b2b26545c039e61acc3821deaee86859eff0ed44b5deaca4290f187ee7681,current11_readiness_source,true
E13,1cdbca345483022ece967b24de37013b77349cd4,add CovaPIE Current11 five auxiliary module label readiness design v1,docs/covapie_current11_five_auxiliary_module_label_consumption_readiness_design_v1_guide.md,7a91a7f8a3d981c60eb684248e01f9eab65f43b28c5c5bee015699de9697daea,current11_readiness_guide,true
E14,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,src/covalent_ext/masking.py,a11ac211cedf14168c2866be960aa99703082b207234b016db0b8929c895c3c6,canonical_mask_runtime,true
E15,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,src/covalent_ext/schema.py,06f8d3fb6cc402ffdd03660c31fe849e8718b7ba3960b50584fb87a0941de64a,canonical_mask_schema,true
E16,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,src/covalent_ext/dataset.py,44605b78b428156f11b398307299506ddc899269d355de78cce3853d78f74a2c,canonical_dataset,true
E17,540be2e4162b2b6a7f1090d41f852e5ac87be459,add CovaPIE five-module training-path completion gap audit v1,scripts/covalent_inpaint_demo.py,4df839da22e77ada99ab05e6d3e7e5ed41bd480618f0cb01163b5ca52f58c5b9,canonical_demo,true
E18,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,add CovaPIE ligand role and minimal seed annotation contract v1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_ligand_role_and_minimal_seed_annotation_contract_design_manifest.json,cf79865f91ef140b6c69010ce2e56c2ff24937a5aa7fa3eac0f8c53bc907764a,role_seed_contract_manifest,true
E19,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,add CovaPIE ligand role and minimal seed annotation contract v1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_current11_role_annotation_input_readiness_matrix.csv,6def11ca3c1ec974479c3fa96d3f2c985b994eed86d6132008236fb18bca3d4b,current11_role_seed_readiness,true
E20,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,add CovaPIE ligand role and minimal seed annotation contract v1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_ligand_role_and_seed_contract_registry.csv,872ecd0754ff941bee207161a54eecd1dd256d382044c38075b1c8ede89dba3d,role_seed_contract_registry,true
