value_order,source_relative_path,source_sha256,field_name,observed_value,inferred_exact_builtin_type,empty_value,null_like,lifecycle_status,general_grammar_frozen,provenance_equivalence_inferred,value_audit_passed
11,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_id,COVAPIE_ASSIGNMENT_000011,str,false,false,historical_observed_value,false,false,true
12,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000001,str,false,false,historical_observed_value,false,false,true
13,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000002,str,false,false,historical_observed_value,false,false,true
14,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000003,str,false,false,historical_observed_value,false,false,true
15,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000004,str,false,false,historical_observed_value,false,false,true
16,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000005,str,false,false,historical_observed_value,false,false,true
17,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000006,str,false,false,historical_observed_value,false,false,true
18,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000007,str,false,false,historical_observed_value,false,false,true
19,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000008,str,false,false,historical_observed_value,false,false,true
20,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000009,str,false,false,historical_observed_value,false,false,true
21,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000010,str,false,false,historical_observed_value,false,false,true
22,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,sample_index_row_id,CYS_SG_SAMPLE_INDEX_000011,str,false,false,historical_observed_value,false,false,true
23,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000001,str,false,false,historical_observed_value,false,false,true
24,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000002,str,false,false,historical_observed_value,false,false,true
25,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000003,str,false,false,historical_observed_value,false,false,true
26,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000004,str,false,false,historical_observed_value,false,false,true
27,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000005,str,false,false,historical_observed_value,false,false,true
28,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000006,str,false,false,historical_observed_value,false,false,true
29,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000007,str,false,false,historical_observed_value,false,false,true
30,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000008,str,false,false,historical_observed_value,false,false,true
31,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_graph_group_id,COVAPIE_LIGAND_GRAPH_GROUP_000009,str,false,false,historical_observed_value,false,false,true
32,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000001,str,false,false,historical_observed_value,false,false,true
33,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,str,false,false,historical_observed_value,false,false,true
34,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000003,str,false,false,historical_observed_value,false,false,true
35,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000004,str,false,false,historical_observed_value,false,false,true
36,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000005,str,false,false,historical_observed_value,false,false,true
37,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000006,str,false,false,historical_observed_value,false,false,true
38,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000007,str,false,false,historical_observed_value,false,false,true
39,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000008,str,false,false,historical_observed_value,false,false,true
40,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,ligand_scaffold_group_id,COVAPIE_LIGAND_SCAFFOLD_GROUP_000009,str,false,false,historical_observed_value,false,false,true
41,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_exact_sequence_group_id,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000001,str,false,false,historical_observed_value,false,false,true
42,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_exact_sequence_group_id,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000002,str,false,false,historical_observed_value,false,false,true
43,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_exact_sequence_group_id,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000003,str,false,false,historical_observed_value,false,false,true
44,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_exact_sequence_group_id,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000004,str,false,false,historical_observed_value,false,false,true
45,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_exact_sequence_group_id,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,str,false,false,historical_observed_value,false,false,true
46,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_accession_group_id,COVAPIE_PROTEIN_ACCESSION_GROUP_000001,str,false,false,historical_observed_value,false,false,true
47,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_accession_group_id,COVAPIE_PROTEIN_ACCESSION_GROUP_000002,str,false,false,historical_observed_value,false,false,true
48,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_accession_group_id,COVAPIE_PROTEIN_ACCESSION_GROUP_000003,str,false,false,historical_observed_value,false,false,true
49,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_accession_group_id,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,str,false,false,historical_observed_value,false,false,true
50,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_accession_group_id,COVAPIE_PROTEIN_ACCESSION_GROUP_000005,str,false,false,historical_observed_value,false,false,true
51,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_90_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000001,str,false,false,historical_observed_value,false,false,true
52,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_90_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000002,str,false,false,historical_observed_value,false,false,true
53,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_90_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000003,str,false,false,historical_observed_value,false,false,true
54,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_90_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,str,false,false,historical_observed_value,false,false,true
55,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_90_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000005,str,false,false,historical_observed_value,false,false,true
56,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_50_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000001,str,false,false,historical_observed_value,false,false,true
57,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_50_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000002,str,false,false,historical_observed_value,false,false,true
58,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_50_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000003,str,false,false,historical_observed_value,false,false,true
59,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_50_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,str,false,false,historical_observed_value,false,false,true
60,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,protein_sequence_cluster_50_id,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000005,str,false,false,historical_observed_value,false,false,true
61,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000001,str,false,false,final_named_historical_artifact,false,false,true
62,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000002,str,false,false,final_named_historical_artifact,false,false,true
63,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000003,str,false,false,final_named_historical_artifact,false,false,true
64,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000004,str,false,false,final_named_historical_artifact,false,false,true
65,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000005,str,false,false,final_named_historical_artifact,false,false,true
66,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_member_count,1,int,false,false,final_named_historical_artifact,false,false,true
67,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_member_count,3,int,false,false,final_named_historical_artifact,false,false,true
68,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_member_count,5,int,false,false,final_named_historical_artifact,false,false,true
69,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_status,confirmed_nonindependent_group_within_current_11_sample_set,str,false,false,final_named_historical_artifact,false,false,true
70,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_leakage_group_status,provisional_independent_singleton_within_current_11_sample_set,str,false,false,provisional_status,false,false,true
71,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,assignment_policy,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,str,false,false,historical_observed_value,false,false,true
72,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,final_group_assignment_passed,True,bool,false,false,final_named_historical_artifact,false,false,true
73,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000001,str,false,false,final_named_historical_artifact,false,false,true
74,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000002,str,false,false,final_named_historical_artifact,false,false,true
75,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000003,str,false,false,final_named_historical_artifact,false,false,true
76,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000004,str,false,false,final_named_historical_artifact,false,false,true
77,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,final_leakage_group_id,COVAPIE_LEAKAGE_GROUP_000005,str,false,false,final_named_historical_artifact,false,false,true
78,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,group_order,1,int,false,false,historical_observed_value,false,false,true
79,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,group_order,2,int,false,false,historical_observed_value,false,false,true
80,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,group_order,3,int,false,false,historical_observed_value,false,false,true
81,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,group_order,4,int,false,false,historical_observed_value,false,false,true
82,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,group_order,5,int,false,false,historical_observed_value,false,false,true
83,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,member_count,1,int,false,false,historical_observed_value,false,false,true
84,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,member_count,3,int,false,false,historical_observed_value,false,false,true
85,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_inventory.csv,ae18fd8d0ed8bad803126fb65bc947446d99ca0e4c6f42c63927d969f4bacfbc,member_count,5,int,false,false,historical_observed_value,false,false,true
