occurrence_order,term,source_relative_path,source_sha256,source_kind,row_key_function_location,occurrence_role,semantic_classification,current_authoritative_status,usable_by_future_evaluator,audit_result
36,leakage_group_assignment_before_split,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
37,leakage_group_id,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
38,leakage_group_assignment_provenance_contract,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
39,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,committed_derived_csv,row:ADMIT_010:line:11,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
40,ADMIT_010,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_derived_csv,row:leakage_group_id:line:14,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
41,leakage_group_id,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_derived_csv,row:leakage_group_id:line:14,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
42,leakage_group_assignment_provenance_contract,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_derived_csv,row:leakage_group_id:line:14,artifact_or_contract_evidence,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
43,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,committed_derived_csv,row:leakage_group_id:line:14,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
44,ADMIT_010,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,committed_derived_csv,row:leakage_group_assignment_provenance_contract:line:11,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
45,leakage_group_assignment_provenance_contract,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,committed_derived_csv,row:leakage_group_assignment_provenance_contract:line:11,artifact_or_contract_evidence,caller_context,canonical_interface,true,observed_without_semantic_equivalence_promotion
46,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,committed_derived_csv,row:leakage_group_assignment_provenance_contract:line:11,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
47,ADMIT_010,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:10,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
48,leakage_group_id,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:10,artifact_or_contract_evidence,candidate_or_rule,canonical_interface,true,observed_without_semantic_equivalence_promotion
49,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,committed_derived_csv,row:LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED:line:10,artifact_or_contract_evidence,historical_artifact_or_contract,canonical_interface,false,observed_without_semantic_equivalence_promotion
50,assignment_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:40,definition,record_identifier_not_group_identifier,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
51,sample_index_row_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:40,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
52,ligand_graph_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:41,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
53,ligand_scaffold_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:41,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
54,protein_accession_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:42,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
55,protein_exact_sequence_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:42,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
56,protein_sequence_cluster_90_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:43,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
57,protein_sequence_cluster_50_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:43,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
58,final_leakage_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:44,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
59,final_leakage_group_status,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:45,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
60,assignment policy,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:46,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
61,sample_index_row_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:53,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
62,final_leakage_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:120,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
63,sample_index_row_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:120,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
64,final_leakage_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
65,group_order,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
66,member_count,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
67,member_sample_index_row_ids,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
68,final_leakage_group_status,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
69,source_stage_composition,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:123,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
70,sample_index_row_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:254,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
71,ligand_graph_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:254,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
72,ligand_scaffold_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:254,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
73,sample_index_row_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:255,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
74,protein_accession_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:255,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
75,protein_exact_sequence_group_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:255,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
76,protein_sequence_cluster_90_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:255,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
77,protein_sequence_cluster_50_id,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:255,definition,single_axis_group_not_final_group,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
78,member_count,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:259,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
79,member_sample_index_row_ids,src/covalent_ext/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke.py,3e0f182e192d06be5fe4baa8cfdb2687ee23856ec5cbefbdac9c6bd2b6206212,production_source,line:259,definition,historical_artifact_or_contract,historical_evidence_only,false,observed_without_semantic_equivalence_promotion
