scaleup_rank,tranche,selection_priority_pass,canonical_event_id,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,canonical_source_dataset_count,source_record_provenance_count,source_datasets_json,source_provenance_identities_json,historical_pilot_processed,historical_bulk_structure_acquisition_status,historical_terminal_route,historical_terminal_reasons_json,current_123_two_rule_routing_population_overlap,structure_execution_status,task_domain_rule_evaluation_status
11,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:A:CYS:146-:SG:E:NEN:C1,1CR5,A,,CYS,146,SG,NEN,E,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000955"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
12,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:A:CYS:34-:SG:D:NEN:C1,1CR5,A,,CYS,34,SG,NEN,D,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000954"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
13,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:B:CYS:146-:SG:G:NEN:C1,1CR5,B,,CYS,146,SG,NEN,G,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000957"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale4""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
14,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:B:CYS:34-:SG:F:NEN:C1,1CR5,B,,CYS,34,SG,NEN,F,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000956"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale3""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
15,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:C:CYS:146-:SG:I:NEN:C1,1CR5,C,,CYS,146,SG,NEN,I,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000959"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale6""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
16,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CR5:C:CYS:34-:SG:H:NEN:C1,1CR5,C,,CYS,34,SG,NEN,H,C1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000958"",""SOURCE_RCSB_PDB_DIRECT:1CR5:covale5""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
17,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CTE:A:CYS:29-:SG:C:PYS:S2,1CTE,A,,CYS,29,SG,PYS,C,S2,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003402"",""SOURCE_COVPDB:CovPDB_complexes/1cte/1cte.pdb#LINK00544"",""SOURCE_RCSB_PDB_DIRECT:1CTE:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
18,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CTE:B:CYS:29-:SG:D:PYS:S2,1CTE,B,,CYS,29,SG,PYS,D,S2,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003403"",""SOURCE_COVPDB:CovPDB_complexes/1cte/1cte.pdb#LINK00545"",""SOURCE_RCSB_PDB_DIRECT:1CTE:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
19,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CV8:A:CYS:24-:SG:C:E64:C2,1CV8,A,,CYS,24,SG,E64,C,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1cv8/1cv8.pdb#LINK00363"",""SOURCE_RCSB_PDB_DIRECT:1CV8:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
20,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CVR:A:CYS:244-:SG:B:H37:C3,1CVR,A,,CYS,244,SG,H37,B,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1cvr/1cvr.pdb#LINK00568"",""SOURCE_RCSB_PDB_DIRECT:1CVR:covale1""]",true,PASSED,QUARANTINE_REPRESENTATION_GAP,"[""PRE_ONLY_ATOMS_CANNOT_BE_DROPPED_OR_GIVEN_COORDINATES""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
21,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1CVZ:A:CYS:25-:SG:B:C48:C10,1CVZ,A,,CYS,25,SG,C48,B,C10,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1cvz/1cvz.pdb#LINK00344"",""SOURCE_RCSB_PDB_DIRECT:1CVZ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
22,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1DC4:A:CYS:149-:SG:C:G3P:C1,1DC4,A,,CYS,149,SG,G3P,C,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1dc4/1dc4.pdb#LINK00562"",""SOURCE_RCSB_PDB_DIRECT:1DC4:covale9""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
23,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1DC4:B:CYS:149-:SG:D:G3P:C1,1DC4,B,,CYS,149,SG,G3P,D,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1dc4/1dc4.pdb#LINK00563"",""SOURCE_RCSB_PDB_DIRECT:1DC4:covale24""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
24,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1ECC:A:CYS:1-:SG:E:ONL:CE,1ECC,A,,CYS,1,SG,ONL,E,CE,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003690"",""SOURCE_COVPDB:CovPDB_complexes/1ecc/1ecc.pdb#LINK00656"",""SOURCE_RCSB_PDB_DIRECT:1ECC:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
25,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1ECC:B:CYS:1-:SG:J:ONL:CE,1ECC,B,,CYS,1,SG,ONL,J,CE,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003691"",""SOURCE_COVPDB:CovPDB_complexes/1ecc/1ecc.pdb#LINK00663"",""SOURCE_RCSB_PDB_DIRECT:1ECC:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
26,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1ECG:A:CYS:1-:SG:C:ONL:CE,1ECG,A,,CYS,1,SG,ONL,C,CE,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003692"",""SOURCE_COVPDB:CovPDB_complexes/1ecg/1ecg.pdb#LINK00684"",""SOURCE_RCSB_PDB_DIRECT:1ECG:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
27,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1ECG:B:CYS:1-:SG:G:ONL:CE,1ECG,B,,CYS,1,SG,ONL,G,CE,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003693"",""SOURCE_COVPDB:CovPDB_complexes/1ecg/1ecg.pdb#LINK00685"",""SOURCE_RCSB_PDB_DIRECT:1ECG:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
28,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1EWL:A:CYS:25-:SG:B:R99:C2,1EWL,A,,CYS,25,SG,R99,B,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1ewl/1ewl.pdb#LINK00420"",""SOURCE_RCSB_PDB_DIRECT:1EWL:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
29,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1EWM:A:CYS:25-:SG:B:RL2:C2,1EWM,A,,CYS,25,SG,RL2,B,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1ewm/1ewm.pdb#LINK00415"",""SOURCE_RCSB_PDB_DIRECT:1EWM:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
30,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1EWO:A:CYS:25-:SG:B:VSC:C32,1EWO,A,,CYS,25,SG,VSC,B,C32,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1ewo/1ewo.pdb#LINK00370"",""SOURCE_RCSB_PDB_DIRECT:1EWO:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
31,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1EWP:A:CYS:25-:SG:B:0I5:CM,1EWP,A,,CYS,25,SG,0I5,B,CM,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1ewp/1ewp.pdb#LINK00423"",""SOURCE_RCSB_PDB_DIRECT:1EWP:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
32,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1F28:A:CYS:173-:SG:E:UMP:C6,1F28,A,,CYS,173,SG,UMP,E,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004625"",""SOURCE_COVPDB:CovPDB_complexes/1f28/1f28.pdb#LINK00626"",""SOURCE_RCSB_PDB_DIRECT:1F28:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
33,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1F28:C:CYS:173-:SG:I:UMP:C6,1F28,C,,CYS,173,SG,UMP,I,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004626"",""SOURCE_COVPDB:CovPDB_complexes/1f28/1f28.pdb#LINK00627"",""SOURCE_RCSB_PDB_DIRECT:1F28:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
