scaleup_rank,canonical_event_id,pdb_id,ligand_component_id,ligand_reactive_atom,execution_lane,candidate_lane,raw_terminal_outcome,raw_terminal_reasons_json,feature_compatibility_stage_status,post_only_candidate_eligibility,post_only_partition,eligibility_reason,routing_review_unit_id,workload_review_unit_id,ts_dump_rule_id,ts_dump_rule_status,ts_dump_rule_reason,dtt_rule_id,dtt_rule_status,dtt_rule_reason,selected_effective_rule_id,effective_route,effective_route_reason,human_authority_lane,human_decision_propagated_to_new_event
101,COVAPIE_CYS_SG_EVENT_V1:1LXY:B:CYS:398-:SG:E:CIR:C7,1LXY,CIR,C7,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_47AC17EBC8C3AFD6,COVAPIE_BULK_REVIEW_UNIT_47AC17EBC8C3AFD6,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
102,COVAPIE_CYS_SG_EVENT_V1:1M4A:A:CYS:31-:SG:B:MPE:S1,1M4A,MPE,S1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",NOT_REACHED,false,OUTSIDE_STRUCTURAL_ELIGIBILITY,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=NOT_REACHED;TERMINAL_OUTCOME=STRUCTURAL_EVIDENCE_INCOMPLETE,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,STRUCTURAL_EVIDENCE_INCOMPLETE,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
103,COVAPIE_CYS_SG_EVENT_V1:1M4B:A:CYS:43-:SG:B:NMP:S27,1M4B,NMP,S27,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
104,COVAPIE_CYS_SG_EVENT_V1:1MEG:A:CYS:25-:SG:B:E64:C2,1MEG,E64,C2,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
105,COVAPIE_CYS_SG_EVENT_V1:1MEM:A:CYS:25-:SG:B:0D6:C21,1MEM,0D6,C21,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
106,COVAPIE_CYS_SG_EVENT_V1:1ML3:B:CYS:166-:SG:F:CYX:C1,1ML3,CYX,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
107,COVAPIE_CYS_SG_EVENT_V1:1ML3:C:CYS:166-:SG:H:CYX:C1,1ML3,CYX,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
108,COVAPIE_CYS_SG_EVENT_V1:1ML3:D:CYS:166-:SG:J:CYX:C1,1ML3,CYX,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
109,COVAPIE_CYS_SG_EVENT_V1:1MS6:A:CYS:25-:SG:B:BLN:C',1MS6,BLN,C',FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
110,COVAPIE_CYS_SG_EVENT_V1:1NBP:A:CYS:31-:SG:C:MHC:S1,1NBP,MHC,S1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_6F93A0730570186F,COVAPIE_BULK_REVIEW_UNIT_6F93A0730570186F,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_ligand_reactive_element,exact_ts_family_accession_sequence_key;UNAVAILABLE_OR_MALFORMED:exact_radius1_sha256[event.reactive_center_radius1_fingerprint:MISSING],exact_radius2_sha256[event.reactive_center_radius2_fingerprint:MISSING]",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,structured_source_boundary;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID],exact_local_topology[event.local_topology:MISSING],exact_radius1_sha256[event.reactive_center_radius1_fingerprint:MISSING],exact_radius2_sha256[event.reactive_center_radius2_fingerprint:MISSING]",,HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,NONE,false
111,COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,1NFZ,EIP,C12,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_07BD3B72031BD7CC,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key,no_runtime_positive_override",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256,no_runtime_positive_override;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_RELEVANT_FINAL,CURRENT_HUMAN_RELEVANT_DECISION_HAS_FIRST_PRECEDENCE,PUBLISHED_HISTORICAL_EXACT_EVENT_SCOPE,false
112,COVAPIE_CYS_SG_EVENT_V1:1NFZ:B:CYS:67-:SG:H:EIP:C12,1NFZ,EIP,C12,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_CANDIDATE,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",PASSED,true,POST_ONLY_V1_REVIEW_CANDIDATE,PUBLISHED_POST_ONLY_ELIGIBILITY:FEATURE_STAGE_PASSED_AND_HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,COVAPIE_BULK_REVIEW_UNIT_07BD3B72031BD7CC,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:exact_ccd_component_graph_sha256,exact_ligand_reactive_atom,exact_radius1_sha256,exact_radius2_sha256,exact_ts_family_accession_sequence_key,no_runtime_positive_override",NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_MATCHED,"PREDICATE_MISMATCH:automorphism_derived_dtt_sulfur_endpoint,exact_1fvg_reagent_protein_context,exact_1fvg_source_structure_context,exact_dtt_component_graph_sha256,exact_dtt_component_identity,exact_ligand_reactive_element,exact_local_topology,exact_radius1_sha256,exact_radius2_sha256,no_runtime_positive_override;UNAVAILABLE_OR_MALFORMED:exact_dtt_heavy_identity_and_charge[outcome.ccd_formal_charge_pattern:INVALID]",,HUMAN_RELEVANT_FINAL,CURRENT_HUMAN_RELEVANT_DECISION_HAS_FIRST_PRECEDENCE,PUBLISHED_HISTORICAL_EXACT_EVENT_SCOPE,false
113,COVAPIE_CYS_SG_EVENT_V1:1NL6:A:CYS:25-:SG:C:750:C31,1NL6,750,C31,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
114,COVAPIE_CYS_SG_EVENT_V1:1NL6:B:CYS:25-:SG:D:750:C31,1NL6,750,C31,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
115,COVAPIE_CYS_SG_EVENT_V1:1NLJ:A:CYS:25-:SG:C:2CA:C07,1NLJ,2CA,C07,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
116,COVAPIE_CYS_SG_EVENT_V1:1NLJ:B:CYS:25-:SG:D:2CA:C07,1NLJ,2CA,C07,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
117,COVAPIE_CYS_SG_EVENT_V1:1NME:A:CYS:163-:SG:C:158:C1,1NME,158,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",NOT_REACHED,false,OUTSIDE_STRUCTURAL_ELIGIBILITY,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=NOT_REACHED;TERMINAL_OUTCOME=STRUCTURAL_EVIDENCE_INCOMPLETE,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,STRUCTURAL_EVIDENCE_INCOMPLETE,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
118,COVAPIE_CYS_SG_EVENT_V1:1NMQ:A:CYS:163-:SG:C:160:C1,1NMQ,160,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
119,COVAPIE_CYS_SG_EVENT_V1:1NMQ:B:CYS:163-:SG:D:160:C1,1NMQ,160,C1,FROZEN_HISTORICAL_PREDECESSOR,HISTORICAL_PREDECESSOR_EXCLUDED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",PASSED,false,BLOCKED_EXISTING_GROUP_CONFLICT,PUBLISHED_POST_ONLY_INELIGIBILITY:FEATURE_STAGE=PASSED;TERMINAL_OUTCOME=LEAKAGE_EXISTING_GROUP_CONFLICT,,,NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,NOT_EVALUATED_OUTSIDE_SUPPORTED_POST_ONLY_CANDIDATE,,LEAKAGE_EXISTING_GROUP_CONFLICT,BOUND_STRUCTURAL_EXECUTION_OUTCOME_RETAINED,NONE,false
