case_id,case_group,mutation_or_positive_probe,expected_schema_version,observed_schema_version,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_transition,observed_blocks_transition,expected_reason,observed_reason,expected_source_scope_id,observed_source_scope_id,expected_candidate_count,observed_candidate_count,expected_admit_014_outcome,observed_admit_014_outcome,expected_candidate_combined_outcomes,observed_candidate_combined_outcomes,expected_call_site_decision_outcome,observed_call_site_decision_outcome,expected_call_site_decision_reason,observed_call_site_decision_reason,expected_invalid_candidate_indexes,observed_invalid_candidate_indexes,expected_blocked_candidate_indexes,observed_blocked_candidate_indexes,expected_failing_candidate_indexes,observed_failing_candidate_indexes,expected_source_lineage_verified,observed_source_lineage_verified,expected_transition_eligible,observed_transition_eligible,expected_action_permission_granted,observed_action_permission_granted,expected_download_action_invoked,observed_download_action_invoked,expected_bridge_io_used,observed_bridge_io_used,exact_decision_type_verified,verified
STAGE_IDENTITY,stage_result_invariant,stage-global identity clone,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
RETAINED_IDENTITY,stage_result_invariant,retained-vector identity clone,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
UNIFIED_CORRUPT,stage_result_invariant,corrupted Unified result,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
COMBINED_CORRUPT,stage_result_invariant,corrupted Combined verdict,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_SCHEMA,decision_invariant,schema,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_STORAGE,decision_invariant,reversed Exact15 storage,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_SOURCE_KIND,decision_invariant,wrong source kind,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_SCOPE_UNKNOWN,decision_invariant,unknown source scope,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_DIAGNOSTICS,decision_invariant,duplicate diagnostics,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_FAILING,decision_invariant,failing union mismatch,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_PERMISSION_TYPE,decision_invariant,action permission exact bool,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_DOWNLOAD_ACTION,decision_invariant,download action nonzero,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
DECISION_IO,decision_invariant,call-site I/O nonzero,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
WRONG_SCOPE,scope_io_transition,valid non-download scope pair,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_SCOPE_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_SCOPE_INVALID""","""post_download_acceptance_permission""","""post_download_acceptance_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""invalid""","""invalid""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
ORCHESTRATION_IO,scope_io_transition,source orchestration I/O true,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_IO_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_IO_INVARIANT_INVALID""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""passed""]","[""passed""]","""invalid""","""invalid""","""BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID""","""BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
SOURCE_TRANSITIONED,scope_io_transition,source permission already true,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_ALREADY_TRANSITIONED""","""ACTION_PERMISSION_BRIDGE_SOURCE_ALREADY_TRANSITIONED""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""passed""]","[""passed""]","""invalid""","""invalid""","""BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED""","""BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_CURRENT_VALID,lineage,actual current blocked source pair,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""blocked""","""blocked""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""","""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],true,true,false,false,false,false,false,false,false,false,true,true
LINEAGE_ELIGIBLE_VALID,lineage,actual future eligible source pair,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""eligible""","""eligible""",true,true,false,false,"""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""","""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""passed""]","[""passed""]","""blocked""","""blocked""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""",[],[],[],[],[],[],true,true,true,true,false,false,false,false,false,false,true,true
LINEAGE_COUNT,lineage,wrong candidate count,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_SCOPE,lineage,wrong valid source scope,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_DIAGNOSTIC,lineage,wrong diagnostics,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_OUTCOME,lineage,wrong outcome,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""invalid""","""invalid""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_REASON,lineage,wrong reason,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
LINEAGE_UNRELATED,lineage,unrelated partially similar valid decision,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""invalid""","""invalid""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""",[],[],[0],[0],[0],[0],false,false,false,false,false,false,false,false,false,false,true,true
CANDIDATE_INVALID,candidate_authority,actual invalid candidate with ADMIT_014 passed,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CANDIDATE_VERDICT_INVALID""","""ACTION_PERMISSION_BRIDGE_CANDIDATE_VERDICT_INVALID""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""invalid""]","[""invalid""]","""invalid""","""invalid""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID""",[0],[0],[],[],[0],[0],true,true,false,false,false,false,false,false,false,false,true,true
ADMIT_014_BLOCKED,candidate_authority,actual current ADMIT_014 blocked,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""blocked""","""blocked""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""","""ACTION_PERMISSION_BRIDGE_ADMIT_014_NOT_PASSED""","""download_execution_permission""","""download_execution_permission""",1,1,"""blocked""","""blocked""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],true,true,false,false,false,false,false,false,false,false,true,true
OTHER_CANDIDATE_BLOCKED,candidate_authority,actual ADMIT_001 blocked with ADMIT_014 passed,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""blocked""","""blocked""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CANDIDATE_VERDICT_BLOCKED""","""ACTION_PERMISSION_BRIDGE_CANDIDATE_VERDICT_BLOCKED""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""blocked""]","[""blocked""]","""blocked""","""blocked""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""","""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED""",[],[],[0],[0],[0],[0],true,true,false,false,false,false,false,false,false,false,true,true
DECISION_NOT_PENDING,candidate_authority,structurally valid authorized decision rejected by exact lineage,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""ACTION_PERMISSION_BRIDGE_SOURCE_LINEAGE_MISMATCH""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""passed""]","[""passed""]","""authorized""","""authorized""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
FULLY_ELIGIBLE,candidate_authority,actual all-passed permission-pending pair,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""eligible""","""eligible""",true,true,false,false,"""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""","""ACTION_PERMISSION_BRIDGE_TRANSITION_ELIGIBLE""","""download_execution_permission""","""download_execution_permission""",1,1,"""passed""","""passed""","[""passed""]","[""passed""]","""blocked""","""blocked""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""","""BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED""",[],[],[],[],[],[],true,true,true,true,false,false,false,false,false,false,true,true
PRECEDENCE_STAGE_OVER_SCOPE,precedence,invalid stage plus wrong scope semantics,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_STAGE_RESULT_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
PRECEDENCE_DECISION_OVER_SCOPE,precedence,invalid decision plus wrong scope result,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""invalid""","""invalid""",false,false,true,true,"""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""ACTION_PERMISSION_BRIDGE_CALL_SITE_DECISION_INVARIANT_INVALID""","""""","""""",0,0,"""""","""""",[],[],"""""","""""","""""","""""",[],[],[],[],[],[],false,false,false,false,false,false,false,false,false,false,true,true
