matrix_order,matrix_group,case_id,routing_condition,envelope_representation,lookup_count,lookup_order,candidate_key_access_count,formal_call_count,oracle_call_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,case_passed
25,source_failure,formal_wrong_type,formal returns object,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,,true
26,source_failure,formal_subclass,formal source subclass rejected,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,,true
27,source_failure,formal_storage_order,formal storage order drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
28,source_failure,formal_top_level_type,formal top-level type drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
29,source_failure,formal_pair_type,formal canonical pair type drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
30,source_failure,formal_reason_invariant,formal outcome/reason invariant drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
31,oracle_failure,oracle_exception,oracle raises,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
32,oracle_failure,oracle_wrong_type,oracle exact type drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
33,oracle_failure,oracle_storage_order,oracle storage drift,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
34,oracle_failure,formal_oracle_mismatch,full Exact12 mismatch,all_envelopes_valid,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
35,projection,combined_normalized,download then present valid authority,complete_source,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
36,projection,validated_download_only,authority excluded from validated candidate pairs,complete_source,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
37,projection,consumed_mapping,download names to candidate; authority names to context,complete_source,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
38,projection,integer_canonical,integer values use canonical decimal str,zero_and_large,7,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,0,1,1,true,,,,true
39,projection,projection_type_failure,subclasses/bool cannot enter Exact13,tampered_source,0,,0,0,0,n/a,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
40,registry,current_exact12,current registry order unchanged,ADMIT_001..012,0,,0,0,0,n/a,,,,true
41,registry,future_exact13,future order appends ADMIT_013,ADMIT_001..013,0,,0,0,0,n/a,,,,true
42,registry,future_callable_ready,future callable/ready Exact13,ADMIT_001..013,0,,0,0,0,n/a,,,,true
43,registry,known_unregistered,ADMIT_014 and ADMIT_015 remain known,ADMIT_014|ADMIT_015,0,,0,0,0,n/a,,,,true
44,registry,handler_identity,first twelve handler identities preserved,identity_preserved,0,,0,0,0,true,,,,true
