case_order,case_id,case_group,routing_condition,candidate_record_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,evaluation_lookup_count,download_lookup_count,candidate_key_access_count,lookup_order,formal_call_count,oracle_call_count,source_exact12_json,oracle_exact12_json,projected_exact13_json,identity_preserved,expected_dispatch_code,expected_reason,case_passed
34,OBSERVED_SHA_NONE,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=None,None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_TYPE_INVALID,true
35,OBSERVED_SHA_BYTES,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=<bytes:'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'>,None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_TYPE_INVALID,true
36,OBSERVED_SHA_STR_SUBCLASS,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=<str-subclass:'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'>,None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_TYPE_INVALID,true
37,OBSERVED_SHA_UPPERCASE,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_FORMAT_INVALID,true
38,OBSERVED_SHA_LENGTH_63,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcde',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_FORMAT_INVALID,true
39,OBSERVED_SHA_LENGTH_65,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef0',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_FORMAT_INVALID,true
40,OBSERVED_SHA_NON_HEX,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='g123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_FORMAT_INVALID,true
41,OBSERVED_SHA_WHITESPACE,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256=' 0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcde',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""canonical_download_result_record"":[],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""OBSERVED_SHA256_FORMAT_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,OBSERVED_SHA256_FORMAT_INVALID,true
42,OBSERVED_SHA_VALID_GRAMMAR_NOT_SELF_AUTHORITY,observed_sha256_validation,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256=<MISSING>|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""INTEGRITY_AUTHORITY_MISSING"",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""INTEGRITY_AUTHORITY_MISSING"",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""INTEGRITY_AUTHORITY_MISSING"",""normalized_values"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,INTEGRITY_AUTHORITY_MISSING,true
43,EXPECTED_LENGTH_MISSING,expected_content_length_optional,committed_Exact128_projection,{},None,expected_content_length_bytes=<MISSING>|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[[""expected_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[""expected_sha256""],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[[""expected_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[""expected_sha256""],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""],[""expected_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[""expected_content_length_bytes"",""expected_sha256"",""explicit_integrity_verdict""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,,true
44,EXPECTED_LENGTH_NONE,expected_content_length_optional,committed_Exact128_projection,{},None,expected_content_length_bytes=None|expected_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'|explicit_integrity_verdict=<MISSING>,download_result_status='success'|observed_http_status=200|observed_content_length_bytes=10|observed_sha256='0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,3,4,0,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,1,1,"{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""EXPECTED_CONTENT_LENGTH_BYTES_TYPE_INVALID"",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_013"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""EXPECTED_CONTENT_LENGTH_BYTES_TYPE_INVALID"",""canonical_download_result_record"":[[""download_result_status"",""success""],[""observed_http_status"",200],[""observed_content_length_bytes"",10],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""canonical_integrity_authority_record"":[],""validated_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""validated_integrity_authority_fields"":[],""consumed_download_result_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_integrity_authority_fields"":[""expected_content_length_bytes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_013"",""admission_rule_name"":""download_failure_fail_closed"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""EXPECTED_CONTENT_LENGTH_BYTES_TYPE_INVALID"",""normalized_values"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""validated_candidate_fields"":[[""download_result_status"",""success""],[""observed_http_status"",""200""],[""observed_content_length_bytes"",""10""],[""observed_sha256"",""0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef""]],""consumed_candidate_fields"":[""download_result_status"",""observed_http_status"",""observed_content_length_bytes"",""observed_sha256""],""consumed_context_items"":[""expected_content_length_bytes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_013_unified_adapter_v1""}",true,,EXPECTED_CONTENT_LENGTH_BYTES_TYPE_INVALID,true
